SUA code,Significant Urban Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1000,Not in any Significant Urban Area (NSW),916108,918412,918689,917949,919247,922038,926320,931926,940220,948078,952677,957446,962431,967410,972248,977999,985221,992753,999645,1006259,1012388,1020131
1001,Albury - Wodonga,76451,77429,78284,79100,79685,80119,80876,81540,82307,83245,84195,85229,86564,87982,89306,90836,92398,93953,95221,96586,97730,98738
1002,Armidale,22969,22869,22634,22467,22374,22380,22499,22904,23166,23349,23471,23631,23756,23856,23979,24114,24298,24436,24509,24409,24170,24178
1003,Ballina,37808,38493,38859,39061,39220,39468,39728,39922,40196,40451,40674,41022,41408,41777,42231,42890,43557,44288,44897,45561,46097,46751
1004,Batemans Bay,13827,14136,14599,14908,15138,15274,15569,15797,15939,16129,16352,16330,16322,16332,16348,16381,16571,16763,16966,17259,17495,17616
1005,Bathurst,30048,30348,30580,30690,30919,31157,31447,32014,32831,33328,33754,34065,34495,34881,35374,35878,36255,36589,36930,37211,37509,37900
1006,Bowral - Mittagong,33499,33963,34142,34226,34256,34429,34843,35139,35576,35996,36266,36551,36956,37366,37927,38653,39258,39859,40429,41037,41446,41753
1007,Broken Hill,20929,20681,20403,20111,19915,19753,19708,19604,19421,19267,19151,18985,18802,18627,18360,18114,17994,17914,17801,17718,17662,17569
1008,Byron Bay,9247,9254,9288,9214,9108,8958,8949,9001,9043,9120,9237,9456,9689,9852,10018,10203,10379,10549,10742,10956,10951,10911
1009,Camden Haven,13784,14301,14659,14978,15212,15311,15550,15868,16030,16101,16267,16330,16374,16502,16751,17001,17331,17649,17941,18238,18418,18657
1010,Central Coast,291585,294523,296339,297059,298468,300133,303573,309336,313713,317242,319519,321960,324476,327056,329895,333188,336699,339608,342215,344289,345066,345722
1011,Coffs Harbour,58374,59317,60308,61183,61658,62378,63241,64218,64987,66003,66689,67228,67926,68580,69239,70106,71166,72250,73170,73851,74219,75130
1012,Dubbo,33419,33477,33469,33533,33566,33694,33961,34219,34602,35056,35281,35541,35867,36323,36715,37118,38098,39105,39879,40498,41026,41321
1013,Forster - Tuncurry,18852,19161,19282,19468,19473,19425,19640,19717,19913,20137,20273,20311,20411,20503,20635,20855,21041,21145,21173,21106,21012,21008
1014,Goulburn,21460,21370,21282,21190,21120,21024,21053,21281,21629,21973,22202,22442,22673,22897,23138,23415,23734,24025,24345,24635,24690,24840
1015,Grafton,18513,18401,18323,18311,18278,18391,18383,18436,18695,18891,19051,19043,19055,19046,19037,19037,19153,19254,19321,19359,19335,19453
