Australian Bureau of Statistics

"2021 Census - counting persons, place of usual residence"
"Significant Urban Areas (UR) by AGE10P Age in Ten Year Groups"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"AGE10P Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"Significant Urban Areas (UR)",
"Not in any Significant Urban Area (NSW)",114488,123695,93406,107578,117405,143293,155838,112755,44561,9162,205,1022386,
"Albury - Wodonga",12687,12208,12513,12839,11578,11710,11330,8321,3702,876,23,97793,
"Armidale",2737,3559,3814,2993,2429,2725,2484,1982,1038,218,4,23967,
"Ballina",4721,5215,3824,4898,5540,6135,6854,5526,2700,763,25,46190,
"Batemans Bay",1570,1836,1361,1488,1788,2295,3109,2724,1102,246,5,17524,
"Bathurst",4599,5039,5139,4986,4373,4325,4095,2952,1495,377,8,37396,
"Bowral - Mittagong",4449,4987,3587,4294,4692,5344,5533,5519,2670,512,21,41600,
"Broken Hill",1967,2007,1990,2078,1842,2280,2545,1765,888,230,3,17588,
"Byron Bay",974,923,1514,2095,1527,1290,1418,836,253,81,3,10914,
"Camden Haven",1427,1870,1086,1232,1697,2556,3400,3499,1433,276,7,18484,
"Central Coast",40136,41611,36706,40047,42028,44163,42670,34900,16613,4186,120,343180,
"Coffs Harbour",8310,9076,7417,8775,8844,9224,10171,7818,3635,888,26,74195,
"Dubbo",5956,5122,5796,5947,4441,4419,4063,2920,1548,348,11,40578,
"Forster - Tuncurry",1547,1890,1412,1639,1884,2435,3797,3918,2011,548,9,21087,
"Goulburn",2986,2797,3092,3256,2780,3058,2882,2322,1087,310,4,24565,
"Grafton",2350,2366,2118,2103,2083,2279,2425,2067,1155,311,6,19255,
"Griffith",2727,2429,2812,3158,2478,2419,2057,1338,908,229,7,20569,
"Kempsey",1792,2062,1799,1824,1675,1939,2013,1641,719,190,0,15654,
"Lismore",3126,3594,3538,3434,3427,3729,3738,2543,1301,382,8,28816,
"Lithgow",1271,1367,1367,1401,1353,1572,1727,1502,685,142,0,12385,
"Medowie",2023,2071,1527,1767,1954,1995,1812,1435,380,52,0,15020,
"Morisset - Cooranbong",3196,3052,3119,3101,2920,3357,3641,3223,1772,435,15,27828,
"Mudgee",1849,1545,1501,1813,1379,1485,1255,1051,561,138,0,12563,
"Muswellbrook",1793,1677,1600,1792,1505,1568,1181,782,319,56,0,12272,
"Nelson Bay",2273,3014,2085,2226,2978,3737,4941,4750,1979,422,11,28418,
"Newcastle - Maitland",61397,61455,68689,68670,62296,61264,57540,42718,19393,4880,130,508437,
"Nowra - Bomaderry",4893,4709,4934,4969,4338,4508,4577,3657,1676,413,8,38678,
"Orange",5978,5670,5174,5792,4956,4622,4242,3456,1660,354,8,41920,
"Port Macquarie",5014,5944,4870,5133,5692,6086,6735,6565,3271,861,21,50193,
"Singleton",2358,2456,2459,2311,2082,2079,1633,1072,455,122,6,17018,
"St Georges Basin - Sanctuary Point",1920,2079,1732,1956,2153,2520,3264,2989,1251,228,0,20105,
"Sydney",593651,566998,693718,783994,659504,574056,460721,312453,146675,37196,1069,4830047,
"Tamworth",5943,5996,5654,5911,4781,4865,4592,3691,1982,450,13,43874,
"Taree",3016,3191,2699,2718,2655,3240,3639,3209,1719,416,12,26519,
"Ulladulla",1676,1752,1215,1658,1738,2095,3021,2519,1122,226,6,17026,
"Wagga Wagga",7563,7637,8415,7632,6317,6291,6006,4305,2277,556,17,57003,
"Wollongong",35847,37549,40826,38701,38133,37796,35109,25747,12979,2965,50,305691,
"Not in any Significant Urban Area (Vic.)",74429,82135,62719,74353,82505,103846,114528,82575,31867,6912,180,716050,
"Bacchus Marsh",3410,3140,3089,3670,3171,2955,2501,1927,673,180,4,24717,
"Bairnsdale",1803,1741,1698,1698,1661,1846,2086,1966,983,200,0,15684,
"Ballarat",13721,14113,15137,14553,13562,13320,12510,9532,4354,1143,26,111973,
"Bendigo",12847,12522,13566,13518,12085,12053,11922,9011,4374,1121,17,103034,
"Castlemaine",1025,1092,789,1290,1423,1558,1798,1446,713,205,4,11352,
"Colac",1430,1458,1535,1541,1378,1527,1604,1312,780,193,7,12756,
"Echuca - Moama",2439,2663,2208,2383,2455,2841,3266,2762,1279,261,8,22568,
"Geelong",35029,33793,38177,40003,36327,34210,32894,25009,11315,2813,59,289630,
"Gisborne",2999,3309,1733,2425,3315,3211,2569,1908,613,112,5,22200,
"Horsham",2086,2029,2112,2138,1832,2012,2054,1586,911,224,4,16985,
"Melbourne",585585,554975,701852,789280,646491,572617,454673,318434,154851,38068,1016,4817843,
"Mildura - Buronga",6591,6564,6587,6837,6299,6763,6368,4782,2295,527,18,53620,
"Moe - Newborough",2378,2517,2619,2535,2394,3005,3104,2215,988,245,5,21997,
"Portland",1127,1277,1099,1105,1333,1606,1776,1192,558,143,0,11230,
"Sale",1829,1855,1734,1874,1748,1915,1909,1508,708,202,10,15301,
"Shepparton - Mooroopna",7038,6849,6838,7043,6304,6422,5946,4566,2299,533,5,53841,
"Swan Hill",1465,1245,1536,1518,1156,1266,1224,970,635,164,3,11186,
"Traralgon - Morwell",5142,5097,5289,5589,4865,5472,5338,4036,1932,489,11,43252,
"Wangaratta",2157,2462,2159,2196,2298,2452,2457,2153,1217,322,6,19882,
"Warragul - Drouin",5488,5195,5023,5541,4683,5266,5215,4195,1851,364,19,42827,
"Warrnambool",3971,4413,4156,4366,4340,4590,4509,3362,1620,404,12,35743,
"Not in any Significant Urban Area (Qld)",85844,91942,76209,85298,89590,108800,109580,74207,25773,4528,97,751871,
"Airlie Beach - Cannonvale",1490,1476,2576,2498,2023,1940,1538,797,167,12,0,14523,
"Brisbane",307968,315549,352252,369890,330337,292347,230940,163295,68013,16239,455,2447280,
"Bundaberg",7847,8896,7919,7879,8101,9117,10006,8911,4205,841,26,73747,
"Cairns",18424,20126,18462,21139,21744,20896,16945,11002,3859,807,18,153425,
"Emerald",2355,2148,2066,2339,1899,1638,1057,430,141,23,4,14089,
"Gladstone",6412,6481,5547,6232,6142,6098,4617,2509,975,168,4,45185,
"Gold Coast - Tweed Heads",78157,82746,87795,94457,92427,86909,76976,61363,26344,6238,188,693596,
"Gympie",2505,3012,2474,2460,2436,2810,2843,2397,1193,275,9,22424,
"Hervey Bay",5322,6555,4544,5272,5923,7294,9218,9060,3836,678,18,57722,
"Kingaroy",1382,1379,1398,1265,1131,1160,1214,1019,466,124,0,10545,
"Mackay",10964,11077,10882,11931,10875,11087,8972,5449,2525,560,8,84333,
"Maryborough",2641,3229,2798,2736,3064,3623,4159,3478,1442,311,5,27489,
"Mount Isa",2990,2507,3026,3031,2316,2178,1287,684,257,33,0,18317,
"Rockhampton",10402,11088,10794,11062,9594,9339,8195,5412,2770,615,17,79293,
"Sunshine Coast",40897,47180,38245,44802,49578,51610,49616,39946,17125,3815,88,382903,
"Toowoomba",17777,19932,18719,18323,16443,16409,15298,12031,5852,1337,31,142163,
"Townsville",22407,24469,28559,25021,22596,21839,17505,11174,4515,910,16,179011,
"Warwick",1823,2005,1737,1550,1587,1904,2089,1809,858,165,6,15525,
"Yeppoon",2268,2757,2044,2348,2461,2822,2681,1861,825,170,8,20244,
"Not in any Significant Urban Area (SA)",28826,30951,25123,28782,30779,39838,43035,30669,11681,2634,74,272390,
"Adelaide",154218,157177,186121,192422,171474,170948,152928,113712,54160,14612,448,1368209,
"Mount Gambier",3433,3789,3387,3550,3307,3959,3595,2737,1338,340,11,29446,
"Murray Bridge",1980,2094,2234,2257,1930,2369,2298,1903,959,207,9,18243,
"Port Augusta",1644,1639,1821,1909,1533,1770,1513,1144,466,79,0,13515,
"Port Lincoln",1943,2026,1791,2102,1901,2141,2099,1471,666,172,4,16307,
"Port Pirie",1498,1717,1719,1490,1510,1874,1724,1462,719,168,12,13896,
"Victor Harbor - Goolwa",1991,2356,1591,1968,2473,3241,5445,6119,2561,604,17,28363,
"Whyalla",2449,2559,2586,2614,2475,3084,2506,1809,931,125,3,21154,
"Not in any Significant Urban Area (WA)",32957,31961,29533,37102,37091,41818,38672,24083,8357,1481,35,283092,
"Albany",3758,4498,3439,3878,4049,4619,4799,3710,1870,418,14,35053,
"Broome",2277,1952,1845,2713,2139,1897,1237,456,125,12,0,14660,
"Bunbury",9765,10169,8326,10070,9925,9801,8933,6289,2579,583,9,76452,
"Busselton",4649,5209,3077,4638,5429,5281,5514,4535,1825,382,7,40544,
"Esperance",1479,1554,1205,1421,1441,1653,1450,1187,516,91,3,12003,
"Geraldton",4959,5236,4311,4747,4915,5234,4508,3007,1408,273,3,38595,
"Kalgoorlie - Boulder",4445,3649,4357,4699,3951,3767,2598,1136,410,63,0,29072,
"Karratha",3161,2263,2287,3664,2815,1783,824,173,30,3,0,17013,
"Perth",264251,256271,274314,321002,279286,258682,213374,148419,66827,15383,432,2098239,
"Port Hedland",2704,1864,2178,3286,2176,1868,937,208,69,9,0,15298,
"Not in any Significant Urban Area (Tas.)",16743,18211,15464,17733,18666,25142,27530,18550,6283,1008,9,165335,
"Burnie - Somerset",3133,3362,3290,3163,3116,3734,3615,2797,1352,260,5,27826,
"Devonport",3362,3734,3800,3763,3637,4042,4069,3460,1512,329,8,31721,
"Hobart",24602,25543,32683,34395,26706,26797,25804,19184,8842,2050,54,226653,
"Launceston",10095,10738,13043,12035,10744,11172,10223,8038,3889,936,22,90953,
"Ulverstone",1491,1693,1487,1525,1607,2084,2292,1861,869,165,0,15086,
"Not in any Significant Urban Area (NT)",11785,11860,12772,13017,10441,9785,6581,2624,543,60,0,79475,
"Alice Springs",3686,3205,3529,4866,3383,3325,2481,998,368,62,5,25912,
"Darwin",17595,14945,20427,23465,17654,14886,10523,5723,1730,267,3,127215,
"Not in any Significant Urban Area (ACT)",169,238,269,201,261,224,186,90,26,0,0,1666,
"Canberra - Queanbeyan",60315,57471,78525,81604,66242,55990,43471,30939,13001,2898,62,490517,
"Not in any Significant Urban Area (OT)",532,489,489,651,594,740,701,420,149,22,0,4788,
"Total",3049947,3045863,3351215,3691909,3284809,3152858,2766562,1982689,882998,208394,5547,25422788,

"Dataset: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
