Australian Bureau of Statistics

"2021 Census - employment, income and education"
"Significant Urban Areas (UR) by 1-digit level HEAP Level of Highest Educational Attainment"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"1-digit level HEAP Level of Highest Educational Attainment","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"Significant Urban Areas (UR)",
"Not in any Significant Urban Area (NSW)",23466,14782,89992,69677,176200,254711,1067,83249,25054,103389,180797,1022386,
"Albury - Wodonga",2533,1941,9467,7535,17174,24498,95,6899,2369,6379,18893,97793,
"Armidale",1969,577,3104,1500,2828,5351,25,1382,650,2318,4272,23967,
"Ballina",1600,951,6234,3990,7332,10723,39,3030,1301,3470,7516,46190,
"Batemans Bay",482,325,1378,1334,3096,4658,23,1403,544,1706,2568,17524,
"Bathurst",1185,624,3947,2486,6262,9222,28,2587,978,2950,7123,37396,
"Bowral - Mittagong",2156,865,5585,3756,6199,9526,43,2288,1343,2726,7111,41600,
"Broken Hill",252,224,1042,893,2989,4750,29,2282,361,1760,2999,17588,
"Byron Bay",633,199,2303,1041,1252,2314,4,308,309,1055,1489,10914,
"Camden Haven",374,293,1620,1494,3896,4852,23,1697,602,1257,2395,18484,
"Central Coast",9932,4975,35282,27480,59062,87227,323,23555,9993,23604,61744,343180,
"Coffs Harbour",1961,1291,7928,5887,12411,18144,88,5436,2259,5655,13140,74195,
"Dubbo",1366,599,4117,2441,6299,9800,24,2742,902,3545,8747,40578,
"Forster - Tuncurry",338,254,1559,1532,3877,5781,29,2280,679,2226,2526,21087,
"Goulburn",579,372,1886,1774,4223,6189,25,2120,639,2255,4491,24565,
"Grafton",252,208,1199,1110,3369,5199,32,1947,501,1809,3631,19255,
"Griffith",458,194,1801,1127,2905,5783,19,1907,681,1725,3974,20569,
"Kempsey",117,122,745,744,2668,3878,28,1788,391,2321,2856,15654,
"Lismore",871,543,3176,2001,4664,7452,43,2173,726,2214,4952,28816,
"Lithgow",185,155,778,745,2212,3367,16,1251,277,1409,1992,12385,
"Medowie",254,179,1078,1181,3240,3635,15,1126,323,836,3147,15020,
"Morisset - Cooranbong",811,389,2422,2172,5471,6980,33,2150,859,1799,4743,27828,
"Mudgee",263,154,1139,799,2431,3034,9,885,325,864,2680,12563,
"Muswellbrook",128,99,603,607,2427,3164,16,1179,238,1107,2697,12272,
"Nelson Bay",800,469,2753,2664,5339,7366,21,2019,958,2210,3817,28418,
"Newcastle - Maitland",17952,8197,58804,37420,88466,123083,489,37535,12617,30801,93067,508437,
"Nowra - Bomaderry",859,570,2978,2758,6914,9123,62,3329,996,3744,7342,38678,
"Orange",1453,695,4791,2929,6498,9535,54,3094,1059,2744,9078,41920,
"Port Macquarie",1645,883,5673,4192,8448,12633,66,3646,1489,3467,8060,50193,
"Singleton",251,145,1110,976,3650,4472,21,1365,380,1077,3564,17018,
"St Georges Basin - Sanctuary Point",494,303,1579,1536,3962,5108,32,1835,611,1605,3047,20105,
"Sydney",388780,85024,891500,380690,436115,1063124,2281,239644,163363,289831,889695,4830047,
"Tamworth",991,615,3789,2681,7090,11281,47,3637,1092,3584,9045,43874,
"Taree",359,243,1494,1522,4515,7198,54,2922,647,2837,4722,26519,
"Ulladulla",470,309,1609,1290,3202,4332,14,1380,541,1276,2608,17026,
"Wagga Wagga",1776,995,6160,3741,9232,14367,70,4071,1559,3610,11409,57003,
"Wollongong",13869,5439,36089,23859,50756,71906,291,22118,9132,17466,54767,305691,
"Not in any Significant Urban Area (Vic.)",16779,14349,64465,54511,121562,182391,672,61133,13750,68418,118011,716050,
"Bacchus Marsh",685,474,2297,2073,4253,6203,19,1832,480,1248,5158,24717,
"Bairnsdale",280,265,1161,1184,2618,4266,18,1474,297,1416,2698,15684,
"Ballarat",4584,2964,13627,8327,16692,27163,105,8500,1938,7055,21017,111973,
"Bendigo",3131,2546,11312,7623,16387,25209,116,8221,2176,6930,19389,103034,
"Castlemaine",802,482,1683,953,1243,2635,8,680,177,1084,1608,11352,
"Colac",179,150,877,811,2220,3626,11,1517,298,894,2176,12756,
"Echuca - Moama",362,377,1901,1499,3960,6112,21,2263,424,1843,3814,22568,
"Geelong",12847,7417,40319,24742,42293,66874,196,18943,6038,17450,52506,289630,
"Gisborne",997,736,3034,2021,3206,4757,9,1090,442,1147,4763,22200,
"Horsham",355,281,1404,1275,2861,4496,19,1653,307,1174,3161,16985,
"Melbourne",351486,117283,833899,391937,485821,1071472,2479,284009,137422,270006,872036,4817843,
"Mildura - Buronga",840,778,4125,3501,8059,14094,56,5511,1362,5254,10038,53620,
"Moe - Newborough",245,247,1202,1385,4592,5810,40,2284,430,2084,3680,21997,
"Portland",142,173,760,738,2037,3223,13,1213,235,927,1764,11230,
"Sale",405,294,1468,1213,2486,3860,14,1290,278,1176,2805,15301,
"Shepparton - Mooroopna",1221,969,4341,3688,7566,13848,63,5246,1535,4738,10632,53841,
"Swan Hill",171,179,858,758,1701,3083,4,1060,315,912,2146,11186,
"Traralgon - Morwell",866,629,3320,2796,7716,11135,33,4127,824,4009,7803,43252,
"Wangaratta",450,451,1839,1504,3287,5075,15,1841,395,1598,3429,19882,
"Warragul - Drouin",1034,880,3975,3393,7678,10302,32,3420,958,2836,8318,42827,
"Warrnambool",1017,825,3875,2712,5746,8994,32,3063,644,2578,6258,35743,
"Not in any Significant Urban Area (Qld)",10236,8009,50422,44612,132075,210101,739,60421,15546,84014,135694,751871,
"Airlie Beach - Cannonvale",300,149,1535,1312,2720,3567,10,442,313,1890,2274,14523,
"Brisbane",127652,52411,363590,194986,333557,596194,1438,114068,58068,134440,470864,2447280,
"Bundaberg",1152,909,5795,4398,13157,21489,90,6958,1717,5524,12559,73747,
"Cairns",4641,2735,17149,12391,24972,37227,134,7142,3672,14236,29125,153425,
"Emerald",227,185,1079,733,2596,3644,6,611,252,1190,3554,14089,
"Gladstone",683,533,3421,2439,9358,12243,43,2735,843,2990,9888,45185,
"Gold Coast - Tweed Heads",25502,11354,85647,64073,108176,176398,376,31648,17805,51551,121069,693596,
"Gympie",265,253,1399,1402,4228,6575,23,2088,503,1641,4040,22424,
"Hervey Bay",1077,779,4503,4246,10585,16295,72,4958,1348,4966,8890,57722,
"Kingaroy",155,113,756,648,1824,2970,16,940,233,785,2108,10545,
"Mackay",1444,1047,7082,4807,16208,22312,47,5204,1510,7708,16949,84333,
"Maryborough",254,251,1440,1654,5260,8696,35,2753,581,2272,4291,27489,
"Mount Isa",366,214,1455,826,3253,4656,9,1064,297,1843,4331,18317,
"Rockhampton",1546,1003,6552,4260,13331,22794,73,5810,1472,6206,16246,79293,
"Sunshine Coast",12767,7457,48061,34911,65351,95621,235,17932,9439,25416,65708,382903,
"Toowoomba",4986,2675,16148,10220,22789,35796,127,9662,3499,8137,28123,142163,
"Townsville",5094,2850,18635,11881,29928,49202,124,9470,3362,13801,34665,179011,
"Warwick",190,183,1015,853,2661,4615,10,1396,363,1344,2894,15525,
"Yeppoon",452,363,1841,1339,3821,5339,19,1347,391,1599,3737,20244,
"Not in any Significant Urban Area (SA)",3842,3268,19894,17315,46941,83059,223,22087,6175,24121,45453,272390,
"Adelaide",70845,28059,195981,102175,187774,364389,852,77512,38180,68120,234316,1368209,
"Mount Gambier",403,384,2079,1616,5324,8981,36,2568,651,2047,5354,29446,
"Murray Bridge",179,173,892,903,3142,6090,23,1939,428,1415,3068,18243,
"Port Augusta",197,140,713,628,2171,4340,19,1200,312,1272,2521,13515,
"Port Lincoln",209,173,1185,954,2840,5003,16,1188,351,1346,3023,16307,
"Port Pirie",134,112,686,591,2375,4645,17,1627,219,1118,2373,13896,
"Victor Harbor - Goolwa",697,548,2697,2530,4948,8775,31,2053,852,1994,3242,28363,
"Whyalla",277,172,1273,985,4068,6932,26,1515,380,1724,3794,21154,
"Not in any Significant Urban Area (WA)",3897,3171,20773,16123,45103,82784,180,16066,6264,38420,50309,283092,
"Albany",671,581,3154,2670,6117,10317,39,2068,894,2447,6091,35053,
"Broome",432,325,1683,1000,2010,2973,5,478,301,2023,3421,14660,
"Bunbury",1300,1092,6520,5019,14793,21729,48,4101,1761,4900,15186,76452,
"Busselton",785,721,4297,3286,7091,10886,15,1884,1037,2941,7596,40544,
"Esperance",121,144,842,678,1997,3627,5,738,209,1338,2303,12003,
"Geraldton",554,522,2728,2432,6751,11015,29,2293,862,3675,7736,38595,
"Kalgoorlie - Boulder",625,304,2185,1400,5176,8159,12,1315,554,2865,6476,29072,
"Karratha",368,257,1485,1010,3135,3368,13,437,271,2173,4497,17013,
"Perth",100929,42866,308855,166170,287560,526546,1003,86695,55010,124215,398380,2098239,
"Port Hedland",229,163,1093,865,2786,3475,13,495,279,2126,3779,15298,
"Not in any Significant Urban Area (Tas.)",4093,2234,13804,10878,29369,46980,125,13599,3421,14344,26482,165335,
"Burnie - Somerset",546,353,2030,1646,4854,8183,30,2578,643,2047,4925,27826,
"Devonport",654,352,2326,1930,5757,9440,31,2914,732,2243,5355,31721,
"Hobart",17553,5630,34110,15432,29676,55815,145,12875,4883,12579,37944,226653,
"Launceston",4071,1521,10809,5855,13789,24984,93,6293,2323,5615,15589,90953,
"Ulverstone",292,211,1251,955,2742,4272,22,1578,339,1086,2336,15086,
