Australian Bureau of Statistics

"2021 Census - counting persons, place of usual residence"
"Significant Urban Areas (UR) by INCP Total Personal Income (weekly)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)","Not stated","Not applicable","Total",
"Significant Urban Areas (UR)",
"Not in any Significant Urban Area (NSW)",8205,51879,27227,42529,80352,81054,69508,64546,70221,71837,47875,39680,28683,45175,8975,15721,88118,180797,1022386,
"Albury - Wodonga",470,4399,2463,3825,6156,6942,6570,6555,8014,8465,5945,4595,3217,4266,656,1130,5216,18893,97793,
"Armidale",120,1217,738,1112,1585,1581,1670,1490,1655,1734,1193,992,760,1224,203,358,2066,4272,23967,
"Ballina",229,1764,1316,1826,3296,3846,3707,3325,3663,3638,2370,2004,1395,2160,422,901,2803,7516,46190,
"Batemans Bay",110,807,487,866,1746,1626,1487,1320,1341,1260,795,568,400,499,122,193,1346,2568,17524,
"Bathurst",153,1880,1022,1321,2235,2565,2367,2337,2803,2832,2116,1793,1377,2077,314,432,2647,7123,37396,
"Bowral - Mittagong",219,2365,1230,1466,2496,2947,2680,2718,2937,3266,2235,1940,1354,2383,609,1323,2316,7111,41600,
"Broken Hill",122,790,385,764,1444,1811,1226,1017,1038,1093,787,706,584,959,149,172,1547,2999,17588,
"Byron Bay",47,467,256,325,560,668,838,870,941,924,598,490,350,522,158,399,1017,1489,10914,
"Camden Haven",94,903,535,993,2241,1923,1885,1416,1382,1217,804,585,438,597,95,135,855,2395,18484,
"Central Coast",1891,19303,9149,13447,24651,26064,25099,22254,23532,25058,18250,14762,11343,17610,3654,5938,19420,61744,343180,
"Coffs Harbour",400,3402,2096,3238,5889,5890,5890,5255,5706,5702,3515,2908,2041,2949,546,893,4721,13140,74195,
"Dubbo",250,1665,895,1277,2037,2451,2219,2354,3185,3537,2426,1936,1365,2165,350,503,3232,8747,40578,
"Forster - Tuncurry",151,842,623,1024,2443,2583,2091,1547,1541,1347,823,606,403,519,114,222,1681,2526,21087,
"Goulburn",156,1161,580,927,1655,1947,1666,1553,1807,1914,1360,1114,792,1240,156,231,1803,4491,24565,
"Grafton",116,888,468,828,1861,1820,1584,1325,1399,1352,770,634,383,571,79,146,1398,3631,19255,
"Griffith",168,1102,482,697,1052,1175,1143,1394,2142,1983,1156,879,637,793,136,193,1461,3974,20569,
"Kempsey",129,690,357,736,1478,1637,1156,993,1037,933,507,375,252,301,44,77,2087,2856,15654,
"Lismore",99,1216,731,1214,2257,2765,2364,2121,2464,2387,1410,1117,709,839,136,199,1833,4952,28816,
"Lithgow",87,621,308,578,1053,1302,912,769,803,740,531,448,308,505,109,170,1148,1992,12385,
"Medowie",91,882,445,594,1092,950,929,873,960,1137,796,725,543,843,146,158,709,3147,15020,
"Morisset - Cooranbong",188,1665,755,1192,2205,2191,2168,1858,1940,2038,1405,1148,858,1259,223,304,1696,4743,27828,
"Mudgee",68,566,301,415,759,952,821,787,832,822,582,497,414,877,219,298,697,2680,12563,
"Muswellbrook",82,747,323,479,744,757,711,627,723,758,464,514,377,901,217,179,974,2697,12272,
"Nelson Bay",163,1513,931,1265,2650,2526,2513,2148,1946,2038,1303,1114,793,1259,249,496,1703,3817,28418,
"Newcastle - Maitland",2262,25933,13409,19587,34425,37556,33998,30584,35102,39082,28474,24241,18446,31147,6205,9352,25567,93067,508437,
"Nowra - Bomaderry",201,1789,1039,1617,3054,3216,2884,2565,2677,2666,1867,1525,1048,1414,199,354,3217,7342,38678,
"Orange",194,2005,1081,1419,2336,2747,2571,2377,2798,3167,2348,1994,1576,2664,524,719,2305,9078,41920,
"Port Macquarie",228,2263,1448,2132,4429,4186,4192,3563,3774,3804,2490,1996,1510,2238,459,820,2600,8060,50193,
"Singleton",119,988,450,607,922,1062,955,1019,1127,1083,759,692,601,1346,376,397,959,3564,17018,
"St Georges Basin - Sanctuary Point",119,1106,495,798,2266,1964,1627,1387,1413,1382,892,696,567,783,111,223,1229,3047,20105,
"Sydney",28219,392576,113544,170899,257563,245731,246502,247166,290737,342416,272206,242252,187567,356990,93598,196015,256387,889695,4830047,
"Tamworth",290,1932,999,1577,2849,3059,2860,2764,3686,3956,2324,1705,1195,1779,326,434,3091,9045,43874,
"Taree",190,1171,645,1280,2691,2872,2241,1908,1911,1754,937,739,453,501,93,186,2231,4722,26519,
"Ulladulla",102,777,548,852,1642,1654,1528,1322,1291,1181,779,562,407,503,94,206,975,2608,17026,
"Wagga Wagga",259,2542,1617,2339,3292,3729,3561,3641,4408,4684,3282,2858,2061,3005,485,824,3009,11409,57003,
"Wollongong",1552,18296,8043,12694,22042,22750,20405,18500,19900,21888,16270,14416,11096,19111,3872,5710,14388,54767,305691,
"Not in any Significant Urban Area (Vic.)",5461,37580,20397,30690,56076,58644,50722,46983,50408,52088,35041,29342,19158,28508,6034,10902,60009,118011,716050,
"Bacchus Marsh",152,1575,647,878,1374,1560,1445,1418,1722,1826,1520,1332,884,1524,302,339,1058,5158,24717,
"Bairnsdale",105,659,461,692,1329,1382,1271,1176,1219,1158,721,622,359,414,81,146,1188,2698,15684,
"Ballarat",603,5666,3145,4447,7631,8265,8209,7293,8243,8655,6049,5028,3543,5363,1067,1804,5942,21017,111973,
"Bendigo",496,4791,2882,4263,7025,7704,7560,6767,8055,7944,5584,4905,3309,4639,854,1169,5702,19389,103034,
"Castlemaine",57,468,326,458,825,1007,856,759,741,773,508,461,336,503,103,152,1408,1608,11352,
"Colac",113,568,384,561,914,1165,939,881,1176,1233,690,446,311,359,66,87,703,2176,12756,
"Echuca - Moama",151,1018,651,947,1785,1835,1652,1577,1699,1767,1128,1024,628,919,177,279,1519,3814,22568,
"Geelong",1426,15405,8528,11612,18121,19706,19204,17593,19750,21545,16249,14564,10424,17205,3601,6125,16069,52506,289630,
"Gisborne",96,1566,765,762,946,976,1147,1126,1201,1356,1118,1176,892,1905,522,861,1019,4763,22200,
"Horsham",90,686,468,664,1116,1308,1184,1166,1396,1473,985,790,466,713,119,227,973,3161,16985,
"Melbourne",29176,375398,133825,189510,272211,268745,260990,257462,315902,357181,277842,247210,179671,317344,77974,143661,241711,872036,4817843,
"Mildura - Buronga",398,2681,1328,2241,4146,3947,3711,3584,4016,4102,2583,2236,1458,1881,301,532,4437,10038,53620,
"Moe - Newborough",162,1205,564,1028,1930,2125,1630,1455,1517,1432,967,758,517,764,160,263,1852,3680,21997,
"Portland",80,581,346,567,972,1036,878,823,757,752,528,444,275,524,61,93,732,1764,11230,
"Sale",94,898,428,603,1034,1223,1135,978,1029,1008,752,669,477,731,176,286,980,2805,15301,
"Shepparton - Mooroopna",426,2931,1423,2252,3830,3973,3438,3571,4307,4131,2767,2198,1394,1816,329,602,3831,10632,53841,
"Swan Hill",75,472,232,373,813,841,773,800,971,988,595,456,325,365,81,119,755,2146,11186,
"Traralgon - Morwell",286,2299,1094,1943,3360,3576,2922,2518,2883,2905,2079,1818,1214,1945,411,611,3585,7803,43252,
"Wangaratta",114,856,555,775,1499,1716,1515,1342,1660,1629,989,845,571,745,123,193,1330,3429,19882,
"Warragul - Drouin",226,2413,1197,1807,2883,3132,2865,2791,3173,3219,2270,1819,1371,1957,369,611,2396,8318,42827,
"Warrnambool",203,1477,1056,1449,2296,2790,2627,2463,2857,3036,2191,1592,1133,1480,282,501,2062,6258,35743,
"Not in any Significant Urban Area (Qld)",6646,39004,19632,34585,61602,57493,48541,44329,48988,48863,32492,28131,19784,31381,7317,9576,77816,135694,751871,
"Airlie Beach - Cannonvale",70,578,240,414,573,564,857,1205,1519,1372,826,649,447,724,193,271,1755,2274,14523,
"Brisbane",12015,157393,66812,90992,137553,139215,142540,138076,168814,186607,142719,124247,92449,158215,34911,62876,120970,470864,2447280,
"Bundaberg",425,3640,1975,3483,7210,6936,5966,5002,5530,5196,3198,2675,1812,2511,422,707,4514,12559,73747,
"Cairns",922,8138,4013,5524,8338,9012,9647,9460,11543,11987,8624,7428,5373,7893,1437,2161,12787,29125,153425,
"Emerald",69,715,349,358,443,481,610,711,847,926,765,701,517,1136,350,429,1117,3554,14089,
"Gladstone",273,3005,1255,1764,2502,2509,2717,2335,2510,2630,2146,2103,1770,3395,776,876,2718,9888,45185,
"Gold Coast - Tweed Heads",3654,40873,18755,26378,43858,45283,48155,45132,52245,54925,37966,32026,22702,34835,7572,13692,44488,121069,693596,
"Gympie",126,1110,607,1060,2201,2385,1891,1638,1718,1497,875,696,465,622,95,129,1276,4040,22424,
"Hervey Bay",411,3091,1579,2881,6737,5944,5007,3890,3765,3612,2197,1864,1270,1698,308,542,4023,8890,57722,
"Kingaroy",59,489,288,412,810,919,820,713,859,736,440,368,246,396,71,125,699,2108,10545,
"Mackay",445,4388,2161,2759,4197,4555,4704,4552,5501,5831,4476,4095,3335,6020,1479,1753,7129,16949,84333,
"Maryborough",176,1335,679,1558,3041,3158,2261,1746,1789,1672,1045,847,539,657,107,147,2442,4291,27489,
"Mount Isa",92,962,392,604,644,633,619,697,871,1085,964,998,924,2173,422,318,1586,4331,18317,
"Rockhampton",466,4144,1994,2915,4843,5164,4663,4663,5582,5540,4178,3567,2709,4273,929,1070,6333,16246,79293,
"Sunshine Coast",1689,19823,11467,15442,25867,27384,27818,26004,28606,29811,20473,17534,12613,18876,4326,7898,21597,65708,382903,
"Toowoomba",738,7448,4232,5683,9193,9750,9539,9009,10550,11117,8029,6689,4920,7077,1299,1945,6814,28123,142163,
"Townsville",933,9156,4939,6576,9427,9552,10131,10051,12691,13965,11361,9984,7081,10460,1796,2546,13703,34665,179011,
"Warwick",102,679,445,706,1416,1453,1189,1142,1187,1136,651,497,336,405,72,91,1118,2894,15525,
"Yeppoon",109,1136,579,775,1321,1279,1249,1187,1221,1291,992,884,772,1454,379,428,1446,3737,20244,
"Not in any Significant Urban Area (SA)",1872,13008,7384,12985,23413,23551,19247,18130,19759,19930,13453,10800,7128,10329,2068,3368,20518,45453,272390,
"Adelaide",6530,84253,39660,61704,94956,98427,91105,83464,98920,111916,81169,66678,47317,72036,14170,25263,56334,234316,1368209,
"Mount Gambier",173,1256,860,1307,2311,2340,2057,2073,2417,2419,1598,1260,827,1052,153,264,1728,5354,29446,
"Murray Bridge",107,904,426,828,1821,1784,1463,1289,1520,1396,743,524,331,355,45,103,1555,3068,18243,
"Port Augusta",111,529,319,592,934,1019,932,868,824,840,639,556,408,603,112,132,1569,2521,13515,
"Port Lincoln",101,639,417,667,1177,1241,1148,1136,1256,1320,864,725,449,601,138,212,1197,3023,16307,
"Port Pirie",84,607,351,760,1512,1566,999,886,843,887,630,575,365,442,78,118,826,2373,13896,
"Victor Harbor - Goolwa",175,1271,844,1561,3648,3363,3178,2310,2014,1828,1039,815,508,758,158,292,1355,3242,28363,
"Whyalla",152,1246,512,1085,1845,1772,1390,1200,1173,1253,954,932,747,1210,191,206,1497,3794,21154,
"Not in any Significant Urban Area (WA)",2099,14816,6667,13524,19246,17261,15451,13894,15488,17417,12597,11755,9194,17344,4697,5660,35668,50309,283092,
"Albany",223,1735,1043,1541,2653,2666,2614,2267,2512,2712,1789,1576,1030,1591,277,437,2300,6091,35053,
"Broome",68,497,285,370,551,448,502,546,753,1022,922,922,751,1206,212,327,1871,3421,14660,
"Bunbury",428,4574,2183,2899,5093,4914,4721,4423,4825,5086,3762,3405,2783,5095,1169,1389,4517,15186,76452,
"Busselton",172,1872,1363,1634,2656,2741,2969,2703,2702,2928,2062,1704,1294,2223,582,878,2460,7596,40544,
"Esperance",84,562,326,353,782,814,705,697,738,810,586,531,406,752,151,228,1188,2303,12003,
"Geraldton",246,1987,974,1553,2496,2385,2201,2147,2303,2491,1884,1833,1392,2487,524,599,3345,7736,38595,
"Kalgoorlie - Boulder",176,1609,601,658,906,1040,1120,1117,1302,1707,1505,1695,1500,3170,918,821,2771,6476,29072,
"Karratha",79,752,304,308,267,254,359,436,619,872,753,851,905,1951,636,1133,2048,4497,17013,
"Perth",11071,146656,60490,82967,118758,116918,115859,106545,124170,146624,117271,106945,80714,152608,39008,66084,107155,398380,2098239,
"Port Hedland",127,732,191,324,379,291,331,381,445,693,727,841,748,1856,683,764,2004,3779,15298,
"Not in any Significant Urban Area (Tas.)",1185,8744,4506,8404,15958,15150,12181,11018,11551,12419,7888,6520,4294,5473,962,1583,10993,26482,165335,
"Burnie - Somerset",143,1319,715,1321,2615,2667,2144,1892,1899,1943,1355,1117,805,990,149,311,1519,4925,27826,
"Devonport",166,1498,799,1462,3058,3117,2572,2212,2433,2346,1550,1261,831,1028,155,230,1650,5355,31721,
"Hobart",1014,12891,6089,9476,14314,16511,15685,14833,17004,19338,13634,11413,8048,12094,2113,3835,10436,37944,226653,
"Launceston",436,4603,2467,4085,6883,7520,6797,6302,7083,7529,4942,3925,2835,3683,679,1253,4344,15589,90953,
"Ulverstone",84,691,399,733,1542,1569,1176,1104,1057,1060,679,625,457,549,63,126,820,2336,15086,
"Not in any Significant Urban Area (NT)",505,3190,3720,11072,5792,3924,2936,2416,2763,3517,2792,2658,1982,3566,643,720,9439,17843,79475,
"Alice Springs",163,1200,523,999,940,929,939,964,1604,2185,1978,1887,1367,2147,411,569,1716,5398,25912,
"Darwin",655,6777,2516,3240,4290,4632,5046,5355,7811,10637,9024,8554,6385,11126,2119,2895,10502,25655,127215,
"Not in any Significant Urban Area (ACT)",10,92,44,95,83,59,65,67,103,118,89,86,63,136,32,68,197,265,1666,
"Canberra - Queanbeyan",1380,26487,12188,14308,17164,19646,20874,21666,28532,36155,33553,34340,27475,56559,11149,19677,19834,89535,490517,
"Not in any Significant Urban Area (OT)",41,172,124,150,230,267,264,286,343,340,225,197,163,261,58,41,817,825,4788,
"Total",146805,1669570,679812,1005072,1573594,1581612,1511161,1438936,1680606,1866801,1402863,1229021,908593,1575067,366363,662715,1486211,4638004,25422788,

"Dataset: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
