SUA,Population,Income,Education
Not in any Significant Urban Area (NSW),1022386,15721,23466
Albury - Wodonga,97793,1130,2533
Armidale,23967,358,1969
Ballina,46190,901,1600
Batemans Bay,17524,193,482
Bathurst,37396,432,1185
Bowral - Mittagong,41600,1323,2156
Broken Hill,17588,172,252
Byron Bay,10914,399,633
Camden Haven,18484,135,374
Central Coast,343180,5938,9932
Coffs Harbour,74195,893,1961
Dubbo,40578,503,1366
Forster - Tuncurry,21087,222,338
Goulburn,24565,231,579
Grafton,19255,146,252
Griffith,20569,193,458
Kempsey,15654,77,117
Lismore,28816,199,871
Lithgow,12385,170,185
Medowie,15020,158,254
Morisset - Cooranbong,27828,304,811
Mudgee,12563,298,263
Muswellbrook,12272,179,128
Nelson Bay,28418,496,800
Newcastle - Maitland,508437,9352,17952
Nowra - Bomaderry,38678,354,859
Orange,41920,719,1453
Port Macquarie,50193,820,1645
Singleton,17018,397,251
St Georges Basin - Sanctuary Point,20105,223,494
Sydney,4830047,196015,388780
Tamworth,43874,434,991
Taree,26519,186,359
Ulladulla,17026,206,470
Wagga Wagga,57003,824,1776
Wollongong,305691,5710,13869
Not in any Significant Urban Area (Vic.),716050,10902,16779
Bacchus Marsh,24717,339,685
Bairnsdale,15684,146,280
Ballarat,111973,1804,4584
Bendigo,103034,1169,3131
Castlemaine,11352,152,802
Colac,12756,87,179
Echuca - Moama,22568,279,362
Geelong,289630,6125,12847
Gisborne,22200,861,997
Horsham,16985,227,355
Melbourne,4817843,143661,351486
Mildura - Buronga,53620,532,840
Moe - Newborough,21997,263,245
Portland,11230,93,142
Sale,15301,286,405
Shepparton - Mooroopna,53841,602,1221
Swan Hill,11186,119,171
Traralgon - Morwell,43252,611,866
Wangaratta,19882,193,450
Warragul - Drouin,42827,611,1034
Warrnambool,35743,501,1017
Not in any Significant Urban Area (Qld),751871,9576,10236
Airlie Beach - Cannonvale,14523,271,300
Brisbane,2447280,62876,127652
Bundaberg,73747,707,1152
Cairns,153425,2161,4641
Emerald,14089,429,227
Gladstone,45185,876,683
Gold Coast - Tweed Heads,693596,13692,25502
Gympie,22424,129,265
Hervey Bay,57722,542,1077
Kingaroy,10545,125,155
Mackay,84333,1753,1444
Maryborough,27489,147,254
Mount Isa,18317,318,366
Rockhampton,79293,1070,1546
Sunshine Coast,382903,7898,12767
Toowoomba,142163,1945,4986
Townsville,179011,2546,5094
Warwick,15525,91,190
Yeppoon,20244,428,452
Not in any Significant Urban Area (SA),272390,3368,3842
Adelaide,1368209,25263,70845
Mount Gambier,29446,264,403
Murray Bridge,18243,103,179
Port Augusta,13515,132,197
Port Lincoln,16307,212,209
Port Pirie,13896,118,134
Victor Harbor - Goolwa,28363,292,697
Whyalla,21154,206,277
Not in any Significant Urban Area (WA),283092,5660,3897
Albany,35053,437,671
Broome,14660,327,432
Bunbury,76452,1389,1300
Busselton,40544,878,785
Esperance,12003,228,121
Geraldton,38595,599,554
Kalgoorlie - Boulder,29072,821,625
Karratha,17013,1133,368
Perth,2098239,66084,100929
Port Hedland,15298,764,229
Not in any Significant Urban Area (Tas.),165335,1583,4093
Burnie - Somerset,27826,311,546
Devonport,31721,230,654
Hobart,226653,3835,17553
Launceston,90953,1253,4071
Ulverstone,15086,126,292
Not in any Significant Urban Area (NT),79475,720,1220
Alice Springs,25912,569,1475
Darwin,127215,2895,7570
Not in any Significant Urban Area (ACT),1666,68,89
Canberra - Queanbeyan,490517,19677,55316
Not in any Significant Urban Area (OT),4788,41,101
