"Município(Res)";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"110001 Alta Floresta D'Oeste";1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;4
"110040 Alto Paraíso";0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;5
"110034 Alvorada D'Oeste";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2
"110002 Ariquemes";2;0;1;0;1;0;2;3;3;4;5;3;5;3;2;2;6;42
"110045 Buritis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"110003 Cabixi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"110004 Cacoal";0;1;1;0;2;2;0;2;2;2;5;2;0;4;2;1;1;27
"110070 Campo Novo de Rondônia";0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;4
"110080 Candeias do Jamari";0;0;0;1;0;0;0;1;0;1;1;3;2;1;0;2;1;13
"110005 Cerejeiras";1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;4
"110092 Chupinguaia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"110006 Colorado do Oeste";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;3
"110007 Corumbiara";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"110008 Costa Marques";0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;4
"110094 Cujubim";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2
"110009 Espigão D'Oeste";0;0;0;0;0;0;1;1;1;2;0;0;1;0;0;0;0;6
"110100 Governador Jorge Teixeira";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"110010 Guajará-Mirim";1;0;1;0;0;0;0;1;1;0;1;1;1;2;3;1;3;16
"110110 Itapuã do Oeste";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"110011 Jaru";1;0;1;0;0;1;0;3;2;1;2;1;3;1;0;0;3;19
"110012 Ji-Paraná";2;1;4;2;3;5;1;5;4;2;4;4;10;4;4;3;5;63
"110013 Machadinho D'Oeste";0;1;0;0;0;0;0;0;0;0;0;1;1;2;1;1;0;7
"110120 Ministro Andreazza";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;3
"110130 Mirante da Serra";0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;3
"110140 Monte Negro";0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4
