"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"110001 Alta Floresta D'Oeste";20;17;20;42;15;23;26;18;16;24;18;9;29;25;27;4;19;352
"110037 Alto Alegre dos Parecis";-;1;3;2;2;6;6;12;10;9;7;10;3;6;13;12;21;123
"110040 Alto Paraíso";8;6;9;6;17;11;12;18;8;11;15;12;23;25;28;26;18;253
"110034 Alvorada D'Oeste";7;13;8;8;11;9;15;9;10;9;8;8;11;16;14;8;11;175
"110002 Ariquemes";106;103;85;67;101;97;97;121;107;103;109;86;129;115;94;114;137;1771
"110045 Buritis";-;7;24;18;27;38;43;47;39;57;31;30;26;45;48;32;46;558
"110003 Cabixi";3;4;2;8;1;2;7;5;9;3;1;4;4;4;2;2;1;62
"110060 Cacaulândia";6;4;4;7;4;7;5;4;4;4;3;1;3;3;1;8;6;74
"110004 Cacoal";58;52;62;59;46;56;64;59;52;46;74;48;65;60;73;53;65;992
"110070 Campo Novo de Rondônia";10;4;8;9;16;19;17;7;11;13;6;7;13;18;19;13;18;208
"110080 Candeias do Jamari";6;5;3;17;1;1;6;15;13;10;18;15;15;22;25;35;33;240
"110090 Castanheiras";1;3;1;-;2;3;-;1;3;4;2;1;2;5;5;1;3;37
"110005 Cerejeiras";9;15;18;2;7;15;17;11;17;18;12;10;14;14;21;11;25;236
"110092 Chupinguaia";-;4;7;10;11;13;13;3;5;11;9;4;7;10;5;4;7;123
"110006 Colorado do Oeste";10;10;17;13;11;9;23;9;20;15;13;9;9;9;15;13;14;219
"110007 Corumbiara";3;1;3;-;2;2;1;2;7;4;3;2;4;4;3;10;4;55
"110008 Costa Marques";22;10;7;4;14;10;6;15;11;15;14;5;5;9;16;7;18;188
"110094 Cujubim";-;2;12;3;12;9;4;9;12;9;7;10;15;18;16;9;23;170
"110009 Espigão D'Oeste";13;19;16;19;22;21;28;35;20;23;10;13;3;20;14;19;16;311
"110100 Governador Jorge Teixeira";9;10;4;4;7;3;5;8;2;8;2;4;5;2;1;6;7;87
"110010 Guajará-Mirim";30;22;26;18;20;25;17;19;19;22;26;20;26;19;30;26;29;394
"110110 Itapuã do Oeste";9;8;2;5;-;4;9;9;2;12;7;7;6;5;6;16;5;112
"110011 Jaru";54;49;46;46;43;47;45;50;41;34;39;21;45;38;40;56;37;731
"110012 Ji-Paraná";90;95;87;64;70;101;98;105;96;105;108;107;119;126;105;88;82;1646
"110013 Machadinho D'Oeste";20;14;20;13;17;27;34;34;37;48;52;11;35;51;30;35;37;515
"110120 Ministro Andreazza";4;4;10;7;9;5;8;10;4;4;2;5;9;5;8;2;5;101
"110130 Mirante da Serra";1;3;8;11;5;6;7;7;7;13;12;14;13;11;6;9;8;141
"110140 Monte Negro";14;17;12;11;14;6;16;8;7;11;16;14;11;20;12;25;14;228
"110014 Nova Brasilândia D'Oeste";4;1;3;8;9;16;16;23;14;17;17;9;15;15;10;9;14;200
"110033 Nova Mamoré";8;3;5;11;7;13;21;15;21;19;21;30;32;29;30;26;25;316
"110143 Nova União";-;1;3;1;4;-;2;6;8;1;7;4;2;5;3;3;4;54
"110050 Novo Horizonte do Oeste";6;2;4;5;2;3;7;9;9;2;4;3;5;7;5;3;7;83
"110015 Ouro Preto do Oeste";41;46;36;36;34;33;41;25;33;39;23;23;28;35;32;22;32;559
"110145 Parecis";-;2;1;-;-;2;2;1;3;2;1;1;1;1;2;2;2;23
"110018 Pimenta Bueno";39;26;26;31;25;17;37;25;24;28;26;38;5;29;37;27;26;466
"110146 Pimenteiras do Oeste";-;1;1;-;-;1;-;-;-;2;2;2;1;2;1;-;1;14
"110020 Porto Velho";274;259;312;383;460;501;504;425;495;464;457;376;375;392;502;472;497;7148
"110025 Presidente Médici";25;18;14;23;9;16;25;18;17;18;14;11;18;14;9;15;16;280
"110147 Primavera de Rondônia";-;1;2;2;2;3;1;2;4;-;3;1;1;-;1;-;3;26
"110026 Rio Crespo";6;3;1;3;-;4;4;5;3;5;1;2;-;1;7;2;4;51
"110028 Rolim de Moura";30;27;41;28;34;33;45;34;33;27;28;11;14;48;46;27;53;559
"110029 Santa Luzia D'Oeste";6;2;7;5;4;4;8;5;6;4;4;-;2;5;4;6;8;80
"110148 São Felipe D'Oeste";-;1;3;2;-;2;1;6;7;1;1;-;1;5;4;5;2;41
"110149 São Francisco do Guaporé";-;5;7;11;22;18;22;22;21;13;18;11;19;12;14;15;20;250
"110032 São Miguel do Guaporé";13;14;15;11;25;19;21;13;21;11;18;15;16;13;20;13;12;270
"110150 Seringueiras";5;13;8;9;10;10;8;8;10;14;8;6;12;8;9;11;11;160
"110155 Teixeirópolis";-;-;7;1;-;4;-;9;-;1;1;5;2;1;-;3;5;39
"110160 Theobroma";3;6;7;8;11;4;8;10;11;4;11;5;10;10;7;3;7;125
"110170 Urupá";2;4;10;5;6;5;13;10;9;7;3;5;8;9;6;4;11;117
"110175 Vale do Anari";-;2;2;5;1;5;13;11;2;10;9;5;4;8;11;18;17;123
"110180 Vale do Paraíso";10;3;1;1;-;9;10;5;3;5;4;4;6;3;1;5;-;70
"110030 Vilhena";49;31;48;39;41;57;52;60;61;63;61;54;64;62;72;50;70;934
"110000 Município ignorado - RO";34;77;133;3;8;4;-;13;10;6;11;4;16;17;18;12;10;376
"120001 Acrelândia";3;3;-;5;4;6;7;8;7;9;6;3;2;2;6;6;8;85
"120005 Assis Brasil";1;-;-;-;1;1;-;2;2;3;2;2;3;3;3;2;4;29
"120010 Brasiléia";2;5;2;5;7;3;9;11;6;21;9;8;8;12;19;15;21;163
"120013 Bujari";-;-;-;-;1;3;2;2;2;1;4;2;-;2;-;8;5;32
"120017 Capixaba";1;1;-;1;1;3;2;3;4;9;6;1;2;3;5;8;8;58
"120020 Cruzeiro do Sul";17;28;31;16;19;28;42;27;6;42;33;31;44;48;43;54;55;564
"120025 Epitaciolândia";2;2;1;1;3;1;2;8;7;9;7;4;4;3;6;7;11;78
"120030 Feijó";9;11;6;5;8;5;10;6;2;12;9;11;14;8;13;24;15;168
"120032 Jordão";-;-;-;-;-;1;-;-;-;1;2;-;1;3;-;5;11;24
"120033 Mâncio Lima";-;2;3;-;1;-;3;5;2;5;4;5;1;5;9;11;6;62
"120034 Manoel Urbano";-;-;-;1;1;1;3;4;1;2;2;2;7;6;4;3;6;43
"120035 Marechal Thaumaturgo";-;-;-;-;-;-;1;1;1;2;-;1;8;3;2;5;1;25
"120038 Plácido de Castro";13;2;3;4;7;3;6;7;13;10;15;9;16;5;9;13;15;150
"120080 Porto Acre";3;-;2;3;2;2;5;3;8;8;8;4;2;3;11;16;16;96
"120039 Porto Walter";-;1;1;-;-;1;-;1;1;1;3;1;-;3;2;3;4;22
"120040 Rio Branco";235;263;242;180;226;230;279;226;192;177;228;235;192;240;255;220;256;3876
"120042 Rodrigues Alves";1;1;-;-;-;-;1;3;2;-;4;3;2;5;4;8;3;37
"120043 Santa Rosa do Purus";-;-;-;-;-;1;-;-;-;2;-;1;4;4;1;2;-;15
"120050 Sena Madureira";9;12;18;9;13;9;15;10;9;6;9;12;15;19;16;28;34;243
"120045 Senador Guiomard";5;5;10;5;5;12;12;4;7;6;11;7;11;5;12;21;14;152
"120060 Tarauacá";2;-;4;3;1;1;3;4;8;4;8;8;13;5;15;20;26;125
"120070 Xapuri";4;5;7;1;2;10;5;9;7;5;3;7;6;-;4;9;9;93
"120000 Município ignorado - AC";3;1;1;7;-;-;-;16;-;2;2;-;-;-;-;-;3;35
"130002 Alvarães";-;-;-;2;2;1;1;1;9;6;3;5;6;4;5;3;7;55
"130006 Amaturá";-;-;-;-;-;1;1;1;3;1;3;8;2;2;3;7;7;39
"130008 Anamã";-;-;-;2;4;1;3;3;-;3;-;-;1;-;2;2;4;25
"130010 Anori";1;2;-;4;3;1;2;8;4;3;2;6;4;5;5;5;1;56
"130014 Apuí";3;12;10;13;6;7;8;3;7;19;18;12;13;12;23;9;20;195
"130020 Atalaia do Norte";-;-;-;4;4;2;3;7;7;2;3;-;3;7;3;5;8;58
"130030 Autazes";9;5;1;2;8;16;14;5;4;7;8;11;13;16;18;20;21;178
"130040 Barcelos";4;2;2;3;3;7;8;6;13;9;7;6;6;8;6;13;41;144
"130050 Barreirinha";-;1;2;-;1;6;2;9;8;6;5;7;8;4;1;13;10;83
"130060 Benjamin Constant";1;-;-;5;6;6;8;9;13;6;8;17;11;11;19;15;19;154
"130063 Beruri";-;2;1;2;2;1;4;3;4;3;2;3;3;2;5;4;4;45
"130068 Boa Vista do Ramos";1;1;1;9;-;1;1;2;-;8;11;6;6;2;3;1;8;61
"130070 Boca do Acre";4;4;-;7;6;13;8;3;8;4;5;8;4;8;13;22;14;131
"130080 Borba";-;-;3;2;7;1;6;8;7;3;6;13;12;10;11;17;17;123
"130083 Caapiranga";-;1;-;-;3;3;-;1;-;1;-;-;2;1;-;-;4;16
"130090 Canutama";3;1;-;-;1;1;1;2;1;1;2;2;5;3;5;3;3;34
"130100 Carauari";7;2;9;6;5;4;3;3;5;16;8;8;9;6;8;9;13;121
"130110 Careiro";1;-;3;3;6;3;9;13;15;9;5;11;12;13;14;18;14;149
"130115 Careiro da Várzea";2;2;1;2;1;2;3;7;9;11;7;7;13;8;5;5;1;86
"130120 Coari";11;11;10;12;24;19;17;20;23;21;34;27;34;54;33;36;49;435
"130130 Codajás";4;4;-;-;3;2;2;3;2;5;1;10;3;4;11;6;8;68
"130140 Eirunepé";5;1;-;-;-;4;18;13;9;21;7;11;21;17;19;19;17;182
"130150 Envira";7;5;5;1;2;4;3;6;2;10;5;5;9;11;9;7;6;97
"130160 Fonte Boa";-;1;-;4;15;1;6;12;10;3;2;1;7;8;10;5;5;90
"130165 Guajará";2;1;-;4;2;3;1;1;5;3;2;1;3;3;-;8;10;49
"130170 Humaitá";1;17;10;13;7;9;11;20;9;17;12;17;11;18;19;22;30;243
"130180 Ipixuna";1;2;2;3;5;2;1;2;5;1;1;1;4;2;-;3;4;39
"130185 Iranduba";14;3;11;21;20;11;11;18;14;12;31;22;21;29;29;36;29;332
"130190 Itacoatiara";5;17;19;18;22;23;31;24;20;30;32;31;22;50;30;44;52;470
"130195 Itamarati";2;2;-;-;1;4;1;4;4;1;1;4;-;2;2;-;1;29
"130200 Itapiranga";-;1;2;1;5;2;-;-;3;1;1;-;1;2;4;5;5;33
"130210 Japurá";-;-;-;-;-;-;1;2;1;-;1;2;-;1;4;4;1;17
"130220 Juruá";-;-;-;-;-;-;2;1;-;3;4;4;2;1;3;2;5;27
"130230 Jutaí";1;-;-;1;3;3;2;2;-;4;3;1;1;2;-;1;7;31
"130240 Lábrea";4;3;-;2;3;1;8;6;6;6;6;2;5;4;13;16;14;99
"130250 Manacapuru";19;15;18;18;23;15;24;16;27;35;33;19;81;49;55;55;54;556
"130255 Manaquiri";-;1;1;1;4;3;4;6;4;6;1;6;7;9;11;8;7;79
"130260 Manaus";989;1053;1091;948;1022;894;933;975;1028;1029;1166;1130;1305;1308;1555;1730;1772;19928
"130270 Manicoré";1;3;2;12;5;3;6;3;6;3;13;6;7;11;8;20;22;131
"130280 Maraã";-;-;-;1;2;4;4;5;1;1;3;2;2;4;1;5;4;39
"130290 Maués";6;5;4;13;13;13;8;8;14;11;15;12;11;17;29;24;21;224
"130300 Nhamundá";3;3;2;1;1;1;2;1;-;1;-;2;1;-;-;1;4;23
"130310 Nova Olinda do Norte";2;1;1;3;4;10;7;-;6;4;7;12;12;4;10;15;13;111
"130320 Novo Airão";2;-;3;2;4;12;5;2;3;2;3;7;4;9;10;6;11;85
"130330 Novo Aripuanã";1;1;2;-;4;4;4;2;6;7;3;4;8;8;10;9;13;86
"130340 Parintins";6;1;21;17;8;42;38;35;32;41;37;32;45;42;33;42;48;520
"130350 Pauini";-;1;-;-;4;2;1;3;1;1;3;2;2;1;5;-;1;27
"130353 Presidente Figueiredo";10;10;16;14;24;16;10;14;13;14;27;13;25;28;17;28;20;299
"130356 Rio Preto da Eva";1;2;1;11;6;6;12;9;9;8;3;10;14;11;17;27;22;169
"130360 Santa Isabel do Rio Negro";-;1;1;-;1;4;6;9;6;5;14;7;8;15;7;13;9;106
"130370 Santo Antônio do Içá";-;-;-;1;4;6;-;5;2;4;2;9;12;7;6;2;1;61
"130380 São Gabriel da Cachoeira";7;9;8;5;6;13;12;25;30;38;25;41;40;36;45;45;53;438
"130390 São Paulo de Olivença";2;-;8;4;3;2;2;2;4;1;4;13;3;11;4;12;24;99
"130395 São Sebastião do Uatumã";-;-;-;-;2;1;3;2;3;3;3;1;6;-;5;1;-;30
"130400 Silves";1;-;-;3;-;-;1;2;1;1;5;9;4;1;9;2;8;47
"130406 Tabatinga";11;9;6;12;9;18;37;14;20;22;28;32;34;56;37;36;49;430
"130410 Tapauá";3;-;2;2;2;-;-;3;1;1;1;11;1;3;5;6;7;48
"130420 Tefé";8;3;4;16;14;10;22;10;22;18;17;22;23;18;30;33;35;305
"130423 Tonantins";-;-;1;-;-;3;-;1;1;1;-;-;2;2;3;4;3;21
"130426 Uarini";-;-;-;-;1;-;1;-;-;-;4;1;5;4;5;5;3;29
"130430 Urucará";3;-;3;1;5;4;5;3;3;4;3;5;6;4;9;8;10;76
"130440 Urucurituba";1;1;1;2;1;4;2;6;1;-;3;1;2;3;1;3;3;35
"130000 Município ignorado - AM";30;18;11;-;-;-;-;-;2;-;2;3;1;-;1;2;2;72
"140005 Alto Alegre";11;7;6;32;18;13;11;6;21;9;33;28;4;23;8;19;29;278
"140002 Amajari";-;-;3;9;5;2;3;2;9;6;12;11;7;12;6;6;10;103
"140010 Boa Vista";214;187;231;249;240;218;248;214;228;185;188;236;218;210;244;218;240;3768
"140015 Bonfim";12;4;13;4;10;3;2;9;7;8;15;16;11;10;8;6;7;145
"140017 Cantá";-;10;6;11;6;5;3;8;7;6;8;7;12;12;14;17;11;143
"140020 Caracaraí";5;12;20;24;9;18;18;10;6;12;18;17;17;19;13;20;31;269
"140023 Caroebe";-;2;4;2;3;6;3;9;4;5;6;8;6;8;6;8;11;91
"140028 Iracema";-;2;2;6;1;2;7;6;5;9;6;9;10;9;9;1;4;88
"140030 Mucajaí";8;20;13;16;15;18;18;12;12;17;12;11;13;18;8;15;17;243
"140040 Normandia";4;1;1;9;4;2;3;3;5;11;8;5;4;1;8;4;5;78
"140045 Pacaraima";-;2;3;7;8;3;8;5;12;7;3;7;11;6;8;8;5;103
"140047 Rorainópolis";-;5;9;10;13;19;11;9;16;22;14;18;14;12;21;21;36;250
"140050 São João da Baliza";4;8;1;4;4;6;1;6;-;6;2;5;2;5;5;1;7;67
"140060 São Luiz";6;3;2;4;4;10;2;5;6;3;4;4;2;5;11;1;4;76
"140070 Uiramutã";-;1;-;5;6;1;6;-;4;10;5;2;4;1;3;4;2;54
"140000 Município ignorado - RR";4;9;20;5;2;2;-;1;-;-;1;1;2;-;-;1;-;48
"150010 Abaetetuba";31;33;34;27;12;26;19;44;48;34;44;56;74;77;87;92;100;838
"150013 Abel Figueiredo";-;1;1;2;2;2;9;7;5;7;8;9;8;11;7;10;8;97
"150020 Acará";2;5;8;11;2;6;11;11;8;8;17;12;16;17;10;22;30;196
"150030 Afuá";1;-;1;3;-;3;2;1;-;5;4;5;8;15;9;13;9;79
"150034 Água Azul do Norte";5;3;5;3;8;6;3;12;7;7;13;11;12;17;12;10;8;142
"150040 Alenquer";9;7;3;1;3;7;4;3;8;6;14;25;29;19;22;21;27;208
"150050 Almeirim";3;1;6;5;8;11;13;14;14;11;14;9;15;8;11;18;19;180
"150060 Altamira";38;28;36;39;40;50;66;59;68;72;74;102;89;94;133;152;144;1284
"150070 Anajás";-;2;-;1;3;1;2;7;7;11;5;3;7;1;9;9;9;77
"150080 Ananindeua";244;265;251;121;90;123;192;201;252;329;341;254;398;404;637;528;489;5119
