"Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"110001 Alta Floresta D'Oeste";98023,0;108232,8;130457,5;155300,2;174996,7;186967,1;190504,7;233494,2;302620,5;305788,0;335643,7;349876,8;383885,5;2955790,7
"110037 Alto Alegre dos Parecis";39891,1;47923,4;55478,8;69506,8;81366,7;90262,0;93272,6;113112,4;142176,2;160810,8;159025,2;176650,6;208389,4;1437866,0
"110040 Alto Paraíso";43144,4;50116,4;56761,8;82999,5;91931,7;104309,8;107688,2;133347,9;163474,2;179122,7;201590,4;230972,9;233099,8;1678559,7
"110034 Alvorada D'Oeste";68022,0;67719,0;81386,7;103832,0;118217,1;123664,3;127610,4;133188,3;149718,1;159432,1;179268,9;193958,0;215906,2;1721923,1
"110002 Ariquemes";381793,4;399804,5;453783,4;535157,5;638674,0;700914,8;735439,9;839784,0;1015962,3;1041017,0;1293435,7;1569918,3;1537869,9;11143554,7
"110045 Buritis";60342,2;75132,8;95535,7;142973,1;176960,0;200297,4;213251,4;251244,4;303120,3;326377,4;369943,8;425429,9;443810,9;3084419,3
"110003 Cabixi";33496,4;35167,5;40770,3;50497,4;60879,2;77121,9;68803,6;75600,2;85718,9;104587,9;99399,2;117418,8;162481,9;1011943,2
"110060 Cacaulândia";28956,9;33012,2;39251,7;51263,8;55409,7;60251,4;62428,4;76654,6;94530,5;102535,2;118333,7;123032,0;135628,1;981288,2
"110004 Cacoal";385936,5;407174,6;490165,2;626540,9;625987,8;751181,0;730470,5;804537,6;932122,4;908920,4;1168442,1;1287814,8;1324657,4;10443951,2
"110070 Campo Novo de Rondônia";27682,5;32444,1;41075,9;54433,8;67320,7;73521,3;75744,6;86377,9;116423,0;132700,2;152771,8;183744,5;200668,4;1244908,7
"110080 Candeias do Jamari";46638,5;55053,8;74612,0;88016,7;122390,6;126136,2;194635,8;174766,6;185031,9;231935,9;262614,9;336894,8;355883,4;2254611,1
"110090 Castanheiras";17637,4;20494,4;25183,2;30864,5;34971,0;43516,3;41044,5;43482,9;52670,8;53639,8;56994,2;59763,5;65011,0;545273,5
"110005 Cerejeiras";89764,6;84919,9;95892,4;114612,0;142651,3;146865,8;148987,5;166546,4;200670,1;237950,8;272422,5;338343,5;443765,2;2483392,0
"110092 Chupinguaia";33614,5;40242,7;49891,0;69639,4;90012,0;95774,9;103430,7;118809,7;163804,9;184107,8;240128,1;282463,8;349837,6;1821757,1
