cities,population,cases
Amapá(AP),9109,211
Calçoene(AP),11117,330
Cutias(AP),5983,314
Ferreira Gomes(AP),7780,265
Itaubal(AP),5503,163
Laranjal do Jari(AP),50410,2444
Macapá(AP),503327,8290
Mazagão(AP),21632,624
Oiapoque(AP),27270,1172
Pedra Branca do Amapari(AP),16502,1713
Porto Grande(AP),21971,487
Pracuúba(AP),5120,90
Santana(AP),121364,2486
Serra do Navio(AP),5397,361
Tartarugalzinho(AP),17315,312
Vitória do Jari(AP),15931,660
Acrelândia(AC),15256,181
Assis Brasil(AC),7417,131
Brasiléia(AC),26278,236
Bujari(AC),10266,124
Capixaba(AC),11733,110
Cruzeiro do Sul(AC),88376,1837
Epitaciolândia(AC),18411,133
Feijó(AC),34780,127
Jordão(AC),8317,27
Manoel Urbano(AC),9459,43
Marechal Thaumaturgo(AC),18867,128
Mâncio Lima(AC),18977,105
Plácido de Castro(AC),19761,241
Porto Acre(AC),18504,175
Porto Walter(AC),11982,26
Rio Branco(AC),407319,5799
Rodrigues Alves(AC),18930,78
Santa Rosa do Purus(AC),6540,103
Sena Madureira(AC),45848,424
Senador Guiomard(AC),23024,220
Tarauacá(AC),42567,552
Xapuri(AC),19323,187
Alvarães(AM),16041,505
Amaturá(AM),11536,361
Anamã(AM),13614,254
Anori(AM),21010,566
Apuí(AM),21973,27
Atalaia do Norte(AM),19921,335
Autazes(AM),39565,852
Barcelos(AM),27502,790
Barreirinha(AM),32041,492
Benjamin Constant(AM),42984,1391
Beruri(AM),19679,374
Boa Vista do Ramos(AM),19207,146
Boca do Acre(AM),34308,571
Borba(AM),41161,385
Caapiranga(AM),13081,135
Canutama(AM),15629,48
Carauari(AM),28294,433
Careiro(AM),37869,865
Careiro da Várzea(AM),30225,62
Coari(AM),85097,3143
Codajás(AM),28637,109
Eirunepé(AM),35273,286
Envira(AM),20033,0
Fonte Boa(AM),17609,422
Guajará(AM),16678,200
Humaitá(AM),55080,418
Ipixuna(AM),29689,0
Iranduba(AM),48296,1192
Itacoatiara(AM),101337,1258
Itamarati(AM),7851,202
Itapiranga(AM),9148,475
Japurá(AM),2755,190
Juruá(AM),14712,154
Jutaí(AM),14317,232
Lábrea(AM),46069,314
Manacapuru(AM),97377,3045
Manaquiri(AM),32105,199
Manaus(AM),2182763,24581
Manicoré(AM),55751,113
Maraã(AM),18224,189
Maués(AM),63905,831
Nhamundá(AM),21173,121
Nova Olinda do Norte(AM),37378,339
Novo Airão(AM),19454,205
Novo Aripuanã(AM),25644,368
Parintins(AM),114273,2201
Pauini(AM),19426,216
Presidente Figueiredo(AM),36279,787
Rio Preto da Eva(AM),33347,621
Santa Isabel do Rio Negro(AM),25156,106
Santo Antônio do Içá(AM),21602,961
Silves(AM),9171,147
São Gabriel da Cachoeira(AM),45564,2538
São Paulo de Olivença(AM),39299,593
São Sebastião do Uatumã(AM),14020,175
Tabatinga(AM),65844,1242
Tapauá(AM),17156,512
Tefé(AM),59849,2617
Tonantins(AM),18755,382
Uarini(AM),13540,421
Urucará(AM),16256,325
Urucurituba(AM),23065,319
Brasília(DF),3015268,27453
Anadia(AL),17545,133
Arapiraca(AL),231747,1818
Atalaia(AL),47185,380
Barra de Santo Antônio(AL),15932,65
Barra de São Miguel(AL),8322,71
Batalha(AL),18232,126
Belo Monte(AL),6704,9
Belém(AL),4344,6
Boca da Mata(AL),27281,309
Branquinha(AL),10494,46
Cacimbinhas(AL),10858,31
Cajueiro(AL),21264,97
Campestre(AL),6936,33
Campo Alegre(AL),57063,256
Campo Grande(AL),9558,42
Canapi(AL),17722,5
Capela(AL),17053,270
Carneiros(AL),9081,20
Chã Preta(AL),7311,12
Coité do Nóia(AL),10693,33
Colônia Leopoldina(AL),21698,125
Coqueiro Seco(AL),5845,119
Coruripe(AL),56933,533
Craíbas(AL),24219,172
Delmiro Gouveia(AL),52016,74
Dois Riachos(AL),11075,15
Estrela de Alagoas(AL),18205,15
Feira Grande(AL),22166,53
Feliz Deserto(AL),4754,11
Flexeiras(AL),12790,102
Girau do Ponciano(AL),40917,181
Ibateguara(AL),15616,43
Igaci(AL),25631,30
Igreja Nova(AL),24499,41
Inhapi(AL),18385,3
Jacaré dos Homens(AL),5253,2
Jacuípe(AL),7021,27
Japaratinga(AL),8361,65
Jaramataia(AL),5770,8
Jequiá da Praia(AL),11580,201
Joaquim Gomes(AL),23993,93
Jundiá(AL),4155,8
Junqueiro(AL),24727,301
Lagoa da Canoa(AL),17852,86
Limoeiro de Anadia(AL),28635,49
Maceió(AL),1018948,12074
Major Isidoro(AL),19804,78
Mar Vermelho(AL),3514,11
Maragogi(AL),32704,240
Maravilha(AL),9163,16
Marechal Deodoro(AL),51901,1111
Maribondo(AL),13264,106
Mata Grande(AL),25216,6
Matriz de Camaragibe(AL),24642,278
Messias(AL),17856,142
Minador do Negrão(AL),5329,5
Monteirópolis(AL),7159,23
Murici(AL),28236,206
Novo Lino(AL),12690,67
Olho d'Água Grande(AL),5123,17
Olho d'Água das Flores(AL),21688,151
Olho d'Água do Casado(AL),9373,6
Olivença(AL),11624,20
Ouro Branco(AL),11496,50
Palestina(AL),5011,29
Palmeira dos Índios(AL),73218,270
Pariconha(AL),10533,6
Paripueira(AL),13176,68
Passo de Camaragibe(AL),15245,143
Paulo Jacinto(AL),7564,108
Penedo(AL),63683,135
Piaçabuçu(AL),17827,145
Pilar(AL),35111,402
Pindoba(AL),2908,15
Piranhas(AL),25039,16
Porto Calvo(AL),27165,355
Porto Real do Colégio(AL),20066,73
Porto de Pedras(AL),7786,51
Poço das Trincheiras(AL),14386,14
Pão de Açúcar(AL),24399,135
Quebrangulo(AL),11294,80
Rio Largo(AL),75120,551
Roteiro(AL),6664,46
Santa Luzia do Norte(AL),7296,121
Santana do Ipanema(AL),47654,190
Santana do Mundaú(AL),10740,32
Satuba(AL),13828,263
Senador Rui Palmeira(AL),13870,17
São Brás(AL),6961,39
São José da Laje(AL),23927,315
São José da Tapera(AL),32260,68
São Luís do Quitunde(AL),34555,317
São Miguel dos Campos(AL),61251,598
São Miguel dos Milagres(AL),7951,75
São Sebastião(AL),34152,333
Tanque d'Arca(AL),6162,32
Taquarana(AL),19980,54
Teotônio Vilela(AL),44169,479
Traipu(AL),27715,35
União dos Palmares(AL),65611,362
Viçosa(AL),25733,103
Água Branca(AL),20196,18
Abaiara(CE),11737,15
Acarape(CE),14929,338
Acaraú(CE),62641,1290
Acopiara(CE),54270,198
Aiuaba(CE),17399,7
Alcântaras(CE),11714,154
Altaneira(CE),7586,1
Alto Santo(CE),17146,62
Amontada(CE),43452,518
Antonina do Norte(CE),7353,8
Apuiarés(CE),14600,103
Aquiraz(CE),80271,565
Aracati(CE),74547,623
Aracoiaba(CE),26469,350
Ararendá(CE),10935,5
Araripe(CE),21600,31
Aratuba(CE),11847,77
Arneiroz(CE),7840,28
Assaré(CE),23417,30
Aurora(CE),24654,19
Baixio(CE),6288,6
Banabuiú(CE),18197,137
Barbalha(CE),60781,176
Barreira(CE),22425,177
Barro(CE),22680,25
Barroquinha(CE),15017,385
Baturité(CE),35750,320
Beberibe(CE),53573,281
Bela Cruz(CE),32591,683
Boa Viagem(CE),54470,114
Brejo Santo(CE),49477,132
Camocim(CE),63661,1335
Campos Sales(CE),27426,99
Canindé(CE),76997,984
Capistrano(CE),17738,297
Caridade(CE),22547,158
Caririaçu(CE),26965,72
Cariré(CE),18448,240
Cariús(CE),18699,72
Carnaubal(CE),17606,100
Cascavel(CE),71743,905
Catarina(CE),20698,31
Catunda(CE),10342,73
Caucaia(CE),361400,3243
Cedro(CE),25557,34
Chaval(CE),13069,231
Chorozinho(CE),20264,273
Choró(CE),13521,151
Coreaú(CE),23136,361
Crateús(CE),75074,506
Crato(CE),132123,238
Croatá(CE),18063,24
Cruz(CE),24827,423
Deputado Irapuan Pinheiro(CE),9625,6
Ereré(CE),7198,50
Eusébio(CE),53618,1192
Farias Brito(CE),19450,95
Forquilha(CE),24218,89
Fortaleza(CE),2669342,32531
Fortim(CE),16480,60
Frecheirinha(CE),14072,101
General Sampaio(CE),7618,75
Granja(CE),54748,329
Granjeiro(CE),4844,0
Graça(CE),14399,101
Groaíras(CE),11068,163
Guaiúba(CE),26064,195
Guaraciaba do Norte(CE),40642,113
Guaramiranga(CE),5193,34
Hidrolândia(CE),19978,78
Horizonte(CE),67337,812
Ibaretama(CE),13353,18
Ibiapina(CE),24997,149
Ibicuitinga(CE),12525,185
Icapuí(CE),19934,180
Icó(CE),68018,144
Iguatu(CE),102498,521
Independência(CE),26178,64
Ipaporanga(CE),11593,81
Ipaumirim(CE),12463,11
Ipu(CE),41964,126
Ipueiras(CE),38166,165
Iracema(CE),14297,30
Irauçuba(CE),24156,111
Itaitinga(CE),37980,420
Itaiçaba(CE),7827,89
Itapajé(CE),52675,506
Itapipoca(CE),129358,1441
Itapiúna(CE),20382,119
Itarema(CE),41826,1088
Itatira(CE),21647,471
Jaguaretama(CE),18162,66
Jaguaribara(CE),11401,102
Jaguaribe(CE),34682,187
Jaguaruana(CE),33705,191
Jardim(CE),27174,17
Jati(CE),8111,7
Jijoca de Jericoacoara(CE),19816,193
Juazeiro do Norte(CE),274207,1068
Jucás(CE),24833,31
