#city,population,cases
Amapá(AP),9109,1203
Calçoene(AP),11117,1584
Cutias(AP),5983,853
Ferreira Gomes(AP),7780,1333
Itaubal(AP),5503,474
Laranjal do Jari(AP),50410,7960
Macapá(AP),503327,46277
Mazagão(AP),21632,2632
Oiapoque(AP),27270,4936
Pedra Branca do Amapari(AP),16502,3184
Porto Grande(AP),21971,1693
Pracuúba(AP),5120,376
Santana(AP),121364,22098
Serra do Navio(AP),5397,1044
Tartarugalzinho(AP),17315,1848
Vitória do Jari(AP),15931,3700
Acrelândia(AC),15256,1380
Assis Brasil(AC),7417,1363
Brasiléia(AC),26278,2203
Bujari(AC),10266,997
Capixaba(AC),11733,488
Cruzeiro do Sul(AC),88376,7034
Epitaciolândia(AC),18411,1161
Feijó(AC),34780,2509
Jordão(AC),8317,362
Manoel Urbano(AC),9459,849
Marechal Thaumaturgo(AC),18867,1047
Mâncio Lima(AC),18977,1788
Plácido de Castro(AC),19761,1378
Porto Acre(AC),18504,1236
Porto Walter(AC),11982,486
Rio Branco(AC),407319,33147
Rodrigues Alves(AC),18930,651
Santa Rosa do Purus(AC),6540,702
Sena Madureira(AC),45848,5041
Senador Guiomard(AC),23024,995
Tarauacá(AC),42567,5761
Xapuri(AC),19323,2697
Alvarães(AM),16041,2662
Amaturá(AM),11536,2164
Anamã(AM),13614,1637
Anori(AM),21010,1819
Apuí(AM),21973,1113
Atalaia do Norte(AM),19921,2607
Autazes(AM),39565,2666
Barcelos(AM),27502,4037
Barreirinha(AM),32041,2251
Benjamin Constant(AM),42984,2628
Beruri(AM),19679,2022
Boa Vista do Ramos(AM),19207,821
Boca do Acre(AM),34308,2421
Borba(AM),41161,1606
Caapiranga(AM),13081,545
Canutama(AM),15629,1218
Carauari(AM),28294,6248
Careiro(AM),37869,4182
Careiro da Várzea(AM),30225,898
Coari(AM),85097,9250
Codajás(AM),28637,2117
Eirunepé(AM),35273,4002
Envira(AM),20033,2097
Fonte Boa(AM),17609,1387
Guajará(AM),16678,1489
Humaitá(AM),55080,7077
Ipixuna(AM),29689,4276
Iranduba(AM),48296,8492
Itacoatiara(AM),101337,7712
Itamarati(AM),7851,859
Itapiranga(AM),9148,2934
Japurá(AM),2755,786
Juruá(AM),14712,887
Jutaí(AM),14317,1711
Lábrea(AM),46069,6015
Manacapuru(AM),97377,7599
Manaquiri(AM),32105,1369
Manaus(AM),2182763,163880
Manicoré(AM),55751,3790
Maraã(AM),18224,1845
Maués(AM),63905,3991
Nhamundá(AM),21173,1752
Nova Olinda do Norte(AM),37378,2505
Novo Airão(AM),19454,2212
Novo Aripuanã(AM),25644,1836
Parintins(AM),114273,9397
Pauini(AM),19426,2620
Presidente Figueiredo(AM),36279,5669
Rio Preto da Eva(AM),33347,4325
Santa Isabel do Rio Negro(AM),25156,2692
Santo Antônio do Içá(AM),21602,1760
Silves(AM),9171,1303
São Gabriel da Cachoeira(AM),45564,8007
São Paulo de Olivença(AM),39299,4720
São Sebastião do Uatumã(AM),14020,1420
Tabatinga(AM),65844,3227
Tapauá(AM),17156,1707
Tefé(AM),59849,8304
Tonantins(AM),18755,1234
Uarini(AM),13540,1742
Urucará(AM),16256,2063
Urucurituba(AM),23065,2291
Brasília(DF),3015268,313828
Anadia(AL),17545,998
Arapiraca(AL),231747,19950
Atalaia(AL),47185,917
Barra de Santo Antônio(AL),15932,231
Barra de São Miguel(AL),8322,291
Batalha(AL),18232,838
Belo Monte(AL),6704,233
Belém(AL),4344,88
Boca da Mata(AL),27281,1483
Branquinha(AL),10494,412
Cacimbinhas(AL),10858,464
Cajueiro(AL),21264,468
Campestre(AL),6936,229
Campo Alegre(AL),57063,2341
Campo Grande(AL),9558,356
Canapi(AL),17722,134
Capela(AL),17053,669
Carneiros(AL),9081,174
Chã Preta(AL),7311,189
Coité do Nóia(AL),10693,321
Colônia Leopoldina(AL),21698,297
Coqueiro Seco(AL),5845,362
Coruripe(AL),56933,2988
Craíbas(AL),24219,950
Delmiro Gouveia(AL),52016,2526
Dois Riachos(AL),11075,480
Estrela de Alagoas(AL),18205,280
Feira Grande(AL),22166,572
Feliz Deserto(AL),4754,117
Flexeiras(AL),12790,461
Girau do Ponciano(AL),40917,1564
Ibateguara(AL),15616,506
Igaci(AL),25631,494
Igreja Nova(AL),24499,775
Inhapi(AL),18385,274
Jacaré dos Homens(AL),5253,199
Jacuípe(AL),7021,127
Japaratinga(AL),8361,316
Jaramataia(AL),5770,76
Jequiá da Praia(AL),11580,483
Joaquim Gomes(AL),23993,699
Jundiá(AL),4155,125
Junqueiro(AL),24727,809
Lagoa da Canoa(AL),17852,722
Limoeiro de Anadia(AL),28635,771
Maceió(AL),1018948,63385
Major Isidoro(AL),19804,567
