Comuna,Poblacion,date,cases,diff_cases
Algarrobo,15174.0,2020-04-01,7.0,7.0
Algarrobo,15174.0,2020-04-03,9.0,2.0
Algarrobo,15174.0,2020-04-06,9.0,0.0
Algarrobo,15174.0,2020-04-10,8.0,0.0
Algarrobo,15174.0,2020-04-13,8.0,0.0
Algarrobo,15174.0,2020-04-15,9.0,1.0
Algarrobo,15174.0,2020-04-17,9.0,0.0
Algarrobo,15174.0,2020-04-20,9.0,0.0
Algarrobo,15174.0,2020-04-24,9.0,0.0
Algarrobo,15174.0,2020-04-27,10.0,1.0
Algarrobo,15174.0,2020-05-01,10.0,0.0
Algarrobo,15174.0,2020-05-04,10.0,0.0
Algarrobo,15174.0,2020-05-08,12.0,2.0
Algarrobo,15174.0,2020-05-11,14.0,2.0
Algarrobo,15174.0,2020-05-15,19.0,5.0
Algarrobo,15174.0,2020-05-18,23.0,4.0
Algarrobo,15174.0,2020-05-22,32.0,9.0
Algarrobo,15174.0,2020-05-25,33.0,1.0
Algarrobo,15174.0,2020-05-29,36.0,3.0
Algarrobo,15174.0,2020-06-01,42.0,6.0
Algarrobo,15174.0,2020-06-05,48.0,6.0
Algarrobo,15174.0,2020-06-08,57.0,9.0
Algarrobo,15174.0,2020-06-12,67.0,10.0
Algarrobo,15174.0,2020-06-15,72.0,5.0
Algarrobo,15174.0,2020-06-19,82.0,10.0
Algarrobo,15174.0,2020-06-23,89.0,7.0
Algarrobo,15174.0,2020-06-28,96.0,7.0
Algarrobo,15174.0,2020-07-01,98.0,2.0
Algarrobo,15174.0,2020-07-05,100.0,2.0
Algarrobo,15174.0,2020-07-10,101.0,1.0
Algarrobo,15174.0,2020-07-13,103.0,2.0
Algarrobo,15174.0,2020-07-17,106.0,3.0
Algarrobo,15174.0,2020-07-20,107.0,1.0
Algarrobo,15174.0,2020-07-24,108.0,1.0
Algarrobo,15174.0,2020-07-27,109.0,1.0
Algarrobo,15174.0,2020-07-31,110.0,1.0
Algarrobo,15174.0,2020-08-03,110.0,0.0
Algarrobo,15174.0,2020-08-07,110.0,0.0
Algarrobo,15174.0,2020-08-10,110.0,0.0
Algarrobo,15174.0,2020-08-14,112.0,2.0
Algarrobo,15174.0,2020-08-17,114.0,2.0
Algarrobo,15174.0,2020-08-21,117.0,3.0
Algarrobo,15174.0,2020-08-24,118.0,1.0
Algarrobo,15174.0,2020-08-28,129.0,11.0
Algarrobo,15174.0,2020-08-31,136.0,7.0
Algarrobo,15174.0,2020-09-04,138.0,2.0
Algarrobo,15174.0,2020-09-07,142.0,4.0
Algarrobo,15174.0,2020-09-11,144.0,2.0
Algarrobo,15174.0,2020-09-14,146.0,2.0
Algarrobo,15174.0,2020-09-18,147.0,1.0
Algarrobo,15174.0,2020-09-21,151.0,4.0
Algarrobo,15174.0,2020-09-25,154.0,3.0
Algarrobo,15174.0,2020-09-28,155.0,1.0
Algarrobo,15174.0,2020-10-02,156.0,1.0
Algarrobo,15174.0,2020-10-05,166.0,10.0
Algarrobo,15174.0,2020-10-09,169.0,3.0
Algarrobo,15174.0,2020-10-12,170.0,1.0
Algarrobo,15174.0,2020-10-16,172.0,2.0
Algarrobo,15174.0,2020-10-19,172.0,0.0
Algarrobo,15174.0,2020-10-24,182.0,10.0
Algarrobo,15174.0,2020-10-26,184.0,2.0
Algarrobo,15174.0,2020-10-30,187.0,3.0
Algarrobo,15174.0,2020-11-02,197.0,10.0
Algarrobo,15174.0,2020-11-06,210.0,13.0
Algarrobo,15174.0,2020-11-13,206.0,2.0
Algarrobo,15174.0,2020-11-16,208.0,2.0
Algarrobo,15174.0,2020-11-20,208.0,0.0
Algarrobo,15174.0,2020-11-23,211.0,3.0
Algarrobo,15174.0,2020-11-27,211.0,0.0
Algarrobo,15174.0,2020-11-30,221.0,10.0
Algarrobo,15174.0,2020-12-04,231.0,10.0
Algarrobo,15174.0,2020-12-07,233.0,2.0
Algarrobo,15174.0,2020-12-11,235.0,2.0
Algarrobo,15174.0,2020-12-14,237.0,2.0
Algarrobo,15174.0,2020-12-18,243.0,6.0
Algarrobo,15174.0,2020-12-21,244.0,1.0
Algarrobo,15174.0,2020-12-25,247.0,3.0
Algarrobo,15174.0,2020-12-28,248.0,1.0
Algarrobo,15174.0,2021-01-01,250.0,2.0
Algarrobo,15174.0,2021-01-04,251.0,1.0
Algarrobo,15174.0,2021-01-08,252.0,1.0
Algarrobo,15174.0,2021-01-11,264.0,12.0
Algarrobo,15174.0,2021-01-15,278.0,14.0
Algarrobo,15174.0,2021-01-18,282.0,4.0
Algarrobo,15174.0,2021-01-22,300.0,18.0
Algarrobo,15174.0,2021-01-25,316.0,16.0
Algarrobo,15174.0,2021-01-29,327.0,11.0
Algarrobo,15174.0,2021-02-01,333.0,6.0
Algarrobo,15174.0,2021-02-05,341.0,8.0
Algarrobo,15174.0,2021-02-08,358.0,17.0
Algarrobo,15174.0,2021-02-12,376.0,18.0
Algarrobo,15174.0,2021-02-15,390.0,14.0
Algarrobo,15174.0,2021-02-19,400.0,10.0
Algarrobo,15174.0,2021-02-22,411.0,11.0
Algarrobo,15174.0,2021-02-26,426.0,15.0
Algarrobo,15174.0,2021-03-01,435.0,9.0
Algarrobo,15174.0,2021-03-05,461.0,26.0
Algarrobo,15174.0,2021-03-08,471.0,10.0
Algarrobo,15174.0,2021-03-12,487.0,16.0
Algarrobo,15174.0,2021-03-15,500.0,13.0
Algarrobo,15174.0,2021-03-19,512.0,12.0
Algarrobo,15174.0,2021-03-22,519.0,7.0
Algarrobo,15174.0,2021-03-26,532.0,13.0
Algarrobo,15174.0,2021-03-29,556.0,24.0
Algarrobo,15174.0,2021-04-02,579.0,23.0
Algarrobo,15174.0,2021-04-05,608.0,29.0
Algarrobo,15174.0,2021-04-09,619.0,11.0
Algarrobo,15174.0,2021-04-12,628.0,9.0
Algarrobo,15174.0,2021-04-16,651.0,23.0
Algarrobo,15174.0,2021-04-19,679.0,28.0
Algarrobo,15174.0,2021-04-23,722.0,43.0
Algarrobo,15174.0,2021-04-26,751.0,29.0
Algarrobo,15174.0,2021-04-30,772.0,21.0
Algarrobo,15174.0,2021-05-03,782.0,10.0
Algarrobo,15174.0,2021-05-07,804.0,22.0
Algarrobo,15174.0,2021-05-10,808.0,4.0
Algarrobo,15174.0,2021-05-14,822.0,14.0
Algarrobo,15174.0,2021-05-17,838.0,16.0
Algarrobo,15174.0,2021-05-21,855.0,17.0
Algarrobo,15174.0,2021-05-24,868.0,13.0
Algarrobo,15174.0,2021-05-28,882.0,14.0
Algarrobo,15174.0,2021-05-31,908.0,26.0
Algarrobo,15174.0,2021-06-04,936.0,28.0
Algarrobo,15174.0,2021-06-07,955.0,19.0
Algarrobo,15174.0,2021-06-11,978.0,23.0
Algarrobo,15174.0,2021-06-14,989.0,11.0
Algarrobo,15174.0,2021-06-18,1008.0,19.0
