NOME DO MUNICÍPIO,COD. MUNIC,POPULAÇÃO ESTIMADA
Rodelas/BA,2927101,9548.00
Ibiassucê/BA,2912004,8849.00
Tabatinga/AM,1304062,68502.00
Jacareacanga/PA,1503754,6952.00
Porto Velho/RO,1100205,548952.00
Lábrea/AM,1302405,47685.00
Benjamin Constant/AM,1300607,44873.00
Vera Cruz/BA,2933208,44185.00
Manaquiri/AM,1302553,33981.00
Santa Isabel do Rio Negro/AM,1303601,26566.00
Urucurituba/AM,1304401,24098.00
Guajará/AM,1301654,17193.00
Urucará/AM,1304302,16007.00
Coronel João Sá/BA,2909208,15549.00
Caapiranga/AM,1300839,13482.00
Jutaí/AM,1302306,13462.00
Paço do Lumiar/MA,2107506,125265.00
Ferreiros/PE,2605509,12216.00
Parintins/AM,1303403,116439.00
São Paulo/SP,3550308,12396372.00
Rio de Janeiro/RJ,3304557,6775561.00
Brasília/DF,5300108,3094325.00
Salvador/BA,2927408,2900319.00
Fortaleza/CE,2304400,2703391.00
Belo Horizonte/MG,3106200,2530701.00
Manaus/AM,1302603,2255903.00
Curitiba/PR,4106902,1963726.00
Recife/PE,2611606,1661017.00
Goiânia/GO,5208707,1555626.00
Belém/PA,1501402,1506420.00
Porto Alegre/RS,4314902,1492530.00
Guarulhos/SP,3518800,1404694.00
Campinas/SP,3509502,1223237.00
São Luís/MA,2111300,1115932.00
São Gonçalo/RJ,3304904,1098357.00
Maceió/AL,2704302,1031597.00
Duque de Caxias/RJ,3301702,929449.00
Campo Grande/MS,5002704,916001.00
Natal/RN,2408102,896708.00
Teresina/PI,2211001,871126.00
São Bernardo do Campo/SP,3548708,849874.00
João Pessoa/PB,2507507,825796.00
Nova Iguaçu/RJ,3303500,825388.00
São José dos Campos/SP,3549904,737310.00
Santo André/SP,3547809,723889.00
Ribeirão Preto/SP,3543402,720116.00
Jaboatão dos Guararapes/PE,2607901,711330.00
Uberlândia/MG,3170206,706597.00
Osasco/SP,3534401,701428.00
Sorocaba/SP,3552205,695328.00
Contagem/MG,3118601,673849.00
Aracaju/SE,2800308,672614.00
Feira de Santana/BA,2910800,624107.00
Cuiabá/MT,5103403,623614.00
Joinville/SC,4209102,604708.00
Aparecida de Goiânia/GO,5201405,601844.00
Londrina/PR,4113700,580870.00
Juiz de Fora/MG,3136702,577532.00
Ananindeua/PA,1500800,540410.00
Serra/ES,3205002,536765.00
Caxias do Sul/RS,4305108,523716.00
Macapá/AP,1600303,522357.00
Niterói/RJ,3303302,516981.00
Florianópolis/SC,4205407,516524.00
Belford Roxo/RJ,3300456,515239.00
Campos dos Goytacazes/RJ,3301009,514643.00
Vila Velha/ES,3205200,508655.00
Mauá/SP,3529401,481725.00
São João de Meriti/RJ,3305109,473385.00
São José do Rio Preto/SP,3549805,469173.00
Mogi das Cruzes/SP,3530607,455587.00
Betim/MG,3106705,450024.00
Boa Vista/RR,1400100,436591.00
Maringá/PR,4115200,436472.00
Santos/SP,3548500,433991.00
Diadema/SP,3513801,429550.00
Jundiaí/SP,3525904,426935.00
Rio Branco/AC,1200401,419452.00
Montes Claros/MG,3143302,417478.00
Campina Grande/PB,2504009,413830.00
Piracicaba/SP,3538709,410275.00
Carapicuíba/SP,3510609,405375.00
Anápolis/GO,5201108,396526.00
Olinda/PE,2609600,393734.00
Cariacica/ES,3201308,386495.00
Bauru/SP,3506003,381706.00
Itaquaquecetuba/SP,3523107,379082.00
São Vicente/SP,3551009,370839.00
Vitória/ES,3205309,369534.00
Caruaru/PE,2604106,369343.00
Caucaia/CE,2303709,368918.00
Blumenau/SC,4202404,366418.00
Petrolina/PE,2611101,359372.00
Ponta Grossa/PR,4119905,358838.00
Franca/SP,3516200,358539.00
Canoas/RS,4304606,349728.00
Pelotas/RS,4314407,343826.00
Vitória da Conquista/BA,2933307,343643.00
Ribeirão das Neves/MG,3154606,341415.00
Uberaba/MG,3170107,340277.00
Paulista/PE,2610707,336919.00
Praia Grande/SP,3541000,336454.00
Cascavel/PR,4104808,336073.00
São José dos Pinhais/PR,4125506,334620.00
Guarujá/SP,3518701,324977.00
Taubaté/SP,3554102,320820.00
Palmas/TO,1721000,313349.00
Limeira/SP,3526902,310783.00
Camaçari/BA,2905701,309208.00
Santarém/PA,1506807,308339.00
Petrópolis/RJ,3303906,307144.00
Mossoró/RN,2408003,303792.00
Suzano/SP,3552502,303397.00
Taboão da Serra/SP,3552809,297528.00
Várzea Grande/MT,5108402,290383.00
Sumaré/SP,3552403,289875.00
Marabá/PA,1504208,287664.00
Gravataí/RS,4309209,285564.00
Santa Maria/RS,4316907,285159.00
Governador Valadares/MG,3127701,282164.00
Barueri/SP,3505708,279704.00
Embu das Artes/SP,3515004,279264.00
Juazeiro do Norte/CE,2307304,278264.00
Volta Redonda/RJ,3306305,274925.00
Parnamirim/RN,2403251,272490.00
Ipatinga/MG,3131307,267333.00
Macaé/RJ,3302403,266136.00
Indaiatuba/SP,3520509,260690.00
Imperatriz/MA,2105302,259980.00
Foz do Iguaçu/PR,4108304,257971.00
Cotia/SP,3513009,257882.00
Viamão/RS,4323002,257330.00
São Carlos/SP,3548906,256915.00
São José/SC,4216602,253705.00
Colombo/PR,4105805,249277.00
Magé/RJ,3302502,247741.00
