Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-20,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28,2020-08-31,2020-09-04,2020-09-07,2020-09-11,2020-09-14,2020-09-18,2020-09-21,2020-09-25,2020-09-28,2020-10-02,2020-10-05,2020-10-09,2020-10-12,2020-10-16,2020-10-19,2020-10-24,2020-10-26,2020-10-30,2020-11-02,2020-11-06,2020-11-09,2020-11-13,2020-11-16,2020-11-20,2020-11-23,2020-11-27,2020-11-30,2020-12-04,2020-12-07,2020-12-11,2020-12-14,2020-12-18,2020-12-21,2020-12-25,2020-12-28,2021-01-01,2021-01-04,2021-01-08,2021-01-11,2021-01-15,2021-01-18,2021-01-22,2021-01-25,2021-01-29,2021-02-01,2021-02-05,2021-02-08,2021-02-12,2021-02-15,2021-02-19,2021-02-22,2021-02-26,2021-03-01,2021-03-05,2021-03-08,2021-03-12,2021-03-15,2021-03-19,2021-03-22,2021-03-26,2021-03-29,2021-04-02,2021-04-05,2021-04-09,2021-04-12,2021-04-16,2021-04-19,2021-04-23,2021-04-26,2021-04-30,2021-05-03,2021-05-07,2021-05-10,2021-05-14,2021-05-17,2021-05-21,2021-05-24,2021-05-28,2021-05-31,2021-06-04,2021-06-07,2021-06-11,2021-06-14,2021-06-18,2021-06-21,2021-06-25,2021-06-28,2021-07-02,2021-07-05,2021-07-09,2021-07-12,2021-07-16,2021-07-19,2021-07-23,2021-07-26,2021-07-30,2021-08-02,2021-08-06,2021-08-09,2021-08-13,2021-08-16,2021-08-20,2021-08-23,2021-08-27,2021-08-30,2021-09-03,2021-09-06,2021-09-10,2021-09-13,2021-09-17,Tasa
Arica y Parinacota,15,Arica,15101,247552.0,6.0,6.0,12.0,41.0,63.0,87.0,115.0,124.0,134.0,166.0,224.0,270.0,297.0,310.0,328.0,353.0,371.0,405.0,477.0,525.0,596.0,653.0,806.0,904.0,1046.0,1176.0,1371.0,1533.0,1758.0,1887.0,2139.0,2464.0,2721.0,3123.0,3372.0,3882.0,4211.0,4636.0,4874.0,5220.0,5543.0,5907.0,6131.0,6374.0,6577.0,6783.0,6969.0,7172.0,7344.0,7503.0,7646.0,7819.0,7948.0,8134.0,8332.0,8597.0,8772.0,8996.0,9138.0,9343.0,9472.0,9679.0,9763.0,9888.0,9974.0,10103.0,10208.0,10294.0,10363.0,10443.0,10489.0,10530.0,10586.0,10630.0,10672.0,10720.0,10798.0,10875.0,10934.0,11028.0,11080.0,11212.0,11296.0,11434.0,11650.0,11886.0,12171.0,12453.0,12711.0,13047.0,13335.0,13606.0,13885.0,14168.0,14427.0,14734.0,15007.0,15358.0,15627.0,15978.0,16253.0,16614.0,16913.0,17431.0,17771.0,18370.0,18637.0,19157.0,19396.0,19845.0,20142.0,20550.0,20894.0,21325.0,21692.0,22130.0,22415.0,22821.0,23137.0,23547.0,23856.0,24247.0,24548.0,24929.0,25231.0,25609.0,25913.0,26258.0,26531.0,26916.0,27195.0,27576.0,27813.0,28074.0,28299.0,28532.0,28688.0,28995.0,29117.0,29158.0,29203.0,29242.0,29302.0,29348.0,29408.0,29450.0,29493.0,29501.0,29535.0,29557.0,29579.0,29662.0,29681.0,29763.0,29836.0,29929.0,12090.0
Arica y Parinacota,15,Camarones,15102,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,13.0,13.0,15.0,16.0,21.0,23.0,23.0,24.0,25.0,25.0,27.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,29.0,29.0,30.0,30.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0,32.0,32.0,36.0,36.0,42.0,42.0,42.0,42.0,42.0,43.0,44.0,43.0,46.0,51.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,56.0,58.0,59.0,59.0,59.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,62.0,63.0,64.0,65.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,69.0,69.0,69.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,70.0,5677.2
Arica y Parinacota,15,General Lagos,15202,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0,15.0,48.0,59.0,62.0,62.0,62.0,62.0,63.0,63.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,66.0,67.0,69.0,72.0,74.0,74.0,75.0,77.0,78.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,80.0,80.0,81.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,10864.2
Arica y Parinacota,15,Putre,15201,2515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,9.0,10.0,11.0,11.0,11.0,26.0,28.0,28.0,30.0,36.0,37.0,39.0,40.0,50.0,55.0,56.0,55.0,48.0,49.0,50.0,51.0,54.0,57.0,59.0,60.0,62.0,62.0,63.0,67.0,67.0,70.0,70.0,70.0,70.0,70.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,75.0,80.0,85.0,85.0,88.0,97.0,101.0,110.0,117.0,122.0,122.0,121.0,121.0,122.0,125.0,126.0,126.0,127.0,127.0,128.0,129.0,131.0,136.0,141.0,145.0,154.0,156.0,162.0,164.0,162.0,163.0,165.0,166.0,167.0,168.0,168.0,168.0,170.0,171.0,173.0,175.0,175.0,176.0,176.0,179.0,186.0,189.0,189.0,191.0,192.0,193.0,194.0,195.0,195.0,196.0,196.0,196.0,198.0,198.0,198.0,198.0,201.0,201.0,202.0,202.0,203.0,204.0,204.0,204.0,205.0,207.0,208.0,8270.4
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,1.0,3.0,3.0,3.0,5.0,5.0,6.0,6.0,7.0,11.0,13.0,18.0,19.0,23.0,25.0,25.0,23.0,23.0,24.0,24.0,26.0,28.0,27.0,28.0,32.0,34.0,37.0,36.0,36.0,40.0,43.0,43.0,43.0,44.0,36.0,37.0,38.0,38.0,33.0,34.0,34.0,35.0,39.0,40.0,40.0,40.0,43.0,44.0,44.0,44.0,43.0,43.0,44.0,49.0,82.0,85.0,86.0,89.0,91.0,93.0,97.0,106.0,112.0,117.0,121.0,124.0,121.0,123.0,94.0,94.0,92.0,94.0,90.0,94.0,92.0,94.0,93.0,101.0,94.0,96.0,96.0,101.0,107.0,109.0,113.0,118.0,121.0,124.0,135.0,137.0,155.0,160.0,164.0,166.0,172.0,176.0,177.0,184.0,193.0,197.0,204.0,205.0,207.0,211.0,217.0,218.0,218.0,220.0,226.0,227.0,226.0,228.0,230.0,230.0,232.0,232.0,229.0,229.0,229.0,230.0,230.0,232.0,155.0,156.0,158.0,163.0,161.0,
Tarapacá,01,Alto Hospicio,01107,129999.0,0.0,0.0,0.0,5.0,6.0,10.0,14.0,15.0,16.0,27.0,39.0,55.0,77.0,128.0,161.0,188.0,276.0,379.0,504.0,591.0,744.0,919.0,1062.0,1238.0,1345.0,1468.0,1672.0,1815.0,1949.0,1982.0,2065.0,2150.0,2191.0,2241.0,2313.0,2371.0,2414.0,2523.0,2595.0,2679.0,2740.0,2864.0,2951.0,3052.0,3139.0,3214.0,3280.0,3355.0,3418.0,3492.0,3560.0,3629.0,3660.0,3708.0,3753.0,3824.0,3850.0,3917.0,3951.0,4000.0,4041.0,4126.0,4158.0,4193.0,4232.0,4271.0,4311.0,4376.0,4400.0,4444.0,4459.0,4511.0,4550.0,4587.0,4639.0,4692.0,4753.0,4887.0,4971.0,5113.0,5210.0,5423.0,5523.0,5827.0,6047.0,6429.0,6614.0,6932.0,7141.0,7401.0,7537.0,7838.0,7974.0,8192.0,8325.0,8493.0,8630.0,8848.0,8938.0,9104.0,9148.0,9363.0,9514.0,9671.0,9778.0,10007.0,10147.0,10391.0,10536.0,10844.0,11040.0,11347.0,11532.0,11797.0,11985.0,12237.0,12431.0,12655.0,12834.0,13072.0,13202.0,13383.0,13479.0,13666.0,13783.0,13924.0,14035.0,14180.0,14264.0,14422.0,14508.0,14613.0,14696.0,14791.0,14855.0,14964.0,15007.0,15085.0,15118.0,15179.0,15231.0,15273.0,15322.0,15410.0,15462.0,15580.0,15601.0,15652.0,15697.0,15724.0,15748.0,15781.0,15789.0,15812.0,15839.0,15866.0,12204.7
Tarapacá,01,Camina,01402,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,10.0,10.0,12.0,16.0,16.0,25.0,29.0,33.0,35.0,36.0,37.0,43.0,43.0,39.0,42.0,42.0,42.0,43.0,50.0,57.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0,60.0,60.0,62.0,65.0,65.0,66.0,66.0,67.0,67.0,67.0,67.0,68.0,70.0,72.0,72.0,76.0,81.0,85.0,85.0,86.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,90.0,91.0,92.0,92.0,100.0,103.0,105.0,106.0,106.0,106.0,107.0,107.0,112.0,113.0,114.0,114.0,114.0,120.0,122.0,122.0,124.0,126.0,131.0,131.0,132.0,134.0,134.0,134.0,134.0,135.0,135.0,137.0,143.0,148.0,150.0,154.0,161.0,162.0,163.0,163.0,168.0,170.0,172.0,174.0,183.0,189.0,194.0,198.0,202.0,205.0,204.0,206.0,206.0,207.0,208.0,213.0,214.0,215.0,219.0,219.0,220.0,220.0,221.0,221.0,221.0,222.0,223.0,224.0,225.0,225.0,228.0,228.0,228.0,230.0,231.0,16800.0
Tarapacá,01,Colchane,01403,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,10.0,16.0,26.0,43.0,54.0,58.0,61.0,72.0,77.0,78.0,79.0,86.0,89.0,92.0,92.0,93.0,93.0,93.0,96.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,101.0,101.0,102.0,102.0,102.0,102.0,103.0,103.0,104.0,105.0,109.0,109.0,109.0,110.0,112.0,114.0,114.0,114.0,114.0,114.0,115.0,115.0,117.0,118.0,118.0,119.0,122.0,122.0,125.0,126.0,126.0,127.0,128.0,128.0,128.0,128.0,128.0,129.0,129.0,130.0,130.0,131.0,131.0,131.0,131.0,132.0,132.0,132.0,134.0,135.0,136.0,138.0,137.0,137.0,137.0,137.0,137.0,139.0,140.0,139.0,139.0,139.0,139.0,141.0,141.0,141.0,141.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,146.0,147.0,147.0,147.0,149.0,148.0,151.0,152.0,152.0,166.0,10486.4
Tarapacá,01,Huara,01404,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,13.0,15.0,18.0,19.0,30.0,31.0,33.0,37.0,40.0,41.0,55.0,63.0,65.0,68.0,78.0,92.0,105.0,116.0,125.0,132.0,133.0,135.0,134.0,136.0,136.0,145.0,148.0,150.0,154.0,159.0,161.0,161.0,162.0,162.0,164.0,164.0,164.0,164.0,164.0,164.0,167.0,167.0,168.0,168.0,168.0,169.0,170.0,170.0,172.0,173.0,183.0,188.0,188.0,198.0,199.0,199.0,199.0,199.0,200.0,203.0,211.0,215.0,215.0,217.0,217.0,219.0,219.0,219.0,222.0,230.0,242.0,261.0,272.0,280.0,280.0,283.0,283.0,292.0,310.0,315.0,327.0,332.0,334.0,338.0,339.0,342.0,346.0,345.0,349.0,351.0,351.0,355.0,361.0,370.0,377.0,379.0,379.0,385.0,388.0,389.0,389.0,390.0,391.0,392.0,395.0,396.0,400.0,401.0,402.0,403.0,408.0,416.0,420.0,426.0,428.0,429.0,431.0,431.0,433.0,443.0,443.0,444.0,447.0,452.0,452.0,452.0,452.0,455.0,455.0,455.0,459.0,459.0,460.0,460.0,460.0,461.0,461.0,461.0,462.0,463.0,15433.3
Tarapacá,01,Iquique,01101,223463.0,5.0,9.0,10.0,13.0,16.0,18.0,26.0,26.0,31.0,36.0,58.0,75.0,90.0,122.0,253.0,308.0,440.0,610.0,812.0,951.0,1218.0,1447.0,1700.0,1904.0,2142.0,2379.0,2698.0,2952.0,3210.0,3319.0,3583.0,3814.0,3934.0,4073.0,4198.0,4404.0,4552.0,4782.0,4889.0,5076.0,5193.0,5393.0,5512.0,5671.0,5807.0,5922.0,6032.0,6142.0,6208.0,6333.0,6437.0,6557.0,6600.0,6702.0,6784.0,6909.0,6974.0,7089.0,7145.0,7233.0,7303.0,7436.0,7488.0,7605.0,7683.0,7776.0,7853.0,8008.0,8061.0,8171.0,8252.0,8384.0,8460.0,8554.0,8633.0,8739.0,8848.0,9084.0,9266.0,9548.0,9736.0,10103.0,10395.0,10984.0,11402.0,12085.0,12551.0,13133.0,13474.0,13981.0,14293.0,14947.0,15235.0,15584.0,15853.0,16237.0,16468.0,16827.0,17046.0,17447.0,17566.0,18057.0,18395.0,18829.0,19172.0,19717.0,20052.0,20647.0,20995.0,21651.0,22001.0,22569.0,22892.0,23310.0,23603.0,24078.0,24314.0,24660.0,24902.0,25221.0,25445.0,25779.0,25974.0,26188.0,26380.0,26610.0,26785.0,27022.0,27191.0,27425.0,27585.0,27764.0,27896.0,28017.0,28134.0,28257.0,28329.0,28482.0,28579.0,28791.0,28839.0,28911.0,28955.0,29036.0,29073.0,29198.0,29238.0,29315.0,29384.0,29426.0,29461.0,29516.0,29545.0,29576.0,29614.0,29674.0,13279.2
