SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,SUA_CODE_2016,SUA_NAME_2016,AREA_ALBERS_SQKM
101021007,11007,Braidwood,1000,Not in any Significant Urban Area (NSW),3418.3525
101021008,11008,Karabar,8001,Canberra - Queanbeyan,6.9825
101021009,11009,Queanbeyan,8001,Canberra - Queanbeyan,4.7634
101021010,11010,Queanbeyan - East,8001,Canberra - Queanbeyan,13.0034
101021011,11011,Queanbeyan Region,1000,Not in any Significant Urban Area (NSW),3054.4099
101021012,11012,Queanbeyan West - Jerrabomberra,8001,Canberra - Queanbeyan,13.6789
101031013,11013,Bombala,1000,Not in any Significant Urban Area (NSW),3989.3618
101031014,11014,Cooma,1000,Not in any Significant Urban Area (NSW),103.6371
101031015,11015,Cooma Region,1000,Not in any Significant Urban Area (NSW),6250.8748
101031016,11016,Jindabyne - Berridale,1000,Not in any Significant Urban Area (NSW),3939.5484
101041017,11017,Batemans Bay,1004,Batemans Bay,63.7074
101041018,11018,Batemans Bay - South,1004,Batemans Bay,30.5948
101041019,11019,Bega - Tathra,1000,Not in any Significant Urban Area (NSW),183.8985
101041020,11020,Bega-Eden Hinterland,1000,Not in any Significant Urban Area (NSW),4710.2068
101041021,11021,Broulee - Tomakin,1000,Not in any Significant Urban Area (NSW),24.2329
101041022,11022,Deua - Wadbilliga,1000,Not in any Significant Urban Area (NSW),2781.9988
101041023,11023,Eden,1000,Not in any Significant Urban Area (NSW),94.8138
101041024,11024,Eurobodalla Hinterland,1000,Not in any Significant Urban Area (NSW),1460.0117
101041025,11025,Merimbula - Tura Beach,1000,Not in any Significant Urban Area (NSW),97.3395
101041026,11026,Moruya - Tuross Head,1000,Not in any Significant Urban Area (NSW),165.4118
101041027,11027,Narooma - Bermagui,1000,Not in any Significant Urban Area (NSW),252.652
101051539,11539,Goulburn,1013,Goulburn,64.7865
101051540,11540,Goulburn Region,1000,Not in any Significant Urban Area (NSW),9035.1221
101061541,11541,Yass,1000,Not in any Significant Urban Area (NSW),99.7342
101061542,11542,Yass Region,1000,Not in any Significant Urban Area (NSW),5680.8782
101061543,11543,Young,1000,Not in any Significant Urban Area (NSW),505.7528
101061544,11544,Young Region,1000,Not in any Significant Urban Area (NSW),5849.8086
102011028,11028,Avoca Beach - Copacabana,1009,Central Coast,6.4376
102011029,11029,Box Head - MacMasters Beach,1009,Central Coast,32.086
102011030,11030,Calga - Kulnura,1000,Not in any Significant Urban Area (NSW),767.9512
102011031,11031,Erina - Green Point,1009,Central Coast,33.7934
102011032,11032,Gosford - Springfield,1009,Central Coast,16.9124
102011033,11033,Kariong,1009,Central Coast,8.3063
102011034,11034,Kincumber - Picketts Valley,1009,Central Coast,12.0887
102011035,11035,Narara,1009,Central Coast,7.7021
102011036,11036,Niagara Park - Lisarow,1009,Central Coast,16.7316
102011037,11037,Point Clare - Koolewong,1009,Central Coast,6.7874
102011038,11038,Saratoga - Davistown,1009,Central Coast,4.7683
102011039,11039,Terrigal - North Avoca,1009,Central Coast,10.1073
102011040,11040,Umina - Booker Bay - Patonga,1009,Central Coast,25.2284
102011041,11041,Wamberal - Forresters Beach,1009,Central Coast,13.7221
102011042,11042,Woy Woy - Blackwall,1009,Central Coast,17.4225
102011043,11043,Wyoming,1009,Central Coast,8.381
102021044,11044,Bateau Bay - Killarney Vale,1009,Central Coast,10.8595
102021045,11045,Blue Haven - San Remo,1009,Central Coast,20.9797
102021046,11046,Budgewoi - Buff Point - Halekulani,1009,Central Coast,9.3531
102021047,11047,Chittaway Bay - Tumbi Umbi,1009,Central Coast,24.4986
102021048,11048,Gorokan - Kanwal - Charmhaven,1009,Central Coast,11.249
102021049,11049,Jilliby - Yarramalong,1000,Not in any Significant Urban Area (NSW),346.7662
102021050,11050,Lake Munmorah - Mannering Park,1009,Central Coast,35.4946
102021051,11051,Ourimbah - Fountaindale,1009,Central Coast,114.1172
102021052,11052,Summerland Point - Gwandalan,1009,Central Coast,9.1793
102021053,11053,The Entrance,1009,Central Coast,13.8576
102021054,11054,Toukley - Norah Head,1009,Central Coast,10.5216
102021055,11055,Tuggerah - Kangy Angy,1009,Central Coast,27.8463
