SUA_CODE_2016,SUA_NAME_2016,AREA_ALBERS_SQKM
1000,Not in any Significant Urban Area (NSW),787692.8137
1001,Albury - Wodonga,628.2471
1002,Armidale,274.5995
1003,Ballina,73.9758
1004,Batemans Bay,94.3022
1005,Bathurst,213.5389
1006,Bowral - Mittagong,421.8190
1007,Broken Hill,170.1153
1008,Camden Haven,524.9065
1009,Central Coast,566.3550
1010,Coffs Harbour,505.5230
1011,Dubbo,182.5607
1012,Forster - Tuncurry,49.5428
1013,Goulburn,64.7865
1014,Grafton,106.2537
1015,Griffith,56.3330
1016,Kempsey,195.1562
1017,Lismore,88.5367
1018,Lithgow,119.9844
1019,Morisset - Cooranbong,340.6801
1020,Mudgee,65.8948
1021,Muswellbrook,262.3964
1022,Nelson Bay,115.5262
1023,Newcastle - Maitland,1179.1309
1024,Nowra - Bomaderry,201.4116
1025,Orange,144.7617
1026,Parkes,234.7556
1027,Port Macquarie,96.2549
1028,Singleton,127.2317
1029,St Georges Basin - Sanctuary Point,107.9469
1030,Sydney,4196.2813
1031,Tamworth,240.7450
1032,Taree,186.6494
1033,Ulladulla,46.7766
1034,Wagga Wagga,192.0954
1035,Wollongong,572.3157
2000,Not in any Significant Urban Area (Vic.),215596.6237
2001,Bacchus Marsh,196.2984
2002,Bairnsdale,155.0115
2003,Ballarat,343.6213
2004,Bendigo,287.4438
2005,Colac,54.7344
2006,Echuca - Moama,350.9191
2007,Geelong,1329.0137
2008,Gisborne - Macedon,367.3974
2009,Horsham,83.0691
2010,Melbourne,6189.1069
2011,Melton,265.8685
2012,Mildura - Wentworth,588.8628
2013,Moe - Newborough,105.2835
2014,Portland,63.9850
2015,Sale,45.6023
2016,Shepparton - Mooroopna,248.9055
2017,Swan Hill,126.5810
2018,Traralgon - Morwell,235.1590
2019,Wangaratta,57.5835
2020,Warragul - Drouin,678.9851
2021,Warrnambool,182.6157
3000,Not in any Significant Urban Area (Qld),1718420.5118
3001,Brisbane,5326.7370
3002,Bundaberg,305.1459
3003,Cairns,254.0520
3004,Emerald,38.9821
3005,Gladstone - Tannum Sands,246.0825
3006,Gold Coast - Tweed Heads,1405.0353
3007,Gympie,69.4616
3008,Hervey Bay,93.2159
3009,Kingaroy,70.1948
3010,Mackay,212.4279
3011,Maryborough,170.6247
3012,Mount Isa,62.8098
3013,Rockhampton,579.6438
3014,Sunshine Coast,1633.1041
3015,Toowoomba,728.5994
3016,Townsville,693.2851
3017,Warwick,158.7232
3018,Yeppoon,78.5555
4000,Not in any Significant Urban Area (SA),980922.4039
4001,Adelaide,2246.1885
4002,Mount Gambier,193.2878
4003,Murray Bridge,97.5456
4004,Port Augusta,253.9026
4005,Port Lincoln,136.2830
4006,Port Pirie,75.2928
4007,Victor Harbor - Goolwa,309.1331
4008,Whyalla,40.8707
5000,Not in any Significant Urban Area (WA),2519967.1577
5001,Albany,299.2415
5002,Broome,50.0425
5003,Bunbury,222.7002
5004,Busselton,1423.3036
5005,Esperance,479.8669
5006,Geraldton,272.1605
5007,Kalgoorlie - Boulder,75.0977
5008,Karratha,134.2041
5009,Perth,3531.8953
5010,Port Hedland,116.4323
5011,Yanchep,74.1366
6000,Not in any Significant Urban Area (Tas.),65882.2117
6001,Burnie - Wynyard,130.5135
6002,Devonport,290.5021
6003,Hobart,1149.2719
6004,Launceston,435.4108
6005,Ulverstone,129.9507
7000,Not in any Significant Urban Area (NT),1347392.1802
7001,Alice Springs,327.7133
7002,Darwin,374.4346
8000,Not in any Significant Urban Area (ACT),1897.2559
8001,Canberra - Queanbeyan,499.3443
9000,Not in any Significant Urban Area (OT),256.3162
