postcode,population
2000,52601
2006,1828
2007,10023
2008,13373
2009,14748
2010,30102
2011,26412
2015,9833
2016,13556
2017,25882
2018,17176
2019,10862
2020,17092
2021,15238
2022,13267
2023,10780
2024,11090
2025,7411
2026,33217
2027,8355
2028,4765
2029,9915
2030,14178
2031,35923
2032,17095
2033,11657
2034,21327
2035,34609
2036,30516
2037,16761
2038,9336
2039,8651
2040,22156
2041,15556
2042,19236
2043,7937
2044,7957
2045,6390
2046,26706
2047,11835
2048,7970
2049,11274
2050,9801
2052,4234
2060,14762
2061,6117
2062,6926
2063,6243
2064,9573
2065,31491
2066,31779
2067,28323
2068,16718
2069,14191
2070,13473
2071,13701
2072,7732
2073,16447
2074,22166
2075,20535
2076,25215
2077,38470
2079,7007
2080,1702
2081,5268
2082,5330
2083,1508
2084,3718
2085,11574
2086,13310
2087,12707
2088,28245
2089,11810
2090,13770
2092,7080
2093,22544
2094,5758
2095,16712
2096,14408
2097,15456
2099,39708
2100,20835
2101,19280
2102,7308
2103,10623
2104,3520
2105,1798
2106,9121
2107,14319
2108,1549
2109,3808
2110,10256
2111,14356
2112,33207
2113,19466
2114,24385
2115,10638
2116,6654
2117,21477
2118,24613
2119,11660
2120,20218
2121,28536
2122,32023
2123,0
2125,16370
2126,18835
2127,15404
2128,4173
2129,5
2130,7380
2131,24262
2132,10704
2133,11017
2134,16593
2135,25676
2136,7421
2137,26369
2138,20465
2139,610
2140,16298
2141,29235
2142,26995
2143,8987
2144,37888
2145,81762
2146,17551
2147,36415
2148,63658
2150,33973
2151,21735
2152,11169
2153,57298
2154,39862
2155,55507
2156,12818
2157,3677
2158,8552
2159,4957
2160,36082
2161,31528
2162,18648
2163,9729
2164,19621
2165,42411
2166,52894
2167,9670
2168,43632
2170,106628
2171,34885
2172,2774
2173,14757
2174,2282
2175,1823
2176,48042
2177,16074
2178,4224
2179,6458
2190,25709
2191,6338
2192,12705
2193,15310
2194,25065
2195,27314
2196,31945
2197,9300
2198,9053
2199,18013
2200,44427
2203,13658
2204,26289
2205,20265
2206,19408
2207,28672
2208,12523
2209,15934
2210,30686
2211,16906
2212,15867
2213,21739
2214,4003
2216,28658
2217,27819
2218,16606
2219,13199
2220,33435
2221,16548
2222,12884
2223,20838
2224,14178
2225,5326
2226,12313
2227,14421
2228,18211
2229,28748
2230,28415
2231,2247
2232,32568
2233,29203
2234,30321
2250,66942
2251,32091
2256,15635
2257,28711
2258,5098
2259,59083
2260,23187
2261,52161
2262,20533
2263,23939
2264,13945
2265,5756
2267,2662
2278,2519
2280,26334
2281,13966
2282,14460
2283,22755
2284,10297
2285,30270
2286,3874
2287,36060
2289,18876
2290,32942
2291,13005
2292,2436
2293,2496
2294,1890
2295,6852
2296,1825
2297,1668
2298,9583
2299,11197
2300,10696
2302,807
2303,9035
2304,15115
2305,13254
2306,3351
2307,3941
2308,1752
2311,854
2312,1423
2314,345
2315,14968
2316,5692
2317,6231
2318,11928
2319,6568
2320,34722
2321,14379
2322,18178
2323,25428
2324,23431
2325,28355
2326,7157
2327,7589
2328,2486
2329,2132
2330,20228
2331,589
2333,13712
2334,2821
2335,6092
2336,2564
2337,7915
2338,1415
2339,681
2340,49299
2341,1531
2342,456
2343,4858
2344,747
2345,711
2346,3123
2347,1880
2350,25243
2351,1619
2352,2690
2353,1103
2354,3582
2355,648
2356,157
2357,4238
2358,3685
2359,731
2360,14503
2361,901
2365,3691
2369,899
2370,7597
2371,1144
2372,4837
2379,318
2380,10457
2381,1174
2382,1467
2386,391
2387,194
2388,2686
2390,9018
2395,654
2396,870
2397,370
2398,226
2399,585
2400,10593
2401,331
2402,1803
2403,712
2404,1867
2405,500
2408,383
2409,1034
2410,272
2411,107
2415,424
2420,3939
2421,1904
2422,5241
2423,3028
2424,428
2425,1757
2426,704
2427,3025
2428,24081
2429,9617
2430,34052
2431,5432
2439,2865
2440,21902
2441,4334
2443,8806
2444,47369
2445,6377
2446,13143
2447,7139
2448,9254
2449,2160
2450,45410
2452,15155
2453,2715
2454,7626
2455,3082
2456,15502
2460,29279
2462,2523
2463,7718
2464,7619
2465,295
2466,2032
2469,4078
2470,15154
2471,2520
2472,1807
2473,3542
2474,6337
2475,384
2476,811
2477,12133
2478,28675
2479,4728
2480,44906
2481,13402
2482,6350
2483,10982
2484,19094
2485,15464
2486,31879
2487,14136
2488,3409
2489,7591
2490,666
2500,42023
2502,12379
2505,5025
2506,7591
2508,8798
2515,10808
2516,6048
2517,13538
2518,18882
2519,16774
2522,448
2525,11429
2526,15427
2527,21017
2528,23501
2529,25854
2530,31585
2533,15385
2534,5587
2535,7261
2536,17693
2537,11646
2538,2335
2539,17711
2541,25684
2545,1057
2546,9044
2548,7978
2549,3731
2550,15577
2551,3496
2555,216
2556,2479
2557,8948
2558,11123
2559,3039
2560,77116
2563,299
2564,14003
2565,20174
2566,26332
2567,38290
2568,1150
2569,1344
2570,39875
2571,11688
2572,4402
2573,5028
2574,5661
2575,15325
2576,13373
2577,15316
2578,2671
2579,3945
2580,29426
2581,2066
2582,12291
2583,4323
2584,530
2585,253
2586,2617
2587,2856
2588,243
2590,6945
2594,11541
2619,9273
2621,5924
2622,3836
2623,586
2625,3949
2626,482
2627,13826
2628,2180
2629,907
2630,8556
2631,573
2632,1807
2633,377
2640,36329
2641,14943
2642,4768
2643,2697
2644,2385
2645,399
2646,6570
2647,2308
2648,2727
2649,29
2650,56618
2651,2494
2652,4465
2653,2443
2655,1309
2656,1240
2658,1401
2659,915
2660,1559
2661,1250
2663,5101
2665,2179
2666,5574
2668,457
2669,1613
2671,4238
2672,1551
