#city,population,cases
Abbeville-South Carolina,24404,844935
Acadia-Louisiana,61918,2632214
Accomack-Virginia,32238,1091869
Ada-Idaho,494399,18232204
Adair-Iowa,7059,278184
Adair-Kentucky,19555,678256
Adair-Missouri,25399,852307
Adair-Oklahoma,21955,1106947
Adams-Colorado,519883,19618538
Adams-Idaho,4447,111625
Adams-Illinois,64783,3017041
Adams-Indiana,35839,1159307
Adams-Iowa,3588,113089
Adams-Mississippi,30275,1050874
Adams-Nebraska,31321,1038162
Adams-North Dakota,2188,90389
Adams-Ohio,27531,770197
Adams-Pennsylvania,102742,2811108
Adams-Washington,20027,790858
Adams-Wisconsin,20498,645118
Addison-Vermont,36851,307185
Aiken-South Carolina,172895,5817973
Aitkin-Minnesota,15848,432852
Alachua-Florida,271218,9057744
Alamance-North Carolina,171346,6092737
Alameda-California,1662323,30148944
Alamosa-Colorado,16180,525926
Albany-New York,303654,7592387
Albany-Wyoming,38950,1505500
Albemarle-Virginia,110652,1854315
Alcona-Michigan,10505,203698
Alcorn-Mississippi,36889,1161872
Aleutians East Borough-Alaska,3401,98976
Aleutians West Census Area-Alaska,5680,205890
Alexander-Illinois,5497,165018
Alexander-North Carolina,37441,1427019
Alexandria city-Virginia,158726,4135901
Alfalfa-Oklahoma,5718,363697
Alger-Michigan,9015,208184
Allamakee-Iowa,13642,519769
Allegan-Michigan,118927,3192617
Allegany-Maryland,70057,2259601
Allegany-New York,45587,1026252
Alleghany-North Carolina,11194,352722
Alleghany-Virginia,14701,424027
Allegheny-Pennsylvania,1211358,30265463
Allen-Indiana,382187,13743719
Allen-Kansas,12399,392626
Allen-Kentucky,21303,716148
Allen-Louisiana,25440,1267379
Allen-Ohio,101980,3837425
Allendale-South Carolina,8331,334071
Alpena-Michigan,28238,646829
Alpine-California,1119,27518
Amador-California,40083,1176006
Amelia-Virginia,13014,284470
Amherst-Virginia,31667,937294
Amite-Mississippi,12205,455165
Anchorage-Alaska,287095,10493443
Anderson-Kansas,7949,276328
Anderson-Kentucky,22833,581660
Anderson-South Carolina,204353,7606023
Anderson-Tennessee,77558,2869847
Anderson-Texas,57805,2328989
Andrew-Missouri,17586,621194
Andrews-Texas,18879,651915
Androscoggin-Maine,108547,2208498
Angelina-Texas,86796,3079173
Anne Arundel-Maryland,582777,14208759
Anoka-Minnesota,359921,13457685
Anson-North Carolina,24097,863987
Antelope-Nebraska,6264,185241
Antrim-Michigan,23449,442522
Apache-Arizona,71875,4039152
Appanoose-Iowa,12430,427007
Appling-Georgia,18325,892475
Appomattox-Virginia,16043,502584
Aransas-Texas,23814,462647
Arapahoe-Colorado,657452,20006994
Archer-Texas,8730,263955
Archuleta-Colorado,14196,291744
Arenac-Michigan,14953,337519
Arlington-Virginia,240119,5162874
Armstrong-Pennsylvania,64162,1800036
Armstrong-Texas,1869,60011
Aroostook-Maine,66804,538449
Arthur-Nebraska,466,7475
Ascension-Louisiana,128665,4758386
Ashe-North Carolina,27166,707442
Ashland-Ohio,53362,1362988
Ashland-Wisconsin,15415,444646
Ashley-Arkansas,19339,701793
Ashtabula-Ohio,96513,2155404
Asotin-Washington,22820,497055
Assumption-Louisiana,21621,859322
Atascosa-Texas,51724,1890979
Atchison-Kansas,16015,561758
Atchison-Missouri,5096,143967
Athens-Ohio,65481,1678495
Atkinson-Georgia,8393,402853
Atlantic-New Jersey,262945,9572066
Atoka-Oklahoma,13912,629334
Attala-Mississippi,18004,826896
Audrain-Missouri,24835,925052
Audubon-Iowa,5481,172101
Auglaize-Ohio,45680,1628684
Augusta-Virginia,76544,1887817
Aurora-South Dakota,2730,164664
Austin-Texas,29972,718493
Autauga-Alabama,56145,2418824
Avery-North Carolina,17571,682289
Avoyelles-Louisiana,39966,1601513
Baca-Colorado,3555,97547
Bacon-Georgia,11036,603764
Bailey-Texas,6697,298361
Baker-Florida,29566,1374789
Baker-Georgia,2971,91320
Baker-Oregon,16284,313945
Baldwin-Alabama,229287,7878012
Baldwin-Georgia,45099,1731132
Ballard-Kentucky,7769,134933
Baltimore-Maryland,826017,21513194
Baltimore city-Maryland,586131,17551573
Bamberg-South Carolina,13906,561997
Bandera-Texas,23861,447864
Banks-Georgia,19352,648929
Banner-Nebraska,786,10510
Bannock-Idaho,88795,2926551
Baraga-Michigan,8164,292200
Barber-Kansas,4358,122211
Barbour-Alabama,24589,869118
Barbour-West Virginia,16444,467234
Barnes-North Dakota,10402,476132
Barnstable-Massachusetts,213164,4189680
Barnwell-South Carolina,20805,885076
Barren-Kentucky,44300,1535932
Barron-Wisconsin,45090,1970853
Barrow-Georgia,85588,3360064
Barry-Michigan,62061,1666815
Barry-Missouri,35818,999174
Bartholomew-Indiana,84447,2718486
Barton-Kansas,25658,917075
Barton-Missouri,11592,412977
Bartow-Georgia,109426,4887706
Bastrop-Texas,91601,3089337
Bates-Missouri,16242,451656
Bath-Kentucky,12481,309372
Bath-Virginia,4119,84767
Baxter-Arkansas,42242,1170391
Bay-Florida,171322,7252535
Bay-Michigan,102387,3255335
Bayfield-Wisconsin,15242,410609
Baylor-Texas,3518,100259
Beadle-South Dakota,18513,1065237
Bear Lake-Idaho,6143,131729
Beaufort-North Carolina,47073,1544531
Beaufort-South Carolina,195656,6100288
Beauregard-Louisiana,37881,1211572
Beaver-Oklahoma,5207,151216
Beaver-Pennsylvania,162575,4705595
Beaver-Utah,6761,234783
Beaverhead-Montana,9483,314199
Becker-Minnesota,34456,1196057
Beckham-Oklahoma,21468,933897
Bedford-Pennsylvania,47817,1405244
Bedford-Tennessee,50179,2237475
Bedford-Virginia,79811,2059824
Bee-Texas,32513,1357282
Belknap-New Hampshire,61551,1186596
Bell-Kentucky,25482,1075513
Bell-Texas,369927,8178298
Belmont-Ohio,65932,1915791
Beltrami-Minnesota,47442,1310899
Ben Hill-Georgia,16614,792506
Benewah-Idaho,9430,237555
Bennett-South Dakota,3399,137025
Bennington-Vermont,35338,563227
Benson-North Dakota,6762,387465
Bent-Colorado,5356,451955
Benton-Arkansas,288774,10217238
Benton-Indiana,8741,337627
Benton-Iowa,25414,870569
Benton-Minnesota,40958,1797689
Benton-Mississippi,8351,355083
Benton-Missouri,19627,589229
Benton-Oregon,93239,971439
Benton-Tennessee,16131,576203
Benton-Washington,206426,6394970
Benzie-Michigan,17852,365414
Bergen-New Jersey,930394,33668081
Berkeley-South Carolina,235987,6295977
Berkeley-West Virginia,122125,3795282
Berks-Pennsylvania,421017,14538797
Berkshire-Massachusetts,124571,1978974
Bernalillo-New Mexico,681666,19018944
Berrien-Georgia,19408,690090
Berrien-Michigan,153025,4766349
Bertie-North Carolina,18712,628965
Bethel Census Area-Alaska,18437,1220135
Bexar-Texas,2026823,75357399
Bibb-Alabama,22136,950446
Bibb-Georgia,152737,5923998
Bienville-Louisiana,12983,620859
Big Horn-Montana,13063,913036
Big Horn-Wyoming,11575,384831
Big Stone-Minnesota,4923,192948
Billings-North Dakota,890,19787
Bingham-Idaho,47202,1625332
Black Hawk-Iowa,130786,5850288
Blackford-Indiana,11782,440999
Bladen-North Carolina,32911,1189843
Blaine-Idaho,23426,868837
Blaine-Montana,6568,263731
Blaine-Nebraska,457,7574
Blaine-Oklahoma,9447,341097
Blair-Pennsylvania,121007,3911799
Blanco-Texas,12269,246983
Bland-Virginia,6239,220026
Bleckley-Georgia,12955,546554
Bledsoe-Tennessee,15223,865603
Blount-Alabama,57879,2360865
Blount-Tennessee,134751,5173187
Blue Earth-Minnesota,68241,2454643
Boise-Idaho,8065,126095
Bolivar-Mississippi,30142,1742170
Bollinger-Missouri,12111,413404
Bon Homme-South Dakota,6848,536846
Bond-Illinois,16262,679797
Bonner-Idaho,46817,1056682
Bonneville-Idaho,122134,4848871
Boone-Arkansas,37625,1376730
Boone-Illinois,52777,2265751
Boone-Indiana,69347,2254998
Boone-Iowa,26277,892402
Boone-Kentucky,135396,4621515
Boone-Missouri,182991,6537066
Boone-Nebraska,5096,186132
Boone-West Virginia,21055,645967
Borden-Texas,706,8801
Bosque-Texas,18603,549317
Bossier-Louisiana,127275,5007293
Botetourt-Virginia,33633,805655
Bottineau-North Dakota,6287,246665
Boulder-Colorado,327171,7599047
Boundary-Idaho,12656,283443
Bourbon-Kansas,14435,496382
Bourbon-Kentucky,19901,576742
Bowie-Texas,93481,2520659
Bowman-North Dakota,2986,133318
Box Butte-Nebraska,10696,319111
Box Elder-Utah,57007,1795666
Boyd-Kentucky,46516,1655524
Boyd-Nebraska,1860,64129
Boyle-Kentucky,30367,1120354
Bracken-Kentucky,8286,200244
Bradford-Florida,28593,1152954
Bradford-Pennsylvania,60221,1712420
Bradley-Arkansas,10639,488420
Bradley-Tennessee,109071,4989470
Branch-Michigan,43424,1973161
Brantley-Georgia,19202,618138
Braxton-West Virginia,13702,301527
Brazoria-Texas,380518,13203350
Brazos-Texas,232555,8918129
Breathitt-Kentucky,12550,345794
Breckinridge-Kentucky,20537,441541
Bremer-Iowa,25311,974581
Brevard-Florida,608459,15027653
Brewster-Texas,9237,329661
Briscoe-Texas,1487,51138
Bristol-Massachusetts,566765,21049503
Bristol-Rhode Island,48350,1511637
Bristol Bay plus Lake and Peninsula-Alaska,2281,78929
Bristol city-Virginia,17329,484146
Broadwater-Montana,6444,156806
Brooke-West Virginia,21674,686952
Brookings-South Dakota,35603,1373545
Brooks-Georgia,15357,543158
Brooks-Texas,6964,295845
Broome-New York,189420,5542448
Broomfield-Colorado,72236,1544170
Broward-Florida,1958105,84852137
Brown-Illinois,6546,241498
Brown-Indiana,15112,338251
Brown-Kansas,9482,416688
Brown-Minnesota,24846,934857
Brown-Nebraska,2981,82921
Brown-Ohio,43414,1273403
Brown-South Dakota,38738,1907495
Brown-Texas,37633,1495352
Brown-Wisconsin,264610,12471231
Brule-South Dakota,5254,248548
Brunswick-North Carolina,149039,3114522
Brunswick-Virginia,16037,441459
Bryan-Georgia,40755,1319343
Bryan-Oklahoma,48998,2061774
Buchanan-Iowa,21287,651173
Buchanan-Missouri,86530,3894160
Buchanan-Virginia,20613,472076
Buckingham-Virginia,17168,769778
Bucks-Pennsylvania,627987,18378035
Buena Vista-Iowa,19772,1695027
Buena Vista city-Virginia,6402,284273
