#county,population,cases
Abbeville-South Carolina,24404,3741
Acadia-Louisiana,61918,10359
Accomack-Virginia,32238,3944
Ada-Idaho,494399,76211
Adair-Iowa,7059,1038
Adair-Kentucky,19555,3346
Adair-Missouri,25399,3567
Adair-Oklahoma,21955,4818
Adams-Colorado,519883,74013
Adams-Idaho,4447,485
Adams-Illinois,64783,13041
Adams-Indiana,35839,4772
Adams-Iowa,3588,498
Adams-Mississippi,30275,4567
Adams-Nebraska,31321,3825
Adams-North Dakota,2188,359
Adams-Ohio,27531,4050
Adams-Pennsylvania,102742,12601
Adams-Washington,20027,3131
Adams-Wisconsin,20498,2672
Addison-Vermont,36851,1403
Aiken-South Carolina,172895,26496
Aitkin-Minnesota,15848,1758
Alachua-Florida,271218,38858
Alamance-North Carolina,171346,25792
Alameda-California,1662323,119671
Alamosa-Colorado,16180,2293
Albany-New York,303654,30119
Albany-Wyoming,38950,6035
Albemarle-Virginia,110652,7788
Alcona-Michigan,10505,1026
Alcorn-Mississippi,36889,5623
Aleutians East Borough-Alaska,3401,431
Aleutians West Census Area-Alaska,5680,917
Alexander-Illinois,5497,710
Alexander-North Carolina,37441,6312
Alexandria city-Virginia,158726,13971
Alfalfa-Oklahoma,5718,1290
Alger-Michigan,9015,972
Allamakee-Iowa,13642,1929
Allegan-Michigan,118927,14011
Allegany-Maryland,70057,9409
Allegany-New York,45587,4436
Alleghany-North Carolina,11194,1586
Alleghany-Virginia,14701,2037
Allegheny-Pennsylvania,1211358,126023
Allen-Indiana,382187,56825
Allen-Kansas,12399,1831
Allen-Kentucky,21303,3706
Allen-Louisiana,25440,4667
Allen-Ohio,101980,15490
Allendale-South Carolina,8331,1340
Alpena-Michigan,28238,2927
Alpine-California,1119,102
Amador-California,40083,5359
Amelia-Virginia,13014,1363
Amherst-Virginia,31667,4235
Amite-Mississippi,12205,2033
Anchorage-Alaska,287095,51848
Anderson-Kansas,7949,1087
Anderson-Kentucky,22833,3214
Anderson-South Carolina,204353,35718
Anderson-Tennessee,77558,12684
Anderson-Texas,57805,7905
Andrew-Missouri,17586,2711
Andrews-Texas,18879,2751
Androscoggin-Maine,108547,10190
Angelina-Texas,86796,13560
Anne Arundel-Maryland,582777,51746
Anoka-Minnesota,359921,52591
Anson-North Carolina,24097,3765
Antelope-Nebraska,6264,675
Antrim-Michigan,23449,2229
Apache-Arizona,71875,13353
Appanoose-Iowa,12430,1762
Appling-Georgia,18325,3435
Appomattox-Virginia,16043,2316
Aransas-Texas,23814,2580
Arapahoe-Colorado,657452,77970
Archer-Texas,8730,1205
Archuleta-Colorado,14196,1418
Arenac-Michigan,14953,1633
Arlington-Virginia,240119,18195
Armstrong-Pennsylvania,64162,8267
Armstrong-Texas,1869,273
Aroostook-Maine,66804,3577
Arthur-Nebraska,466,24
Ascension-Louisiana,128665,21616
Ashe-North Carolina,27166,3357
Ashland-Ohio,53362,6683
Ashland-Wisconsin,15415,1770
Ashley-Arkansas,19339,3142
Ashtabula-Ohio,96513,9266
Asotin-Washington,22820,2661
Assumption-Louisiana,21621,3610
Atascosa-Texas,51724,8458
Atchison-Kansas,16015,2323
Atchison-Missouri,5096,649
Athens-Ohio,65481,7591
Atkinson-Georgia,8393,1561
Atlantic-New Jersey,262945,38666
Atoka-Oklahoma,13912,2698
