#municipalities,population,cases
Abadia de Goiás/GO,9158,1919
Abadia dos Dourados/MG,7022,582
Abadiânia/GO,20873,546
Abaetetuba/PA,160439,9444
Abaeté/MG,23263,1665
Abaiara/CE,11965,631
Abaré/BA,20594,1038
Abatiá/PR,7360,1121
Abaíra/BA,8681,299
Abdon Batista/SC,2534,408
Abel Figueiredo/PA,7536,1075
Abelardo Luz/SC,18015,1923
Abre Campo/MG,13434,1281
Abreu e Lima/PE,100698,3494
Abreulândia/TO,2609,321
Acaiaca/MG,3995,234
Acajutiba/BA,15214,574
Acarape/CE,15140,2830
Acaraú/CE,63556,5262
Acari/RN,11106,1121
Acará/PA,55744,1782
Acauã/PI,7119,213
Aceguá/RS,4981,380
Acopiara/CE,54687,4080
Acorizal/MT,5309,803
Acrelândia/AC,15721,1796
Acreúna/GO,22710,2679
Adamantina/SP,35153,3905
Adelândia/GO,2515,233
Adolfo/SP,3545,622
Adrianópolis/PR,5797,1413
Adustina/BA,17209,1091
Afogados da Ingazeira/PE,37546,5236
Afonso Bezerra/RN,11024,799
Afonso Cláudio/ES,30326,3757
Afonso Cunha/MA,6631,267
Afrânio/PE,19981,970
Afuá/PA,39910,3094
Agrestina/PE,25240,1761
Agricolândia/PI,5123,598
Agrolândia/SC,11160,1728
Agronômica/SC,5570,684
Aguanil/MG,4557,698
Aguaí/SP,36981,3606
Agudo/RS,16344,1930
Agudos do Sul/PR,9567,767
Agudos/SP,37582,4772
Aguiar/PB,5622,537
Aguiarnópolis/TO,7049,703
Aimorés/MG,25116,2113
Aiquara/BA,4387,504
Aiuaba/CE,17584,818
Aiuruoca/MG,5949,350
Ajuricaba/RS,6951,1349
Alagoa Grande/PB,28384,4164
Alagoa Nova/PB,20992,1788
Alagoa/MG,2657,446
Alagoinha do Piauí/PI,7678,393
Alagoinha/PB,14629,2093
Alagoinha/PE,14798,1433
Alagoinhas/BA,153023,14561
Alambari/SP,6231,680
Albertina/MG,3015,268
Alcantil/PB,5527,690
Alcinópolis/MS,5489,420
Alcobaça/BA,22509,1750
Alcântara/MA,22126,336
Alcântaras/CE,11846,1821
Aldeias Altas/MA,26979,977
Alecrim/RS,5710,315
Alegre/ES,29869,3387
Alegrete do Piauí/PI,4921,525
Alegrete/RS,72493,11113
Alegria/RS,3287,396
Alenquer/PA,57390,3647
Alexandria/RN,13529,1908
Alexânia/GO,28360,3683
Alfenas/MG,80973,10877
Alfredo Chaves/ES,14670,2760
Alfredo Marcondes/SP,4201,268
Alfredo Vasconcelos/MG,7052,632
Alfredo Wagner/SC,10136,1103
Algodão de Jandaíra/PB,2588,278
Alhandra/PB,19865,2474
Aliança do Tocantins/TO,5303,747
Aliança/PE,38408,702
Almadina/BA,5273,644
Almas/TO,6905,239
Almeirim/PA,34044,3769
Almenara/MG,42380,4550
Almino Afonso/RN,4685,509
