City,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Bruxelles / Brussel (NUTS 2010),19.67,63.36,94.19,79.42,96.53,116.17,128.15,140.12,134.38,163.78,151.18,177.28,182.99,164.13,219.71,234.07,266.97,260.28,289.86,265.27,398.81,414.46,552.25,460.49,441.77,429.58,430.87,492.7,514.37,518.03,561.02,511.73,501.42,538.34,558.14,473.94
Antwerpen,13.8,28.98,37.72,34.36,30.42,45.23,40.18,50.52,38.5,50.13,60.55,61.55,61.58,65.83,105.18,172.97,229.72,196.32,213.19,206.13,195.24,190.11,165.91,173.1,168.29,217.47,156.05,194.26,223.08,192.26,171.73,148.45,157.52,126.44,140.69,183.13
Gent,:,4,9.67,10.5,6.61,13.42,13.07,25.28,29.14,25.88,28.1,34.7,36.67,42.24,38.55,28.7,41.47,39.4,39.44,31.37,71.28,87.68,94.46,87.21,84.86,104.54,101.66,123.4,125.59,121.59,130.78,116.57,122.08,127.25,144.85,117.16
Charleroi,4,:,10.33,16,9.83,12.67,:,:,:,:,13.17,:,:,:,:,9.66,16.25,12.95,8,17.61,33.56,:,42.89,47.78,:,41.31,36.84,:,54.26,:,45.77,73.74,56.75,60.18,55.49,12.99
Liège (NUTS 2010),:,:,23.2,25,19.17,22.75,27.97,32.48,25.57,34.9,38.83,52,60.25,39.66,38.42,34.14,33.07,39.88,30.78,55.18,48.72,53.51,64.92,87.33,85.37,69.64,87.88,82.12,73.4,71.4,62.63,75.71,58.51,74.4,62.51,57.38
Sofia,:,:,:,:,:,:,:,:,:,:,19.66,:,:,:,:,:,:,:,:,:,:,:,:,:,9.04,:,:,:,:,:,:,:,:,:,:,:
Plovdiv,:,:,:,:,:,:,0.5,0.5,1.48,:,:,0.81,:,:,1,:,1,:,1.42,1,:,:,1,0.53,1.33,0.5,1.2,1,2.18,1.83,0.2,2,2.33,5.5,1.67,3.92
Varna,:,:,:,:,1,:,:,:,1,:,0.07,1.11,:,0.67,:,:,:,:,:,:,:,:,:,:,0.5,:,1,2,4.33,2,2,:,1,:,2.5,:
Praha,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.57,8.42,6.44,9.05,14.86,17.56,12.4,17.62,26.64,30.95,30.01,41.8,41.48,57.69,70.15,72.17,47.66,64.47,64.79,55.26
Brno,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.83,2.2,5.5,4,3.64,7.36,10.9,7.98,12.72,8.38,16.91,23,13.1,15.6,23.39,32.4,31.71,30.74,33.18,37.03,40.27
Ostrava,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1,1,2.5,2.5,4.3,4.25,2.85,11.94,8.39,7.74,6.67,14.29,11.84,7.33,10.53,12.87,9.04,9.71,11.89,13.3,8.2
Plzen,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.33,1.67,0.45,:,3,2.83,4.83,:,2,4.4,4.47,1.91,4.92,4.13,3.1,11.57,4.65,3.67,4.32,4.68
København,:,45.75,70.84,79.69,94.98,89.55,113.73,123.92,141.31,131.12,140.15,199.92,189.93,212.53,226.85,234.06,273.86,315.27,327.44,401.58,410.62,512.35,516.47,599.71,565.05,569.16,671.23,686.44,735.23,655.25,698.62,671.41,575.98,616.84,663.06,449.69
Århus,2,5.58,8.33,18.92,17.67,23,15.17,25.7,30.5,22.75,21.53,24.75,30.92,20.42,35.07,41.28,36.88,41.1,57,71.9,61.48,86.06,109,126.6,124.71,122.22,143.26,122.55,134.74,125.55,205.33,179.36,197.83,197.66,256.39,191.9
Odense,4,5,4,5.5,9.5,13.33,11.33,17.43,18.83,14.83,17.83,15.83,23.67,16.83,19.2,15.08,18.37,21.58,23.03,33.85,40.78,29.17,30.16,34.04,40.38,47.4,50.5,43.31,42.4,51.73,46.22,77.25,71.13,84.82,63.07,36.17
Aalborg,:,2,6,8.33,4,7,8,9,8.48,11,9,14,13.67,20.08,18.5,23.67,9.3,19.67,17.03,18.6,22.92,44.91,84.4,60.36,54.87,59.22,61.55,55.8,62.46,63.03,73.01,70.15,67.75,80.5,89.49,58.76
Berlin,:,:,:,:,:,:,:,:,:,:,:,:,:,:,274.61,278.21,298.1,331.96,392.18,447.29,522.18,557.98,637.46,735.12,675.27,727.99,756.85,788.07,926.72,988.74,"1,032.76","1,001.71",938.74,938.87,893.61,766.44
Hamburg,:,:,77.33,144.87,170.82,185.87,247.2,234.66,243.85,300.1,326.65,305.26,318.2,281.85,300.95,360.23,392.19,401.06,352.08,461.84,521.23,554.48,573.84,605.48,725.12,632.39,734.63,704.81,763.05,725.5,689.3,776.48,710.47,625.37,802.91,676.88
München,:,337.45,564.31,660.82,607.87,687.75,799.86,766.2,858.63,813.75,905.64,939.21,972.19,853.88,806.08,842.95,799.17,880.69,"1,005.26","1,270.27","1,454.78","1,861.26","1,890.37","2,088.55","1,989.43","1,745.27","1,701.14","1,709.75","1,748.86","1,892.58","1,911.44","1,736.67","1,637.65","1,705.70","1,585.49","1,374.54"
Köln,192.68,398.33,458.07,504.48,526.72,475.8,466.3,524.53,533.52,497.18,549.05,594.18,539.89,484.02,490.52,438.13,426.94,492.14,499.98,483.25,473.96,537.05,527.41,589.47,549.27,507.54,527.44,534.83,542.73,550.68,542.87,558.19,556.02,567.58,483.79,385.05
Frankfurt am Main,89.39,265.44,434.29,482.98,554.4,480.72,518.3,590.2,635.81,665.15,705.56,738.57,779.47,713.2,758.08,660.2,692.91,784.08,766.17,817.36,855.51,"1,010.31",916.62,938.33,886,894.33,821.86,968,960.75,947.16,"1,014.39",863.48,837.87,850.66,897.39,598.53
Stuttgart,33.05,138.26,217.75,295.62,371.35,366.26,514.87,533.04,550.4,588.59,740.63,840.39,847.52,890.71,829.86,739.13,805.13,913.12,986.21,"1,174.37","1,473.25","1,573.16","1,775.66","2,005.51","2,138.08","2,080.59","1,999.61","2,003.72","2,010.67","2,005.86","2,040.43","1,805.42","1,819.69","1,888.62","1,865.88","1,337.07"
Leipzig,:,:,:,:,3.9,:,6.16,:,5.7,10.09,5.8,5.62,:,15.76,9.65,4.76,19.63,18.54,18,27.04,28.54,27.51,38.25,47.51,49.18,41.03,46.3,54.81,65.16,55.55,69.15,77.26,83.98,94.34,64.56,74.73
Dresden,:,:,:,:,:,:,:,11.85,10.98,:,10.87,16.99,20.09,31.52,44.13,47.44,66.93,74.13,92.25,103.98,136.87,188.7,196.81,259.56,276.69,244.49,201.69,210.27,235.8,228.84,238.28,230.49,261.82,248.68,235.86,174.81
Düsseldorf,35.91,145.82,141.02,218.22,235.4,249.98,318.77,331.16,330.71,418.56,448.47,623.68,537.07,450.61,382.97,405.53,414.44,469.46,454.24,502.45,587.92,601.27,718.23,694.24,625.32,492.05,572.73,625.05,634.7,722.66,709.89,624.63,679.04,647.05,595.22,465.73
Bremen,:,:,:,:,19.11,38.79,50.45,55.5,69.19,80.81,106.15,102.62,106.81,84.87,74.27,99.81,84.66,75.75,86.53,114.46,132.5,146.34,156.2,133.64,143.08,122.06,159.35,162.26,158.65,200.72,168.87,173.51,172.8,178.01,158.69,145.64
