City,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bruxelles / Brussel,"2,661","2,661","2,661","2,661","2,661","2,661","2,661","2,661","2,661","2,661","2,661","2,661","2,661","2,661","2,661","2,661","2,661","2,661","2,661","2,661","2,653","2,662","2,662","2,679","2,679","2,679","2,679","2,679","2,679","2,679","2,679","4,873","4,873","4,873"
Antwerpen,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,954,992,957,957,960,960,960,960,960,960,960,960,960,960,960
Gent,"1,266","1,266","1,266","1,266","1,266","1,266","1,266","1,266","1,266","1,266","1,266","1,266","1,266","1,266","1,266","1,266","1,266","1,266","1,266","1,266","1,268","1,267","1,267","1,274","1,274","1,274","1,274","1,274","1,274","1,274","1,274","1,274","1,274","1,274"
Charleroi,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,553,555,555,559,559,559,559,559,559,559,559,"2,165","2,165","2,165"
Liège,"1,178","1,178","1,178","1,178","1,178","1,178","1,178","1,178","1,178","1,178","1,178","1,178","1,178","1,178","1,178","1,178","1,178","1,178","1,178","1,178","1,185","1,177","1,177","1,176","1,176","1,176","1,176","1,176","1,176","1,176","1,176","1,833","1,833","1,833"
Namur,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"1,163","1,163","1,163"
Sofia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"10,679.60","10,612","10,611.50","10,738","10,738","10,738","10,738","10,738","10,738","10,738","10,738","10,738","10,738","10,738"
Plovdiv,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"5,802.50","5,769","5,769.30","5,904","5,904","5,904","5,904","5,904","5,904","5,904","5,904","5,904","5,904","5,904"
Varna,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"3,745.10","3,748","3,747.70","3,778","3,778","3,778","3,778","3,778","3,778","3,778","3,778","3,778","3,778","3,778"
Burgas,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"7,558.60","7,571","7,570.90","7,637","7,637","7,637","7,637","7,637","7,637","7,637","7,637","7,637","7,637","7,637"
Praha,"11,273.20","11,272.60","11,292.90","11,292.80","11,291.50","11,292.60","11,292.20","11,292.60","11,293","11,293.40","11,293.50","11,293.40","11,293.20","11,294.80","11,293","11,293","11,292","11,291.90","11,292","11,291.40","11,291.40","11,292","11,291.80","11,204","11,204","11,204","11,204","11,204","11,204","11,204","11,204","11,204","11,204","11,204"
Brno,:,:,:,:,:,:,:,:,:,:,"6,917.30","6,917.10","6,916.90","6,917.40","6,917.40","7,045.20","7,044.10","7,042.80","7,042.10","7,041.50","7,040.10","7,039.90","7,040","7,032","7,032","7,032","7,032","7,032","7,032","7,032","7,032","7,032","7,032","7,032"
Ostrava,"5,535.60","5,535.40","5,534.50","5,534.50","5,534.50","5,532.70","5,444.20","5,442","5,441.80","5,440.80","5,440.70","5,440.70","5,441","5,421.90","5,421.70","5,314","5,314","5,312.70","5,312.70","5,312.30","5,312.60","5,312.10","5,312.30","5,314","5,314","5,314","5,314","5,314","5,314","5,314","5,314","5,314","5,314","5,314"
Plzen,"7,447.30","7,446.10","7,445.10","7,446","7,446.40","7,446.40","7,446.30","7,446.40","7,446","7,446.70","7,446.70","7,446.40","7,446.50","7,446.50","7,446.50","7,446","7,446","7,445.50","7,445.50","7,445","7,444.90","7,444.50","7,444.30","7,527","7,527","7,527","7,527","7,527","7,527","7,527","7,527","7,527","7,527","7,527"
Liberec,"3,135.70","3,135.40","3,115.30","3,115","3,115","3,115.20","3,115.40","3,115.40","3,115.50","3,115.50","3,115.50","3,115.40","3,115.20","3,115.20","3,115.20","3,115","3,115","3,115.20","3,115.20","3,115.20","3,115.20","3,115.30","3,115.50","3,115","3,115","3,115","3,115","3,115",:,:,:,:,:,:
København,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"2,645","2,645","2,645","2,645","2,645","2,645","2,645","2,645","2,645","2,645","2,645"
Århus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"5,754","5,754","5,754","5,754","5,754","5,754","5,754","5,754","5,754","5,754","5,754"
Odense,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"3,412","3,412","3,412","3,412","3,412","3,412","3,412","3,412","3,412","3,412","3,412"
Aalborg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"7,718","7,718","7,718","7,718","7,718","7,718","7,718","7,718","7,718","7,718","7,718"
Berlin,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"17,106","17,106","17,106","17,106","17,106","17,106","17,106","17,106","17,106","17,106","17,106"
Hamburg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"7,096","7,096","7,096","7,096","7,096","7,096","7,096","7,096","7,096","7,096","7,096"
München,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"5,369","5,369","5,369","5,369","5,369","5,369","5,369","5,369","5,369","5,369","5,369"
Köln,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"1,597","1,597","1,597","1,597","1,597","1,597","1,597","1,597","1,597","1,597","1,597"
Frankfurt am Main,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"4,281","4,281","4,281","4,281","4,281","4,281","4,281","4,281","4,281","4,281","4,281"
Stuttgart,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"3,650","3,650","3,650","3,650","3,650","3,650","3,650","3,650","3,650","3,650","3,650"
Leipzig,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"3,898","3,898","3,898","3,898","3,898","3,898","3,898","3,898","3,898","3,898","3,898"
Dresden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"5,710","5,710","5,710","5,710","5,710","5,710","5,710","5,710","5,710","5,710","5,710"
Düsseldorf,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175","1,175"
