City,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bruxelles / Brussel,:,:,:,:,:,:,:,:,:,:,"2,129,716","2,138,898","2,159,154","2,178,354","2,192,352","2,207,136","2,226,958","2,249,356","2,275,888","2,304,386","2,336,052",:,"3,138,476","3,164,668","3,182,288","3,205,144","3,236,373","3,246,784","3,265,847","3,290,046","3,314,298","3,328,568","3,348,154","3,395,581"
Antwerpen,:,:,:,:,:,:,:,:,:,:,"932,103","931,567","935,381","940,681","944,921","948,858","954,680","961,131","969,563","977,612","985,332","1,005,002","1,014,016","1,020,901","1,024,987","1,030,055","1,036,031","1,041,811","1,047,030","1,053,033","1,059,946","1,062,427","1,067,117","1,081,771"
Gent,:,:,:,:,:,:,:,:,:,:,"574,852","576,036","577,988","580,168","581,956","584,938","589,258","592,954","597,473","603,218","609,169","617,160","619,928","622,037","625,402","629,182","634,725","638,941","641,782","646,069","649,850","652,327","656,665","663,993"
Charleroi,:,:,:,:,:,:,:,:,:,:,"421,059","420,214","420,590","420,653","420,528","421,394","421,801","422,598","423,204","424,289","425,110",:,"553,451","554,708","554,542","555,281","556,427","555,671","555,670","556,096","557,130","556,470","558,107","560,627"
Liège,:,:,:,:,:,:,:,:,:,:,"653,876","653,165","655,106","655,203","657,530","659,637","663,239","667,685","671,383","675,100","679,650","798,246","802,947","807,951","810,166","812,734","816,130","818,437","820,356","821,653","824,404","824,173","826,237","830,577"
Namur,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"304,968","307,347","308,970","310,628","312,113","313,321","315,190","316,606","317,552","319,132","319,928","321,698","324,117"
Sofia,"1,684,484","1,676,628","1,657,482","1,642,565","1,637,110","1,635,406",:,:,:,:,"1,627,003","1,630,219","1,608,514","1,619,797","1,629,662","1,637,554","1,644,367","1,650,277","1,655,619","1,661,603","1,667,989","1,673,116","1,674,218","1,675,810","1,679,207","1,681,666","1,682,340","1,681,592","1,679,413","1,678,041","1,674,651","1,667,314","1,659,069",:
Plovdiv,"752,817","748,257","741,486","734,390","735,688","736,445",:,:,:,:,"729,447","728,246","711,933","707,748","703,830","700,627","697,194","693,734","690,683","687,879","685,860","683,298","680,884","678,860","678,197","675,586","673,283","671,573","669,796","668,334","666,801","666,398","662,907",:
Varna,"463,483","462,816","462,448","463,054","460,476","456,036",:,:,:,:,"440,563","435,524","463,883","465,035","466,366","467,632","468,834","470,123","471,315","472,503","474,004","474,776","474,344","473,415","474,076","473,804","472,926","472,654","472,120","471,252","469,885","470,124","468,614",:
Burgas,"444,969","443,897","442,760","440,380","440,180","439,637",:,:,:,:,"427,152","425,366","422,575","421,288","420,360","419,631","418,884","418,229","417,668","417,082","416,880","415,909","414,947","414,154","414,485","414,184","413,884","412,684","411,579","410,331","409,265","409,750","408,704",:
Praha,:,:,"2,328,133","2,327,429",:,:,:,:,:,:,"2,298,209","2,292,067","2,281,771","2,286,046","2,294,428","2,305,259","2,327,773","2,348,897","2,397,045","2,444,705","2,475,262","2,499,023","2,521,009","2,538,596","2,545,537","2,574,378","2,594,325","2,619,490","2,647,308","2,677,964","2,709,418","2,632,001","2,662,230","2,796,717"
Brno,:,:,"1,145,287","1,147,649",:,:,:,:,:,:,:,"1,135,045","1,132,200","1,130,156","1,131,603","1,132,975","1,133,821","1,136,827","1,145,726","1,153,392","1,159,205","1,163,627","1,166,313","1,168,650","1,170,078","1,172,853","1,175,025","1,178,812","1,183,207","1,187,667","1,191,989","1,181,216","1,184,568","1,217,200"
Ostrava,:,:,"1,281,031","1,283,507",:,:,:,:,:,:,"1,281,410","1,265,283","1,260,534","1,256,298","1,252,953","1,249,280","1,245,765","1,243,309","1,243,044","1,242,634","1,239,176","1,234,705","1,230,613","1,226,602","1,221,832","1,217,676","1,213,311","1,209,879","1,205,886","1,203,299","1,200,539","1,183,440","1,177,989","1,189,674"
Plzen,:,:,"557,444","556,837",:,:,:,:,:,:,:,"550,804","549,492","549,143","549,769","549,155","550,931","553,820","560,286","568,798","571,020","571,256","571,709","572,687","573,469","575,123","576,616","578,629","580,816","584,672","589,899","576,358","578,707","605,388"
København,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"1,825,814","1,835,371","1,853,231","1,872,590","1,893,010","1,909,612","1,928,612","1,948,116","1,970,076","1,994,025","2,014,225","2,030,718","2,045,259","2,057,142","2,067,916","2,082,710","2,109,733"
Århus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"804,878","812,373","820,558","826,923","834,113","839,710","845,971","851,769","857,030","865,830","875,084","883,364","890,567","897,129","903,974","913,861","928,096"
Odense,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"480,616","482,410","484,346","484,862","484,969","485,190","485,672","486,709","488,578","491,474","494,049","496,243","498,481","498,506","499,419","501,782","505,026"
Aalborg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"576,972","578,839","580,515","579,628","579,829","579,996","580,272","581,057","582,632","585,499","587,335","589,148","589,755","589,936","590,439","591,740","594,634"
Berlin,:,:,:,:,:,:,:,:,:,:,"4,921,641","4,934,636","4,951,343","4,961,910","4,965,235","4,971,331","4,984,834","4,996,272","5,010,185","5,025,272","5,036,223","4,849,278","4,898,150","4,951,687","5,005,216","5,066,361","5,143,049","5,207,915","5,259,363","5,303,846","5,342,887","5,351,765","5,376,272","5,481,613"
Hamburg,:,:,:,:,:,:,:,:,:,:,"3,056,199","3,079,032","3,102,767","3,114,842","3,127,008","3,134,620","3,149,377","3,164,346","3,184,610","3,187,338","3,192,336","3,112,650","3,130,182","3,152,229","3,173,871","3,201,905","3,243,171","3,282,164","3,309,215","3,327,940","3,341,649","3,353,084","3,362,930","3,423,121"
München,:,:,:,:,:,:,:,:,:,:,"2,410,083","2,446,014","2,483,013","2,501,593","2,521,332","2,531,706","2,551,737","2,593,707","2,623,249","2,644,807","2,654,726","2,649,862","2,690,153","2,730,606","2,768,488","2,804,001","2,848,906","2,879,107","2,883,373","2,908,664","2,927,716","2,932,668","2,935,114","2,981,735"
Köln,:,:,:,:,:,:,:,:,:,:,"1,851,563","1,854,892","1,863,724","1,867,887","1,868,077","1,873,580","1,886,528","1,892,907","1,899,296","1,898,438","1,899,930","1,891,238","1,903,646","1,917,088","1,930,036","1,947,165","1,973,455","1,987,901","1,994,524","2,003,046","2,005,478","2,000,289","1,992,267","2,014,918"
Frankfurt am Main,:,:,:,:,:,:,:,:,:,:,"2,481,064","2,494,485","2,499,151","2,509,839","2,509,130","2,517,561","2,520,936","2,517,539","2,525,635","2,531,970","2,539,597","2,503,708","2,524,900","2,547,153","2,573,745","2,606,836","2,649,983","2,671,358","2,693,115","2,710,127","2,729,562","2,735,932","2,735,735","2,779,727"
Stuttgart,:,:,:,:,:,:,:,:,:,:,"2,601,109","2,613,379","2,634,161","2,649,604","2,657,426","2,663,660","2,667,766","2,668,833","2,672,518","2,674,527","2,673,463","2,613,329","2,626,864","2,647,134","2,668,439","2,694,009","2,735,425","2,757,930","2,778,591","2,787,724","2,794,558","2,787,858","2,783,899","2,816,924"
Leipzig,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"966,434","971,030","978,674","986,504","999,168","1,016,485","1,027,484","1,037,782","1,043,293","1,049,025","1,053,323","1,057,609","1,076,346"
Dresden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"1,323,358","1,323,895","1,326,647","1,328,759","1,332,577","1,342,754","1,341,818","1,341,986","1,343,305","1,343,841","1,339,330","1,334,994","1,348,569"
Düsseldorf,:,:,:,:,:,:,:,:,:,:,"1,518,575","1,520,928","1,525,471","1,527,082","1,525,983","1,525,029","1,524,741","1,525,697","1,527,682","1,527,018","1,525,774","1,501,419","1,505,300","1,510,304","1,515,921","1,524,809","1,545,483","1,545,431","1,552,097","1,555,985","1,559,177","1,556,846","1,556,384","1,576,105"
Bremen,:,:,:,:,:,:,:,:,:,:,"1,229,096","1,232,368","1,237,815","1,242,283","1,246,514","1,249,291","1,250,016","1,250,081","1,249,566","1,247,139","1,245,252","1,232,628","1,232,112","1,234,435","1,237,203","1,244,205","1,259,240","1,269,755","1,274,611","1,277,609","1,277,050","1,278,848","1,278,213","1,295,665"
Hannover,:,:,:,:,:,:,:,:,:,:,"1,279,783","1,284,111","1,288,586","1,292,629","1,293,007","1,294,447","1,294,100","1,293,881","1,294,211","1,292,768","1,292,008","1,259,578","1,263,245","1,268,714","1,275,125","1,283,884","1,300,687","1,306,316","1,310,558","1,315,405","1,314,935","1,313,736","1,315,649","1,333,851"
