City,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bruxelles / Brussel,"2,664","2,664","2,664","2,664","2,664","2,664","2,664","2,664","2,664","2,664","2,664","2,664","2,664","2,664","2,664","2,664","2,663","2,663","2,663","2,663","2,664","2,664","2,664","2,681","2,681","2,681","2,681","2,681","2,681","2,681","2,681","4,880","4,880","4,880"
Antwerpen,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,004","1,004","1,004","1,004","1,004","1,004","1,004","1,004","1,004","1,004","1,004"
Gent,"1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,278","1,286","1,286","1,286","1,286","1,286","1,286","1,286","1,286","1,286","1,286","1,286"
Charleroi,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,559,559,559,559,559,559,559,559,"2,172","2,172","2,172"
Liège,"1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,187","1,186","1,186","1,186","1,186","1,186","1,186","1,186","1,186","1,847","1,847","1,847"
Namur,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"1,168","1,168","1,168"
Sofia,:,"11,512","11,512","11,512","11,512","11,512","10,734.70","10,680.60","10,800.30","10,800.30","10,796.20","10,805.40","10,805.40","10,805.40","10,805.40","10,805.40","10,805.40","10,805.40","10,805.40","10,805.40","10,805.40","10,741","10,740.60","10,797","10,797","10,797","10,797","10,797","10,797","10,797","10,797","10,797","10,797","10,797"
Plovdiv,:,"6,155.70","6,155.70","6,155.70","6,155.70","6,155.70","5,975.90","5,975.90","5,965.70","5,965.70","5,962.20","5,972.90","5,972.90","5,972.90","5,972.90","5,972.90","5,972.90","5,972.90","5,972.90","5,972.90","5,972.90","5,915","5,915.20","5,961","5,961","5,961","5,961","5,961","5,961","5,961","5,961","5,961","5,961","5,961"
Varna,:,"3,831.80","3,831.80","3,831.80","3,831.80","3,831.80","3,834","3,834","3,819.60","3,819.60","3,818.90","3,819.50","3,819.50","3,819.50","3,819.50","3,819.50","3,819.50","3,819.50","3,819.50","3,819.50","3,819.50","3,822","3,821.80","3,822","3,822","3,822","3,822","3,822","3,822","3,822","3,822","3,822","3,822","3,822"
Burgas,:,"7,972.90","7,972.90","7,972.90","7,972.90","7,972.90","7,706.40","7,608.10","7,744.80","7,744.80","7,747.90","7,748.10","7,748.10","7,748.10","7,748.10","7,748.10","7,748.10","7,748.10","7,748.10","7,748.10","7,748.10","7,747","7,747.20","7,751","7,751","7,751","7,751","7,751","7,751","7,751","7,751","7,751","7,751","7,751"
Praha,"11,490.20","11,490.30","11,510.60","11,510.70","11,509.30","11,510.90","11,510.60","11,510.90","11,511","11,510.30","11,510.10","11,510.50","11,510.30","11,512","11,511","11,511","11,511","11,510.90","11,510.80","11,511","11,511","11,511.40","11,511.40","11,425","11,425","11,425","11,425","11,425","11,425","11,425","11,425","11,425","11,425","11,425"
Brno,:,:,:,:,:,:,:,:,:,:,"7,065.70","7,065.50","7,065.60","7,066.70","7,066.70","7,196.30","7,196.30","7,195.60","7,195.60","7,195.40","7,194.50","7,194.60","7,194.80","7,188","7,188","7,188","7,188","7,188","7,188","7,188","7,188","7,188","7,188","7,188"
Ostrava,"5,640.60","5,640.60","5,640.70","5,640.70","5,640.80","5,640.90","5,555.10","5,554.80","5,554.60","5,554","5,554.20","5,554.10","5,554.40","5,535.40","5,535","5,427","5,427","5,427","5,427","5,426.40","5,426.80","5,426.80","5,427.10","5,430","5,430","5,430","5,430","5,430","5,430","5,430","5,430","5,430","5,430","5,430"
Plzen,"7,560.40","7,560.60","7,560.50","7,560.70","7,560.80","7,561","7,561","7,561.20","7,560.50","7,560.80","7,560.80","7,560.90","7,561","7,561.10","7,561","7,561","7,561","7,561","7,561","7,560.90","7,560.90","7,560.90","7,561","7,649","7,649","7,649","7,649","7,649","7,649","7,649","7,649","7,649","7,649","7,649"
Liberec,"3,183.10","3,183.10","3,163.10","3,162.60","3,162.60","3,162.70","3,163","3,163.10","3,163.10","3,163.10","3,163.10","3,163.10","3,162.90","3,162.90","3,163","3,163","3,163","3,163","3,163","3,163","3,162.90","3,163","3,163.40","3,163","3,163","3,163","3,163","3,163",:,:,:,:,:,:
København,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,"2,780.30","2,780.30","2,780.30","2,780.30","2,780.30","2,780.30","2,765.70","2,766","2,779","2,779","2,779","2,779","2,779","2,779","2,779","2,779","2,779","2,779","2,779"
