City,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bruxelles / Brussel,:,:,:,:,:,:,:,:,"90,635.90","95,677.70","99,687.50","103,958.90","109,256.30","111,719.60",:,:,:,:,:,:,:,:,"143,908.10","149,383.30","156,819.80","147,786","158,263"
Antwerpen,:,:,:,:,:,:,:,:,"28,524.30","30,220.90","32,511.50","33,744.20","35,532.60","36,766.60","34,392.70","36,393.70","37,954.30","39,114.80","39,387.30","40,353.50","42,353.50","43,445.90","45,005.40","45,994","47,284.70","45,671","49,749"
Gent,:,:,:,:,:,:,:,:,"14,788.30","15,976.50","16,454","17,568.40","18,526.90","18,849.60","18,836.80","19,921.40","20,647.20","21,164","21,832.90","22,516.80","23,626.20","24,530.10","25,657.90","26,268.10","27,096.20","26,689","29,380"
Charleroi,:,:,:,:,:,:,:,:,"8,264.60","8,838","9,081.70","9,517.30","10,119.20","10,531.50",:,:,:,:,:,:,:,:,"11,763.60","12,278.70","12,182.60","11,704","12,750"
Liäge,:,:,:,:,:,:,:,:,"13,593","14,298","15,023","15,678.20","16,453","17,134","16,912.50","17,593.60","18,310.20","18,440","18,701.30","19,173.10","19,477","20,039.70","20,804.60","21,370.10","22,167.10","21,365","23,409"
Namur,:,:,:,:,:,:,:,:,"5,457.40","5,735","6,010.50","6,312.10","6,555.90","6,894","6,821.60","7,258.40","7,436.10","7,493.50","7,541.80","7,792.10","7,922.70","8,143.60","8,461.20","8,726.40","8,900.60","8,708","9,457"
Sofia,:,:,:,:,:,"3,820.29","4,478.50","5,255.35","5,579.99","6,311.87","7,327.82","8,974.66","11,333.84","13,182.75","13,977.43","14,728.42","16,042.37","15,965.90","15,732.79","16,161.15","17,495.66","18,582.57","20,090.50","21,781.06","24,962.84","25,094.62",:
Plovdiv,:,:,:,:,:,933.02,"1,058.27","1,134.67","1,237.73","1,384.15","1,595.01","1,737.72","2,007.86","2,167","2,449.50","2,490.33","2,721.02","2,782.52","2,809.29","2,772.61","3,049.74","3,349.15","3,593.11","3,906.53","4,286.14","4,352.90",:
Varna,:,:,:,:,:,791.5,877.04,968.34,"1,026.57","1,152.30","1,291.76","1,549.53","1,860.75","2,141.19","2,149.74","2,088.79","2,354.78","2,432.52","2,359.14","2,559.94","2,665.22","2,721.59","2,929.21","3,241.84","3,411.51","3,274.08",:
Burgas,:,:,:,:,:,829.15,699.23,758.15,841.45,941.22,"1,173.43","1,280.52","1,447.77","1,637.91","1,652.54","1,683.58","1,816.42","1,809.86","1,810.12","1,686.55","1,925.22","2,112.58","2,275.98","2,296.33","2,443.09","2,067.17",:
