City,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bruxelles / Brussel,:,:,:,:,165.75,151.01,113.01,192.81,140.49,141.81,191.29,215.17,205.63,228.26,288.95,266.08,223.78,248.04,278.43,264.06,246.45
Antwerpen,:,:,:,:,128.74,92.32,97.29,123.31,124.88,121.2,118.36,122.77,156.77,163.66,174.56,152.24,168.15,168.99,186.34,225.23,171.81
Gent,:,:,:,:,93.94,102.42,86.51,:,125.44,124.8,157.83,:,194.15,253.64,206.84,223.6,207.88,202.32,219.06,348.07,231.6
Charleroi,:,:,:,:,:,23.8,4.76,28.53,21.4,30.85,4.74,44.96,42.53,68.35,44.69,56.04,25.58,30.14,39.5,69.62,32.43
Liège,:,:,:,:,:,:,:,:,31.94,45.48,:,:,64.05,:,136.84,132.07,90.75,137.4,137.41,154.13,123.68
Sofia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,129.7,:,164.7,:,:,:
Plovdiv,:,:,:,:,:,1.37,:,1.41,:,4.28,4.3,37.48,41.99,30.53,67.07,127.32,74.9,72.18,156.3,153.94,90.6
Varna,:,:,:,:,:,:,:,:,:,2.14,6.4,12.76,29.7,27.51,59.07,21.06,33.73,50.7,59.06,61.21,57.09
Burgas,:,:,:,:,:,:,7.1,:,:,2.38,:,14.35,31.13,43.16,28.79,26.45,33.74,16.9,16.89,24.14,21.75
Praha,:,:,:,:,1.74,10.91,7.45,17.5,55.35,49.89,72.17,103.03,89.28,100.63,115.54,136.45,159.86,168.6,167.35,187.23,182.32
Brno,:,:,:,:,:,:,0.88,7.96,25.63,16.77,44.1,36.94,48.88,43.35,62.97,88.52,90.88,69.31,89.74,87.82,92.76
Ostrava,:,:,:,:,:,:,0.79,11.14,11.17,5.6,7.22,14.48,15.29,14.49,27.44,44.55,38.19,66.85,47.47,50.92,50.28
Plzen,:,:,:,:,:,:,1.82,:,9.09,10.93,12.71,21.67,19.63,28.13,47.28,42.01,96.2,38.42,17.44,50.42,24.28
Liberec,:,:,:,:,:,:,:,11.71,14.05,21.1,30.39,25.62,23.13,25.26,29.74,41.1,61.56,52.44,77.52,43.29,36.39
København,:,:,:,:,:,:,:,:,:,:,:,291.38,276.78,270.34,297.98,333.33,329.91,331.84,348.54,405.57,398.69
Århus,:,:,:,:,:,:,:,:,:,:,:,186.36,198.18,180.37,246.7,195.42,250.09,251.78,301.72,345.38,271.42
Odense,:,:,:,:,:,:,:,:,:,:,:,151.89,128.52,152.78,154.68,177.33,185.49,183.25,211.63,208.77,150.57
Aalborg,:,:,:,:,:,:,:,:,:,:,:,84.93,65.65,58.57,101.79,96.58,81.04,139.59,125.63,149.32,150.3
