City,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bruxelles / Brussel,:,:,:,"35,400","37,300","38,500","39,800","41,400","41,900",:,:,:,:,:,:,:,:,"49,500","51,100","53,200","49,500","53,200"
Antwerpen,:,:,:,"33,800","35,800","38,300","39,500","41,300","42,300","39,200","41,100","42,100","43,000","43,100","43,900","45,800","46,800","48,300","49,100","50,100","47,900","52,400"
Gent,:,:,:,"28,400","30,700","31,400","33,300","34,900","35,200","34,800","36,400","37,300","38,100","39,200","40,100","41,700","43,100","44,900","45,700","46,800","45,700","50,400"
Charleroi,:,:,:,"17,100","18,400","18,800","19,700","20,900","21,700",:,:,:,:,:,:,:,:,"23,700","24,800","24,500","23,400","25,700"
Liäge,:,:,:,"20,000","21,000","22,000","22,800","23,800","24,600","24,100","24,900","25,600","25,600","25,900","26,400","26,700","27,500","28,500","29,200","30,200","28,900","31,800"
Namur,:,:,:,"21,200","22,200","23,100","24,100","24,900","25,900","25,400","26,800","27,200","27,200","27,300","28,000","28,300","29,000","30,000","30,900","31,300","30,300","33,100"
Sofia,"2,700","3,200","3,700","4,000","4,500","5,300","6,500","8,200","9,600","9,800","10,300","11,000","11,000","10,900","11,100","12,000","12,800","13,900","15,000","17,200","17,300",:
Plovdiv,"1,500","1,700","1,800","2,000","2,300","2,600","2,900","3,400","3,700","4,000","4,100","4,600","4,700","4,800","4,700","5,200","5,800","6,200","6,700","7,400","7,500",:
Varna,"2,100","2,200","2,400","2,600","2,900","3,300","4,000","4,800","5,500","5,300","5,100","5,700","5,900","5,800","6,200","6,500","6,700","7,200","7,900","8,400","8,000",:
Burgas,"2,200","1,900","2,000","2,300","2,600","3,300","3,600","4,100","4,600","4,500","4,600","5,000","5,000","5,100","4,700","5,400","5,900","6,400","6,400","6,900","5,800",:
Praha,"9,800","11,200","13,400","13,700","14,900","17,000","19,200","21,500","24,800","22,400","23,700","24,400","23,900","23,400","23,100","24,800","26,100","28,200","30,700","32,800","30,700","33,900"
Brno,"5,900","6,700","7,700","7,900","8,500","9,600","10,800","12,200","14,700","13,300","14,000","14,800","14,600","14,700","14,100","15,200","15,600","17,000","18,700","20,000","19,600","21,900"
Ostrava,"5,000","5,700","6,500","6,600","7,400","8,800","9,800","10,900","12,700","11,400","12,200","13,100","13,000","12,300","12,400","13,100","13,800","14,800","16,200","16,500","15,500","17,700"
Plzen,"6,100","7,000","7,900","8,100","9,200","10,000","11,500","12,400","13,400","12,900","13,700","14,400","13,700","13,900","13,900","14,700","15,300","16,700","17,900","18,600","17,700","19,700"
Kõbenhavn,"38,900","40,100","40,500","41,600","44,000","47,000","47,800","49,100","50,800","49,400","52,900","52,300","53,900","55,200","57,100","59,500","60,600","63,100","64,500","65,400","65,900","73,300"
èrhus,"29,900","31,200","32,400","32,500","33,400","34,400","37,000","37,900","39,100","38,300","38,500","39,300","39,800","39,800","40,500","41,100","43,900","45,200","46,000","47,700","48,800","51,100"
Odense,"27,000","28,000","29,100","29,200","30,100","30,600","32,700","33,800","35,300","34,100","34,100","34,900","35,100","35,500","36,300","37,000","38,300","39,700","40,000","40,600","40,900","42,900"
Aalborg,"28,800","29,700","31,300","31,900","32,000","32,900","35,600","37,100","37,700","36,400","36,900","37,300","38,500","39,000","39,300","40,400","41,600","43,300","43,600","44,400","44,100","45,600"
