City,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bruxelles / Brussel,:,:,:,"94,820.16","98,614.74","102,516.12","105,958.21","109,989.47","112,010.32",:,:,:,:,:,:,:,:,"142,839.80","148,227.66","155,232","147,711","159,916"
Antwerpen,:,:,:,"29,841.14","31,148.60","33,434.01","34,393.16","35,771.05","36,862.28","34,193.45","36,858.66","38,023.84","39,313.79","39,467.21","40,388.75","42,482.87","43,271.19","44,671.30","45,638.19","46,805.94","45,647","50,269"
Gent,:,:,:,"15,471.01","16,466.94","16,920.88","17,906.27","18,651.23","18,898.65","18,727.67","20,175.91","20,685.02","21,271.66","21,877.19","22,536.47","23,698.37","24,431.45","25,467.43","26,064.89","26,821.85","26,675","29,687"
Charleroi,:,:,:,"8,646.14","9,109.30","9,339.40","9,700.34","10,187.11","10,558.90",:,:,:,:,:,:,:,:,"11,676.27","12,183.71","12,059.25","11,698","12,883"
Liäge,:,:,:,"14,220.53","14,736.91","15,449.28","15,979.71","16,563.41","17,178.59","16,814.52","17,818.37","18,343.75","18,533.81","18,739.23","19,189.85","19,536.50","19,959.12","20,650.15","21,204.79","21,942.66","21,354","23,654"
Namur,:,:,:,"5,709.34","5,911.05","6,181.05","6,433.49","6,599.89","6,911.94","6,782.08","7,351.13","7,449.72","7,531.62","7,557.10","7,798.91","7,946.90","8,110.85","8,398.39","8,658.89","8,810.48","8,704","9,556"
Sofia,"13,152.93","14,750.08","16,901.83","18,274.80","20,269.31","23,133.85","26,735.12","31,426.55","35,109.93","34,265.02","36,892.74","38,204.01","38,253.43","37,876.33","39,495.59","41,961.81","43,971.52","46,401.69","49,019.12","54,407.96","53,922.41",:
Plovdiv,"3,212.31","3,485.46","3,649.22","4,053.63","4,444.93","5,035.42","5,176.58","5,567.41","5,771.43","6,004.83","6,237.94","6,479.96","6,666.77","6,763.29","6,775.86","7,314.53","7,925.01","8,298.77","8,791.79","9,341.89","9,353.37",:
Varna,"2,725.07","2,888.55","3,114.29","3,362.09","3,700.37","4,078.07","4,615.99","5,159.49","5,702.68","5,269.98","5,232.15","5,607.77","5,828.20","5,679.58","6,256.14","6,392.30","6,440.04","6,765.41","7,295.88","7,435.58","7,035.24",:
Burgas,"2,854.69","2,302.95","2,438.30","2,755.81","3,022.54","3,704.51","3,814.62","4,014.39","4,362.28","4,051.14","4,217.14","4,325.70","4,336.33","4,357.83","4,121.70","4,617.48","4,998.94","5,256.68","5,167.98","5,324.85","4,441.86",:
Praha,"46,368.85","50,541.29","53,521.94","57,830.09","62,036.25","66,103.22","70,508.70","78,699.52","84,211","81,239.77","83,061.93","84,027.58","84,448.06","87,067.88","91,730.76","97,152.15","101,402.58","108,187.18","114,706.41","121,913.32","115,989.21","123,093.01"
Brno,"13,810.76","14,898.67","15,104.90","16,350.77","17,241.25","18,115.45","19,103.02","21,310.89","23,334.44","22,445.65","22,661.69","23,621.69","23,870.71","25,230.41","25,692.48","27,110.18","27,475.88","29,181.38","31,218.37","32,805.21","32,616.54","34,923.37"
Ostrava,"13,299.19","14,301.13","14,317.47","15,262.08","16,853.21","18,544.14","19,100.66","20,952.79","22,139.78","20,795.28","21,183.56","22,243.10","22,334.62","22,052.53","23,483.58","24,199.77","24,870.42","26,055.55","27,433.43","27,399.96","25,812.14","28,259.01"
Plzen,"6,948.64","7,525.66","7,605.83","8,248.33","9,081.38","9,249.97","9,977.75","10,596.87","10,570.97","10,753.20","10,940.49","11,292.38","10,977.19","11,712.54","12,351.11","12,828.71","13,223.93","14,073.77","14,660.63","15,053.36","14,521.52","15,499.74"
Kõbenhavn,"49,661.53","51,251.99","52,066.55","53,061.43","57,379.51","60,864.07","62,376.33","64,817.34","68,119.46","66,883.39","73,899.84","73,971.31","75,198.84","78,285.70","81,560.34","86,573.63","88,715.60","94,794.39","98,291.34","99,573.68","101,267.43","113,775.42"
èrhus,"16,463.74","17,125.72","17,970.48","17,989.28","18,952.76","19,453.57","21,203.27","22,091.68","23,259.79","22,976.17","23,699.11","24,452.73","24,332.88","24,712.43","25,186.96","26,003.42","27,912.59","29,548.20","30,506.89","31,671.82","32,703.65","34,748.30"
Odense,"9,098.57","9,387.19","9,780.99","9,774.48","10,307.60","10,376.66","11,199.29","11,724.69","12,430.52","12,013.61","12,266.02","12,581.72","12,379.06","12,623.63","12,900.01","13,297.61","13,787.28","14,607.54","14,858.61","15,058.52","15,194.07","16,043.70"
Aalborg,"11,886.32","12,187.45","12,906.16","13,019.10","13,300.26","13,509.99","14,675.08","15,444.78","15,939.64","15,366","15,862.98","16,080.34","16,234.25","16,539.79","16,678.24","17,331.42","17,813.78","18,926.19","19,192.20","19,439.30","19,398.34","20,152.58"
Berlin,"98,720.66","101,253.50","102,111.53","104,095.75","107,220.47","109,871.24","114,262.68","119,871.05","125,150.36","122,824.87","128,804.59","135,597.45","137,227.73","140,400.48","148,080.17","153,529.51","162,633.67","171,935.82","181,175","187,118","185,335",:
Hamburg,"93,218.27","98,802.82","100,262.64","102,556","107,175.90","110,579.55","112,661.48","117,132.07","120,717.74","114,734.83","118,883.98","121,885.96","124,238.78","127,607.38","131,382.78","135,700.12","139,276.24","146,220.54","149,617","153,869","148,019",:
MÅnchen,"100,271.46","106,473.84","109,228.24","109,774.61","116,120.65","118,680.13","122,795.09","131,131.07","129,785.05","126,045.71","130,907.52","141,349.83","144,474.71","148,349.95","154,507.47","160,133.28","167,818.78","176,909.18","180,607","185,520","181,059",:
Kîln,"56,144.50","58,620.96","59,412.63","60,839.98","63,269.63","62,915.28","65,724.35","69,602.38","67,981.06","66,079.44","68,500.40","71,121.22","72,179.27","74,046.60","78,620.44","83,484.93","85,197.56","88,573.07","90,890","90,695","86,147",:
Frankfurt am Main,"92,188.25","96,767.22","96,965.03","101,931.15","104,633.68","105,893.64","109,756.46","114,001.43","115,620.13","109,685.93","113,415.60","119,335.40","118,503.11","120,707.39","126,174.43","128,115.80","132,716.41","136,713.47","139,948","141,392","136,654",:
Stuttgart,"83,285.80","90,069.25","91,138.39","95,047.94","96,138.99","94,564.01","102,078.41","109,524.41","108,130.78","95,321.34","107,611.79","114,617.89","117,017.78","118,914.32","123,335.66","130,953.29","132,686.60","139,480.33","144,481","139,876","133,904",:
