City,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bruxelles / Brussel,:,:,:,"33,200","34,300","35,400","36,200","37,200","37,500",:,:,:,:,:,:,:,:,"43,900","45,200","47,000","44,400","47,900"
Antwerpen,:,:,:,"31,700","32,900","35,100","35,900","37,100","37,900","34,800","37,200","37,700","38,600","38,600","39,300","41,100","41,700","42,800","43,500","44,300","43,000","47,200"
Gent,:,:,:,"26,600","28,200","28,800","30,300","31,300","31,500","30,900","32,900","33,400","34,300","35,100","35,900","37,500","38,400","39,800","40,500","41,400","41,000","45,300"
Charleroi,:,:,:,"16,100","16,900","17,300","17,900","18,800","19,400",:,:,:,:,:,:,:,:,"21,000","21,900","21,700","21,000","23,100"
Liäge,:,:,:,"18,700","19,300","20,200","20,800","21,400","22,000","21,400","22,500","22,900","23,000","23,200","23,600","24,000","24,400","25,200","25,800","26,700","25,900","28,600"
Namur,:,:,:,"19,800","20,400","21,200","21,900","22,300","23,200","22,600","24,300","24,300","24,400","24,400","25,000","25,400","25,800","26,600","27,300","27,700","27,200","29,800"
Sofia,"8,100","9,200","10,500","11,300","12,500","14,200","16,400","19,200","21,400","20,900","22,500","22,800","22,800","22,600","23,500","24,900","26,100","27,600","29,200","32,500","32,300",:
Plovdiv,"4,400","4,900","5,100","5,700","6,300","7,100","7,300","7,900","8,200","8,500","8,900","9,500","9,800","10,000","10,000","10,800","11,800","12,400","13,100","14,000","14,000",:
Varna,"6,200","6,300","6,800","7,300","8,100","8,900","10,100","11,300","12,400","11,300","11,200","11,800","12,300","12,000","13,200","13,500","13,600","14,300","15,500","15,800","15,000",:
Burgas,"6,700","5,400","5,800","6,600","7,200","8,800","9,100","9,600","10,400","9,600","10,000","10,400","10,500","10,500","9,900","11,200","12,100","12,800","12,600","13,000","10,800",:
Praha,"20,200","22,100","23,400","25,200","26,900","28,400","30,000","33,000","34,500","32,700","33,100","33,500","33,400","34,300","35,800","37,600","38,900","41,100","43,100","45,300","42,700","45,300"
Brno,"12,100","13,200","13,500","14,600","15,400","16,000","16,900","18,800","20,400","19,500","19,700","20,300","20,500","21,600","21,900","23,100","23,300","24,700","26,300","27,600","27,300","29,200"
Ostrava,"10,400","11,300","11,300","12,100","13,400","14,800","15,300","16,800","17,700","16,600","17,000","18,000","18,200","18,000","19,200","19,900","20,500","21,600","22,800","22,800","21,600","23,600"
Plzen,"12,600","13,700","13,900","15,000","16,500","16,800","18,000","19,000","18,700","18,800","19,100","19,800","19,200","20,400","21,500","22,300","22,900","24,300","25,100","25,600","24,600","26,200"
Kõbenhavn,"27,700","28,500","28,800","29,300","31,600","33,500","34,200","35,400","37,000","35,900","39,200","38,900","39,200","40,400","41,600","43,700","44,200","46,900","48,200","48,500","49,100","54,900"
