City,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bruxelles / Brussel,65,45,56,48,58,66,60,64,48,43,51,39,49
Antwerpen,25,28,22,32,26,23,12,17,8,18,11,13,15
Gent,5,13,5,7,8,9,7,11,4,8,6,8,2
Charleroi,13,14,15,15,12,17,24,13,14,14,13,17,11
Liäge,31,24,24,23,23,21,18,21,22,23,29,16,20
Namur,2,2,4,1,8,2,7,9,6,25,10,5,2
Sofia,38,38,30,28,38,28,32,28,19,20,19,17,14
Plovdiv,16,14,7,7,10,8,8,8,5,7,6,7,4
Varna,9,2,6,5,1,6,6,11,1,5,4,10,4
Burgas,7,11,9,11,14,6,3,11,4,4,5,4,5
Praha,:,:,:,:,:,:,:,:,:,:,34,24,18
Brno,:,:,:,:,:,:,:,:,:,:,16,13,4
Ostrava,:,:,:,:,:,:,:,:,:,:,7,10,8
Plzen,:,:,:,:,:,:,:,:,:,:,6,2,3
Kõbenhavn,22,23,23,25,21,14,25,20,21,21,16,24,17
èrhus,11,6,6,3,1,9,11,8,6,9,7,6,10
Odense,5,10,5,9,5,4,4,3,9,1,7,1,2
Aalborg,4,5,3,1,3,4,5,8,5,11,5,1,5
Berlin,:,:,:,:,60,67,59,55,61,64,41,54,:
Hamburg,:,:,:,:,34,23,31,26,23,31,32,30,:
MÅnchen,:,:,:,:,18,11,11,17,26,13,25,9,:
Kîln,:,:,:,:,11,21,13,19,18,12,12,20,:
Frankfurt am Main,:,:,:,:,25,21,23,29,19,32,25,33,:
Stuttgart,:,:,:,:,14,14,27,18,18,19,17,14,:
Leipzig,:,:,:,:,17,7,7,8,7,12,7,3,:
Dresden,:,:,:,:,6,9,8,15,6,10,9,9,:
DÅsseldorf,:,:,:,:,8,15,14,8,9,7,5,7,:
Bremen,:,:,:,:,9,14,15,55,88,62,14,8,:
Hannover,:,:,:,:,6,9,11,13,13,12,13,11,:
NÅrnberg,:,:,:,:,5,10,6,9,9,12,11,8,:
Bielefeld,:,:,:,:,4,0,2,3,3,1,2,3,:
Halle an der Saale,:,:,:,:,4,3,5,7,4,4,7,2,:
Magdeburg,:,:,:,:,6,6,4,4,8,9,11,2,:
Wiesbaden,:,:,:,:,3,5,8,4,2,0,1,4,:
Gîttingen,:,:,:,:,3,5,10,5,4,7,6,6,:
