City,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bruxelles / Brussel,"5,700","5,401","4,800","4,729","4,113","3,742","4,010","3,560","3,342","3,440","3,043","2,982","2,278"
Antwerpen,"1,615","1,854","1,789","1,701","1,508","1,408","1,240","1,194","1,018",882,651,702,492
Gent,635,639,690,708,589,551,502,446,403,459,316,404,298
Charleroi,"2,323","1,842","1,684","1,387","1,472","1,306","1,515","1,440","1,306","1,350","1,144",889,771
Liäge,"2,944","2,590","2,254","2,037","1,842","1,580","1,495","1,270","1,075",962,977,857,700
Namur,519,442,453,473,383,343,389,400,304,308,268,195,180
Sofia,"2,902","2,752","2,079","1,719","1,719","2,124","2,197",:,:,:,105,117,179
Plovdiv,164,181,285,212,171,176,106,:,:,:,9,15,18
Varna,267,289,314,281,307,350,439,:,:,:,57,43,27
Burgas,358,360,320,299,215,205,283,:,:,:,24,16,30
Praha,:,:,"6,551","5,692","5,263","5,374","4,547","3,167","2,477","1,635","1,321","1,484","1,064"
Brno,:,:,656,754,535,640,622,557,423,356,283,314,228
Ostrava,:,:,920,"1,246","1,340","1,345",779,581,365,341,295,281,286
Plzen,:,:,596,622,429,397,342,233,188,181,192,211,240
Kõbenhavn,346,378,248,176,113,110,97,102,95,75,85,209,213
èrhus,50,64,55,55,56,36,37,18,21,41,33,76,69
Odense,61,60,53,30,29,16,23,16,19,11,15,25,32
Aalborg,46,62,47,51,34,24,26,18,20,17,20,69,50
Berlin,:,:,:,:,:,:,:,:,"11,751","10,438","9,698","9,603",:
Hamburg,:,:,:,:,:,:,:,:,"3,775","3,549","3,015","2,951",:
MÅnchen,:,:,:,:,:,:,:,:,622,600,635,674,:
Kîln,:,:,:,:,:,:,:,:,"2,250","2,430","2,188","2,155",:
Frankfurt am Main,:,:,:,:,:,:,:,:,"1,645","1,834","1,506","1,472",:
Stuttgart,:,:,:,:,:,:,:,:,781,669,657,759,:
Leipzig,:,:,:,:,:,:,:,:,"1,928","1,343","1,208","1,217",:
Dresden,:,:,:,:,:,:,:,:,"1,334",988,"1,138",879,:
DÅsseldorf,:,:,:,:,:,:,:,:,"1,311","1,213","1,022","1,128",:
Bremen,:,:,:,:,:,:,:,:,890,777,719,523,:
Hannover,:,:,:,:,:,:,:,:,"1,317",983,"1,112",926,:
NÅrnberg,:,:,:,:,:,:,:,:,442,343,323,300,:
Bielefeld,:,:,:,:,:,:,:,:,164,291,271,145,:
Halle an der Saale,:,:,:,:,:,:,:,:,518,489,494,416,:
Magdeburg,:,:,:,:,:,:,:,:,612,654,493,480,:
Wiesbaden,:,:,:,:,:,:,:,:,281,306,207,221,:
Gîttingen,:,:,:,:,:,:,:,:,369,209,174,178,:
Darmstadt,:,:,:,:,:,:,:,:,227,231,211,183,:
Freiburg im Breisgau,:,:,:,:,:,:,:,:,486,526,456,396,:
Regensburg,:,:,:,:,:,:,:,:,167,144,120,113,:
Schwerin,:,:,:,:,:,:,:,:,164,159,120,123,:
Erfurt,:,:,:,:,:,:,:,:,394,378,382,233,:
Augsburg,:,:,:,:,:,:,:,:,149,106,121,138,:
Bonn,:,:,:,:,:,:,:,:,866,935,718,782,:
Karlsruhe,:,:,:,:,:,:,:,:,305,268,309,305,:
Mînchengladbach,:,:,:,:,:,:,:,:,380,229,250,305,:
Mainz,:,:,:,:,:,:,:,:,217,351,235,223,:
Ruhrgebiet,:,:,:,:,:,:,:,:,"3,846","3,727","3,593","3,313",:
