City,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bruxelles / Brussel,"18,462","21,217","21,016","21,290","22,064","22,435","21,820","21,176","17,823","16,602","16,426","15,327","11,446"
Antwerpen,"6,816","7,337","7,581","7,674","8,109","6,692","6,415","6,320","4,866","4,977","4,782","4,205","3,121"
Gent,"1,964","2,272","2,692","3,535","3,605","3,566","4,038","2,934","2,779","2,267","2,142","2,073","1,449"
Charleroi,"5,471","6,081","5,784","6,267","6,918","6,784","6,166","6,233","5,114","5,315","5,008","4,271","3,260"
Liäge,"6,746","7,121","6,796","7,784","9,335","10,442","8,626","6,998","5,930","5,815","6,680","5,531","3,778"
Namur,"1,640","1,687","1,620","2,017","2,250","2,422","2,538","2,405","1,863","2,039","1,978","1,806","1,138"
Sofia,:,:,:,:,:,:,:,:,"2,609","2,242","2,089","1,706","1,500"
Plovdiv,:,:,:,:,:,:,:,:,680,546,477,357,261
Varna,:,:,:,:,:,:,:,:,568,568,472,405,365
Burgas,:,:,:,:,:,:,:,:,582,498,415,313,216
Praha,:,:,:,:,:,"5,633","4,880","3,546","3,400","2,749","2,257","2,668","2,193"
Brno,:,:,:,:,:,"1,491","1,035",862,784,824,662,678,657
Ostrava,:,:,:,:,:,"1,751","1,325",920,728,662,445,654,562
Plzen,:,:,:,:,:,"1,121",823,598,374,430,460,614,453
Kõbenhavn,"18,746","24,009","23,142","22,997","21,103","21,881","19,449","16,802","18,049","14,862","13,611","12,894","9,589"
èrhus,"9,909","9,496","8,755","9,523","8,780","8,451","7,763","7,070","6,665","6,310","6,261","5,208","4,509"
Odense,"5,346","6,355","4,939","4,717","4,980","4,425","4,143","3,874","3,313","3,268","3,761","3,194","2,697"
Aalborg,"6,002","6,547","6,064","6,325","5,421","5,099","4,123","4,632","4,005","4,163","3,841","3,243","2,291"
Berlin,:,:,:,:,"15,189","14,603","15,011","15,203","14,775","10,975","9,539","9,911",:
Hamburg,:,:,:,:,"11,334","11,263","11,349","14,225","12,129","8,935","7,700","6,829",:
MÅnchen,:,:,:,:,"1,808","2,039","2,615","2,021","2,301","1,719","1,769","1,459",:
Kîln,:,:,:,:,"8,230","8,300","8,004","9,092","6,587","5,076","4,102","4,037",:
Frankfurt am Main,:,:,:,:,"6,383","6,302","6,394","6,187","5,565","4,479","3,869","3,826",:
Stuttgart,:,:,:,:,"2,379","2,655","3,912","3,175","2,591","2,250","1,865","1,730",:
Leipzig,:,:,:,:,"1,801","1,754","1,930","1,923","2,137","2,067","1,848","1,328",:
Dresden,:,:,:,:,864,809,931,"1,080","1,085",923,781,773,:
DÅsseldorf,:,:,:,:,"6,214","5,810","5,331","6,395","5,319","3,828","2,949","2,544",:
Bremen,:,:,:,:,"4,807","4,541","4,745","4,665","4,509","3,654","2,835","2,619",:
Hannover,:,:,:,:,"2,997","3,838","3,303","3,278","3,203","3,196","2,490","1,927",:
NÅrnberg,:,:,:,:,927,937,"1,201","1,112","1,026","1,004",831,697,:
Bielefeld,:,:,:,:,742,718,958,885,745,619,495,498,:
Halle an der Saale,:,:,:,:,553,520,451,562,619,603,675,570,:
Magdeburg,:,:,:,:,708,645,743,794,828,780,862,698,:
Wiesbaden,:,:,:,:,846,861,765,832,660,817,819,564,:
Gîttingen,:,:,:,:,542,526,525,759,827,595,410,488,:
Darmstadt,:,:,:,:,423,538,485,636,498,580,423,311,:
Freiburg im Breisgau,:,:,:,:,754,"1,105","1,266",840,902,725,877,680,:
