City,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bruxelles / Brussel,:,:,:,26.4,25.9,26.1,24.6,22.4,19.9,19.6,19.6,18.6,17.3,17.7
Antwerpen,:,:,:,25.7,26.7,21.8,22.3,25.3,22,19.9,22.3,22.5,20.2,15.7
Gent,:,:,:,25.6,24.8,25.3,23.2,22.2,21,18.5,18.4,15.6,10.6,11.6
Charleroi,:,:,:,38.9,35.9,37,37,32.7,31.7,30.7,30.7,33,31.8,30.6
Liège,:,:,:,33.6,31.9,33.3,31.1,31,30.2,28.7,27.2,22.9,20.4,20.5
Namur,:,:,:,:,:,:,:,21.3,19.2,18.7,20.5,18,15.6,16.5
Sofia,8.4,7.7,7.5,7,6,6.3,6.2,6.3,5.7,5.8,6.3,5.7,6,6.1
Plovdiv,23.8,21.4,19.7,19.4,19.3,19.9,19.7,19.7,18.8,20.3,20.2,19.7,19.2,17.8
Varna,20.6,20.7,20.1,21.4,18.6,18.8,15.5,16.8,18.3,19.1,18.8,14.4,15.8,16.2
Burgas,37.3,34.6,30.8,29,28,27.8,28.8,27.8,22.2,20.1,20.4,19.6,19.5,19.1
Praha,:,:,:,:,4.7,4.3,4.4,4.2,3.6,3.9,3.8,3.6,3.4,3.5
Brno,:,:,:,:,5.9,5.9,5.4,4.2,5.3,5.2,5.1,4.8,4.2,3.9
Ostrava,:,:,:,:,8.4,8.5,8.5,8.2,6.5,7,7.5,6.3,6.2,7.4
Plzen,:,:,:,:,6,6.1,7.9,6.8,6.2,6.5,6.9,6.8,8.1,6.7
København,20.8,19.3,17.3,17.8,17.3,16.5,16.4,15.4,15.3,14.9,13.9,14.1,13.4,14
Århus,28.7,30.1,30.6,22.1,21,19.8,18.2,16.8,16.1,17.3,17.1,17.4,15.7,15.5
Odense,29.8,26.4,24.3,23.1,23.1,22.8,22.1,22,19.9,20.2,20,19.6,19.3,22.4
Aalborg,26.1,27.4,26.3,25,25.6,23.9,22.2,22.8,23,21.6,22,22.5,20.4,19.3
Berlin,:,:,:,:,:,:,:,11.5,11.9,11.1,10.8,:,13.1,11.4
Hamburg,:,:,:,:,:,:,:,12.6,13.8,13.7,14,:,14.8,17.4
München,:,:,:,:,:,:,:,10,9.1,9.6,10.1,:,12.6,12.9
Köln,:,:,:,:,:,:,:,18,17.6,17,16.7,:,19.5,20.6
Frankfurt am Main,:,:,:,:,:,:,:,16.5,16.5,16.3,16.8,:,20.8,22.1
Stuttgart,:,:,:,:,:,:,:,14.7,14,14.4,14.2,:,18.1,18
Leipzig,:,:,:,:,:,:,:,5.1,5.6,6.2,6.4,:,7.3,7.2
Dresden,:,:,:,:,:,:,:,4.5,4.9,4.9,4.8,:,4.9,4.7
Düsseldorf,:,:,:,:,:,:,:,16.4,16.9,15.5,14.8,:,17.4,17
Bremen,:,:,:,:,:,:,:,15.5,15.1,15.5,16.1,:,20.7,20.9
Hannover,:,:,:,:,:,:,:,15.2,15.4,15,15,:,19.1,20.2
Nürnberg,:,:,:,:,:,:,:,14.6,15,14.8,14.4,:,15.6,16.4
Bielefeld,:,:,:,:,:,:,:,19.9,18.7,17.9,17,:,20.1,22.6
Halle an der Saale,:,:,:,:,:,:,:,8,9.9,9.8,9.6,:,7.4,7.5
Magdeburg,:,:,:,:,:,:,:,6.6,7.5,7.1,7.8,:,7.8,9.5
Wiesbaden,:,:,:,:,:,:,:,13.5,14.2,16.3,15.7,:,20.1,17.8
Göttingen,:,:,:,:,:,:,:,15.5,14.9,13.4,11.7,:,16.4,14
Darmstadt,:,:,:,:,:,:,:,14.2,13,13.7,13,:,18.3,17.6
Freiburg im Breisgau,:,:,:,:,:,:,:,9.5,11.4,11.5,11.9,:,13.3,13
Regensburg,:,:,:,:,:,:,:,10.6,9.1,9.7,9.7,:,8.5,13
Schwerin,:,:,:,:,:,:,:,7.7,8.7,9.4,7.7,:,12.5,8.4
Erfurt,:,:,:,:,:,:,:,5.8,5.8,5.4,5.5,:,9.1,10
Augsburg,:,:,:,:,:,:,:,12.8,12.2,11.4,10.6,:,13.5,11.5
Bonn,:,:,:,:,:,:,:,14.3,14.8,14.7,15.5,:,17.5,16.1
Karlsruhe,:,:,:,:,:,:,:,12.4,13.3,12.2,12,:,16.5,14.6
Mönchengladbach,:,:,:,:,:,:,:,21.1,19.8,22.1,21.1,:,28.5,27.5
Mainz,:,:,:,:,:,:,:,12.5,12.6,12,12,:,16.6,19.2
Ruhrgebiet,:,:,:,:,:,:,:,20.3,20.3,20.2,20.1,:,23.4,23.3
Kiel,:,:,:,:,:,:,:,12.5,11.8,12.1,11,:,11.6,15.7
Saarbrücken,:,:,:,:,:,:,:,16.2,15.9,15.6,16.3,:,19.6,19.4
Koblenz,:,:,:,:,:,:,:,19,16.4,15.4,14.7,:,18.9,24.3
Rostock,:,:,:,:,:,:,:,7.4,7.8,7,6.4,:,9.2,8.7
Kaiserslautern,:,:,:,:,:,:,:,18.3,17.5,17.5,15.9,:,22.6,25.9
Iserlohn,:,:,:,:,:,:,:,21.8,21.2,22.9,23.9,:,29.4,24
Flensburg,:,:,:,:,:,:,:,12.6,12.2,13.2,11.6,:,13.9,18.9
Konstanz,:,:,:,:,:,:,:,13.5,14.3,13.7,12.5,:,11.1,14.1
Gießen,:,:,:,:,:,:,:,11.7,12.3,12.9,15.5,:,22.1,16.5
Bayreuth,:,:,:,:,:,:,:,10.4,10.1,10,11.7,:,12.6,13.3
Aschaffenburg,:,:,:,:,:,:,:,15,13.5,12.9,12.7,:,15.6,18.4
Neubrandenburg,:,:,:,:,:,:,:,9.2,7.5,6.8,4.8,:,:,10.4
Rosenheim,:,:,:,:,:,:,:,10.1,9.1,10.6,8.9,:,12,12
Offenburg,:,:,:,:,:,:,:,13.2,14,12.9,13.4,:,16.8,18
Görlitz,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Schweinfurt,:,:,:,:,:,:,:,13,11.8,12.7,12.1,:,16,25.4
Wetzlar,:,:,:,:,:,:,:,15.9,17,19.6,19.1,:,23.1,20.2
Braunschweig-Salzgitter-Wolfsburg,:,:,:,:,:,:,:,13.9,14,14.1,14.7,:,17.8,18.5
Mannheim-Ludwigshafen,:,:,:,:,:,:,:,19.8,19.3,19,18,:,20,22
Münster,:,:,:,:,:,:,:,11.4,10.3,9.6,9.2,:,13.5,12.6
Aachen,:,:,:,:,:,:,:,16.8,16.9,17.8,17.4,:,20,22.3
Lübeck,:,:,:,:,:,:,:,14.2,14,13.4,13,:,14.3,15.7
Kassel,:,:,:,:,:,:,:,10.9,10.6,12.8,12,:,20.3,22.9
Osnabrück,:,:,:,:,:,:,:,14.7,14,12.3,11.8,:,18.5,20
Oldenburg (Oldenburg),:,:,:,:,:,:,:,11.3,11.9,12.6,11.3,:,19.3,19.6
Heidelberg,:,:,:,:,:,:,:,11,12.4,11.8,11.5,:,12.2,13.4
Paderborn,:,:,:,:,:,:,:,15.6,14.3,17.1,15.8,:,18.2,20.9
Würzburg,:,:,:,:,:,:,:,11.3,10,9.3,10.1,:,12.4,16
Bremerhaven,:,:,:,:,:,:,:,18.9,18,17.6,18.2,:,26.6,28.1
Heilbronn,:,:,:,:,:,:,:,16,15.3,14.9,13.6,:,16.6,19.8
Ulm,:,:,:,:,:,:,:,14.9,15.3,16,15.1,:,15.4,16.7
Pforzheim,:,:,:,:,:,:,:,19.6,19,18.7,17,:,17.8,21.5
Ingolstadt,:,:,:,:,:,:,:,12.1,12.4,12.2,11.9,:,14.1,19
Reutlingen,:,:,:,:,:,:,:,14.5,14.7,14.5,14.7,:,17.2,15.6
Siegen,:,:,:,:,:,:,:,17.9,17.3,16.5,17.2,:,19.9,21.8
Hildesheim,:,:,:,:,:,:,:,15.6,16,13.4,14.2,:,18.5,17
Zwickau,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Wuppertal,:,:,:,:,:,:,:,23.3,22.6,22.3,23.4,:,26,29.7
Düren,:,:,:,:,:,:,:,19.6,18.7,16.3,17.5,:,23.8,21.3
Bocholt,:,:,:,:,:,:,:,12.8,12.8,13.4,13,:,17.9,21.5
Tallinn,7.2,7,7.3,6.1,6.1,7.5,8.2,6.8,6.7,7.2,6.7,6.5,6.9,6.8
Dublin,:,:,:,22.3,19.9,16.8,15.9,15.8,15.1,14.5,14,13.2,10.8,10.9
Cork,:,:,:,23.1,21.9,20,20,18.8,16.3,15.5,16.4,13.8,11.7,11.4
Athina,:,25.3,24,21.9,20.2,19.4,17.1,16.9,16.2,16.1,14.1,:,10.6,9.3
Thessaloniki,32.8,29.7,27.6,27.8,27,28,26.2,24.1,22.5,22.4,16.7,:,12.9,14.4
Madrid,:,32,31.2,30.7,29.5,27.9,28.5,28.9,27.1,27.7,25.9,24.1,25.3,24.2
Barcelona,:,45.5,43.4,43.8,43,40.9,39.6,38.2,37.6,35.6,35,35.2,33.6,31.9
Valencia,:,46,44.8,44.9,44.8,41.1,40.1,40.3,40.3,38.1,37.7,35.4,35.2,38.5
Sevilla,:,52,51.2,50.7,49.9,47.4,46.7,47,45.2,43.6,42.2,41.8,37.2,36.7
Zaragoza,:,38.4,38.8,38.3,38.8,37.4,37,35,34.4,33.8,32.5,31,28.6,30.2
Málaga - Marbella,:,55.2,55.9,54.4,51.3,52.2,52.6,49.5,47.7,46.8,45.1,43.4,39.9,41.2
Murcia - Cartagena,:,55.3,53.3,53.1,52.1,51.1,50.6,49.9,48.3,46.9,47.5,45.9,44.4,47
Las Palmas,:,53.9,56,53.2,52.1,52.8,50.7,48.8,49,48.1,46.7,43,39.7,38.2
Valladolid,:,42,39.6,39,38.3,36.4,35.7,36.4,36.2,34.6,33.3,33.7,34,31.4
Palma de Mallorca,:,50.1,48.4,45.8,45.3,45.6,44.2,41.9,41.9,41.7,40.5,36.9,34.3,38.2
Vitoria/Gasteiz,:,36.8,37.6,36.1,32.9,34.3,30.9,29.3,29.5,28,26.9,25.9,27.9,24.9
Oviedo - Gijón,:,45.7,44.3,42.4,40.1,39,36.7,35.7,34.9,33.2,33.1,31.1,30.7,31.8
Pamplona/Iruña,:,37.5,38.1,37.6,35.8,34.7,34.8,32.1,32.1,31.3,29.2,28.8,28.3,27.8
Santander,:,41.1,41.2,38.4,36.8,36.1,37.6,36.5,34.3,31.3,31.3,32.3,31.4,29.7
Bilbao,:,34.1,34,31.9,31.8,30.6,30.5,30.8,28.8,29,28.6,24.8,23.3,22.7
Córdoba,:,58.5,55.4,54.2,54.8,55.1,52,51.6,53.6,51.5,49.6,48.7,47.9,44
Alicante/Alacant - Elche/Elx,:,54,52.1,51.1,50.4,48.4,47.9,46.6,45.5,44,42.8,40.7,41.1,43
Vigo,:,54.3,52.3,52,53.1,51,48.9,47.8,46.2,45.5,43.1,40.1,39.6,38.4
Santa Cruz de Tenerife,:,50.9,48.2,48.6,47.9,48.1,47.8,43.3,41,40.6,38.5,36,34.8,34.3
A Coruña,:,46.4,44.3,43.9,43.2,42.2,39.1,37.8,38.1,35.7,34.1,33.7,32.5,32.2
Granada,:,52.3,52.1,51.8,51.5,49.2,49.7,48.3,48.8,47.4,46.7,45.1,44.2,42.4
Guipúzcoa,:,31.4,29.7,30.3,31.5,32.1,29,27.3,28.2,27.2,27.2,23.8,20.5,20
Cádiz,:,55.4,54.6,54.4,55.1,55.2,53,52,50.7,47.8,48.8,47.1,45.7,45.2
Paris,:,24.1,23.4,22.9,22.4,21.6,20.7,19.8,18.9,:,:,:,17.1,16.6
Lyon,:,:,:,:,:,19.7,18.7,17.7,16.7,:,:,:,13.6,13.4
Toulouse,:,:,:,:,:,15,14.3,13.5,12.7,:,:,:,12.1,11.1
Strasbourg,:,:,:,:,:,20,19,18.1,17.1,:,:,:,15,15.8
Bordeaux,:,:,:,:,:,19.1,18.1,17.1,16.2,:,:,:,12.8,12.9
Nantes,:,:,:,:,:,15.7,14.7,13.6,12.7,:,:,:,10.4,10.1
Lille - Dunkerque - Valenciennes,:,:,:,:,:,25.5,24.3,23.1,21.9,:,:,:,18.7,19.5
Montpellier,:,:,:,:,:,21.2,20.1,19.1,18.3,:,:,:,17.3,19
Saint-Etienne,:,:,:,:,:,23.3,22.2,21.1,20,:,:,:,14.4,13.1
Rennes,:,:,:,:,:,16.9,15.7,14.6,13.7,:,:,:,13.6,14.1
Amiens,:,:,:,:,:,29.2,27.8,26.3,24.9,:,:,:,33.8,25.8
Rouen,:,:,:,:,:,25.4,24.2,22.8,21.6,:,:,:,16.5,16.5
Nancy,:,:,:,:,:,21.3,20.4,19.4,18.3,:,:,:,20.2,19.5
Reims,:,:,:,:,:,24.9,23.7,22.3,21,:,:,:,19.7,19.7
Orléans,:,:,:,:,:,23,22.1,21,20.2,:,:,:,16.1,13.6
Dijon,:,:,:,:,:,20.2,19.1,18.2,17.4,:,:,:,13.5,14.9
Poitiers,:,:,:,:,:,20.5,19.2,18.1,17,:,:,:,14.5,15.8
Clermont-Ferrand,:,:,:,:,:,19.9,18.7,17.7,16.6,:,:,:,18.1,15
Caen,:,:,:,:,:,24.2,22.9,21.8,20.5,:,:,:,21.2,19.4
Limoges,:,:,:,:,:,21.3,20.2,19.1,18.1,:,:,:,13.6,14.6
Besançon,:,:,:,:,:,22.4,21.3,20.3,19.2,:,:,:,18.3,14.2
Grenoble,:,:,:,:,:,19.9,19,18,17,:,:,:,14.8,11.6
Fort-de-France,:,:,:,:,:,34.4,32.6,30.6,29.3,:,:,:,29.2,29.1
Tours,:,:,:,:,:,20,18.8,17.6,16.5,:,:,:,16.2,11.9
Angers,:,:,:,:,:,22,21,20.1,18.9,:,:,:,15,14.7
Brest,:,:,:,:,:,15.3,14.3,13.4,12.4,:,:,:,11.4,11.3
Le Mans,:,:,:,:,:,24,22.9,21.7,20.6,:,:,:,17.2,18.2
Mulhouse,:,:,:,:,:,22.2,21.3,20.1,19.1,:,:,:,20.7,17.9
Perpignan,:,:,:,:,:,24.1,23.3,22.1,21.1,:,:,:,16.1,19
Nimes,:,:,:,:,:,24.5,23.3,22.3,21.1,:,:,:,19,18.9
Pau,:,:,:,:,:,15.6,14.8,14,13.2,:,:,:,10.1,10.9
Annecy (FR) / Genève (CH),:,:,:,:,:,18.8,17.8,16.9,16,:,:,:,11.3,9.3
Marseille,:,:,:,:,:,23.2,22.3,21.2,20.1,:,:,:,19.9,17.6
Nice,:,:,:,:,:,22.8,21.8,20.8,19.7,:,:,:,16.9,16.3
Les Abymes,:,:,:,:,:,:,:,33.8,32,:,:,:,37.2,34.4
Zagreb,:,:,:,:,:,:,:,:,:,:,:,:,8.6,8.6
Split,:,:,:,:,:,:,:,:,:,:,:,:,7.9,7
Roma,:,30.9,29.9,28.9,28.7,27,27.4,27.9,27.1,26.8,27.1,26.6,26,24.8
Milano,:,36.7,35,33.8,33,31.2,30.5,31.6,30.3,29.5,30.8,29.9,29.9,28.8
Napoli,:,60.9,58.8,55.3,52.6,52.3,52.6,51.6,50.9,50.8,50.5,49.5,51.3,50.7
Torino,:,40.5,39.6,39.8,38.3,37.4,36.3,36.9,36.4,33.3,32.6,33.3,32.7,32.2
Palermo,:,55.4,56.2,54.7,54.2,52.9,52.7,52.1,51.8,48.9,48.7,46.4,46.6,48.1
Genova,:,33.8,33.7,34.1,34.2,33.3,32.6,34.4,33.2,28.4,27.4,27.8,27.2,26.7
Firenze,:,38.1,39.6,40.4,37.8,33.3,31.9,31.5,29.6,27.6,27.9,29.5,29.4,27.2
Bari,:,50.5,48.9,48.6,48.4,45.4,45.5,46.4,44.4,43.6,41.6,39.6,41.6,41.9
Bologna,:,36.7,35.8,32.5,31.4,31.1,30.2,28.6,24.3,25.1,24.4,23.2,24.3,25.4
Catania,:,52.8,52.8,51.3,51.1,50.4,50.7,50.3,50.8,49.1,47.1,47.2,48.5,48
Venezia,:,43.4,41.7,39.8,41.2,40.3,38.3,36.2,36.3,38,37.9,37.9,35.4,33.6
Verona,:,35.8,38.4,36.5,34.7,32.2,33.7,31.3,30.9,29.1,28.9,28.7,27.3,29.3
Perugia,:,:,:,:,:,:,:,30.7,30.8,30.8,28.5,27.3,28.2,27.9
Taranto,:,57.1,56.8,57.6,52.4,54.9,56,54.1,51.9,50.5,53.3,52.9,51.5,50.6
Cagliari,:,48.6,48.4,47.2,47.8,50,46.7,45.7,43.8,45.1,39.9,34.1,36.8,36.7
Padova,:,43.1,41.7,40.8,40.5,38.9,37.7,38.6,36.3,35.6,34.5,32.2,33,33.4
Brescia,:,51.7,52.3,49.5,46.3,45.3,45.5,45.5,43.6,41.3,41.1,38.1,38.7,37.6
Messina,:,47.9,46.5,44.1,45.4,46.9,42.8,42.4,43.2,45.4,47.1,47.4,48.6,47.5
Prato,:,48.8,50.1,54.1,52.9,47.7,47.5,47.8,45.4,48.1,51.3,47.7,47.2,48.6
Parma,:,38.3,37.4,38.2,35.8,34.3,35.6,32,31.2,29.9,29.3,27.7,32.7,33
Reggio nell Emilia,:,41,41.4,39.5,39,38.1,37.5,36.6,36.1,34.9,34.5,34.3,32.5,32.1
Bergamo,:,49.2,49.3,50,48.1,47.8,45.9,45.1,44.9,45.7,46.6,48.6,44.8,46.6
