City,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bruxelles / Brussel,:,:,:,42.8,42.7,43.7,44,44.8,48.3,47.5,47,49.8,52.3,52.3
Antwerpen,:,:,:,37.1,37.9,41,38.8,34.8,36.9,39.4,39.3,40.8,43.7,47.4
Gent,:,:,:,38.7,40.2,40.9,41.6,45.1,46.9,48.7,46.7,48.8,56.8,56.2
Charleroi,:,:,:,22.3,24,24.3,22.9,25.7,27.9,27,27.3,26.2,26,31
Liège,:,:,:,32.4,31.2,33.2,33.8,33.2,36.1,36.1,37.6,40.3,42.7,42.1
Namur,:,:,:,:,:,:,:,38.4,43.9,43.9,42.7,45,46.3,45.2
Sofia,38.7,38.2,36.8,37,39.4,42,43.2,44.1,43.7,44.5,45.2,48.6,48.8,48.9
Plovdiv,20.6,22.6,23.4,22.6,23.4,25.1,25.4,25.2,26.7,27,26,26.4,26,26.9
Varna,25.5,25.8,25.8,26,31.4,33.8,30.7,29.9,32.4,29.5,25.3,24.8,30.2,34.4
Burgas,14.4,15.3,17.6,18.6,20.2,18.8,19.3,23.1,24.8,23.6,22.5,24.2,24.4,22.3
Praha,:,:,:,:,29.1,30.9,31,32.3,33.7,35,34.3,35,37.7,37.6
Brno,:,:,:,:,26.1,26,27.6,29.3,28.4,28.4,28.7,30.3,29.8,29.4
Ostrava,:,:,:,:,17.6,16.7,18.8,19.8,21.6,21.1,20.3,21.1,22.5,22.3
Plzen,:,:,:,:,17.8,17.4,19.1,19.7,20.8,20.7,20.2,19.6,21.4,22.2
København,40.8,42,44.3,45.3,46.2,46.7,47.1,48.6,49.5,50.4,51.3,51.9,53.3,52.4
Århus,24.7,23.9,22.2,35,36.9,37,38.9,41.3,41.7,42.2,43.8,43.1,45.1,46.8
Odense,28.2,30.3,30.2,31.2,30.9,31.4,33.3,34,36.2,35.1,35.2,36.4,36.7,37.6
Aalborg,29.9,28.4,28.2,29.2,27.5,27,28.9,30.8,31.5,32.1,31.6,32,35.1,34.8
Berlin,:,:,:,:,:,:,:,36.1,36.7,38.4,39.3,:,42.7,43.8
Hamburg,:,:,:,:,:,:,:,31.2,30.8,31.6,31.9,:,36.3,33.7
München,:,:,:,:,:,:,:,44.7,46,46.5,46.3,:,48.4,48
Köln,:,:,:,:,:,:,:,32.3,32.9,32.9,33.6,:,36.9,37
Frankfurt am Main,:,:,:,:,:,:,:,33.4,34.7,34.4,35.1,:,33.9,34.6
Stuttgart,:,:,:,:,:,:,:,35.6,35.1,34.8,37.1,:,38.3,38.3
Leipzig,:,:,:,:,:,:,:,31.3,32.3,32.9,34.3,:,36.9,36.4
Dresden,:,:,:,:,:,:,:,33,32.9,33.9,33.4,:,35.3,36.4
Düsseldorf,:,:,:,:,:,:,:,32.8,32.6,33.6,34.4,:,36.2,37.5
Bremen,:,:,:,:,:,:,:,24.1,24.8,25.1,26.1,:,30.6,29.8
Hannover,:,:,:,:,:,:,:,28.5,29.1,30.6,30.3,:,32.4,33.2
Nürnberg,:,:,:,:,:,:,:,31.6,32,32.5,32.5,:,34.5,35.1
Bielefeld,:,:,:,:,:,:,:,28.4,27.9,28.6,28.9,:,31.6,32
Halle an der Saale,:,:,:,:,:,:,:,27.2,26.2,24.9,25.8,:,32.5,33.9
Magdeburg,:,:,:,:,:,:,:,25.6,25.5,23.2,25.3,:,27.5,25.1
Wiesbaden,:,:,:,:,:,:,:,37.1,37.3,34.3,35.4,:,38.2,37.9
Göttingen,:,:,:,:,:,:,:,25.3,26.9,28.1,28.8,:,28.7,32.4
