City,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bruxelles / Brussel,:,:,:,30.8,31.4,30.2,31.4,32.8,31.8,32.8,33.4,31.5,30.4,30
Antwerpen,:,:,:,37.1,35.4,37.3,38.9,39.9,41.1,40.7,38.4,36.7,36.1,36.9
Gent,:,:,:,35.7,35,33.8,35.2,32.7,32.1,32.8,34.8,35.6,32.6,32.2
Charleroi,:,:,:,38.9,40.1,38.7,40.1,41.6,40.4,42.3,42.1,40.7,42.2,38.4
Liège,:,:,:,34,36.9,33.5,35.1,35.8,33.6,35.2,35.2,36.8,37,37.4
Namur,:,:,:,:,:,:,:,40.3,36.8,37.3,36.9,37.1,38.1,38.2
Sofia,52.9,54.1,55.8,56,54.6,51.8,50.6,49.6,50.5,49.7,48.5,45.7,45.2,44.9
Plovdiv,55.6,56,56.9,58,57.3,55,54.9,55.1,54.4,52.7,53.8,54,54.7,55.3
Varna,53.9,53.5,54.1,52.6,49.9,47.3,53.9,53.3,49.2,51.4,55.9,60.7,54,49.3
Burgas,48.3,50.1,51.6,52.4,51.9,53.4,51.9,49.2,53,56.3,57.1,56.2,56.1,58.6
Praha,:,:,:,:,66.1,64.8,64.7,63.5,62.7,61.1,61.9,61.4,58.9,59
Brno,:,:,:,:,68,68.1,67.1,66.5,66.3,66.4,66.1,64.9,65.9,66.6
Ostrava,:,:,:,:,74,74.8,72.7,72,71.9,71.9,72.1,72.6,71.3,70.3
Plzen,:,:,:,:,76.2,76.5,73,73.5,73,72.8,72.9,73.6,70.5,71.1
København,38.4,38.8,38.4,36.9,36.5,36.8,36.5,36,35.3,34.7,34.8,34,33.3,33.6
Århus,46.6,46,47.2,42.9,42.2,43.3,43,41.9,42.3,40.5,39,39.5,39.3,37.7
Odense,42,43.3,45.5,45.7,46,45.8,44.5,44,43.8,44.7,44.8,44,43.9,40
Aalborg,44,44.2,45.5,45.9,47,49.1,48.9,46.4,45.5,46.3,46.4,45.4,44.6,45.9
Berlin,:,:,:,:,:,:,:,52.4,51.4,50.6,50,:,44.2,44.8
Hamburg,:,:,:,:,:,:,:,56.1,55.3,54.7,54.1,:,48.9,49
München,:,:,:,:,:,:,:,45.4,44.9,43.9,43.6,:,38.9,39
Köln,:,:,:,:,:,:,:,49.7,49.5,50.1,49.7,:,43.6,42.5
Frankfurt am Main,:,:,:,:,:,:,:,50.1,48.8,49.3,48.1,:,45.3,43.3
Stuttgart,:,:,:,:,:,:,:,49.7,50.9,50.8,48.7,:,43.6,43.7
Leipzig,:,:,:,:,:,:,:,63.6,62,60.9,59.4,:,55.9,56.4
Dresden,:,:,:,:,:,:,:,62.5,62.2,61.2,61.8,:,59.8,58.9
Düsseldorf,:,:,:,:,:,:,:,50.9,50.5,50.9,50.8,:,46.4,45.5
Bremen,:,:,:,:,:,:,:,60.5,60,59.4,57.8,:,48.7,49.3
Hannover,:,:,:,:,:,:,:,56.4,55.5,54.4,54.6,:,48.5,46.6
Nürnberg,:,:,:,:,:,:,:,53.8,53,52.7,53.1,:,49.9,48.4
Bielefeld,:,:,:,:,:,:,:,51.7,53.5,53.5,54.1,:,48.3,45.4
Halle an der Saale,:,:,:,:,:,:,:,64.8,63.9,65.3,64.6,:,60.1,58.7
Magdeburg,:,:,:,:,:,:,:,67.8,67,69.7,66.9,:,64.7,65.4
Wiesbaden,:,:,:,:,:,:,:,49.4,48.5,49.3,48.9,:,41.7,44.4
Göttingen,:,:,:,:,:,:,:,59.2,58.2,58.4,59.4,:,54.9,53.6
Darmstadt,:,:,:,:,:,:,:,49.4,49.7,48.3,48.9,:,44.9,44.4
Freiburg im Breisgau,:,:,:,:,:,:,:,55.8,54.5,53,51.9,:,44.7,44.6
Regensburg,:,:,:,:,:,:,:,58.6,59.7,61.1,58.7,:,53.8,48.7
Schwerin,:,:,:,:,:,:,:,66.2,65.6,65.2,64.6,:,61.6,64.6
Erfurt,:,:,:,:,:,:,:,63.9,64.8,64.3,63.3,:,61.9,59.6
Augsburg,:,:,:,:,:,:,:,59.6,58.1,57.9,58.4,:,51.7,54.5
Bonn,:,:,:,:,:,:,:,51.7,51.7,51.7,50.5,:,42.8,42.1
Karlsruhe,:,:,:,:,:,:,:,51.2,52.9,52.1,49.9,:,46.9,44.5
Mönchengladbach,:,:,:,:,:,:,:,55.6,54.7,55.9,55.2,:,48.8,51.6
Mainz,:,:,:,:,:,:,:,49,49.1,48.8,45.6,:,43.2,39.7
Ruhrgebiet,:,:,:,:,:,:,:,56.9,58,57.4,57.3,:,50.4,51
Kiel,:,:,:,:,:,:,:,58.8,57.4,56.4,56.9,:,54.3,49.7
Saarbrücken,:,:,:,:,:,:,:,61.3,62.3,60.5,59.2,:,53.3,53
Koblenz,:,:,:,:,:,:,:,56.5,53.8,55.1,53.5,:,51,47.8
Rostock,:,:,:,:,:,:,:,60.8,62.1,62.3,64.2,:,60.9,63
Kaiserslautern,:,:,:,:,:,:,:,58.1,62.1,58.1,57.9,:,53.4,46.8
Iserlohn,:,:,:,:,:,:,:,59.7,60.8,59.4,57.6,:,51.8,52.7
Flensburg,:,:,:,:,:,:,:,67.3,67.3,65.4,67.2,:,60.8,57.5
Konstanz,:,:,:,:,:,:,:,53.9,51.8,54.1,52.3,:,47.5,48.4
Gießen,:,:,:,:,:,:,:,52.4,51.8,53,51.9,:,46.8,46.2
Bayreuth,:,:,:,:,:,:,:,65,64.9,65.6,62.9,:,53.1,54.9
Aschaffenburg,:,:,:,:,:,:,:,57.8,59.2,59.9,58,:,54.3,50.4
Neubrandenburg,:,:,:,:,:,:,:,68.4,66.6,68.8,66,:,64.4,64.7
Rosenheim,:,:,:,:,:,:,:,60.8,62.4,59.5,59,:,55.3,55.7
Offenburg,:,:,:,:,:,:,:,61.3,61,60.7,59.8,:,57.1,53.5
Görlitz,:,:,:,:,:,:,:,:,:,:,:,:,70.3,70.4
Schweinfurt,:,:,:,:,:,:,:,64.1,63.1,66,64.9,:,59.7,53.9
Wetzlar,:,:,:,:,:,:,:,62.7,59.1,56.4,56.1,:,49.6,54.4
Braunschweig-Salzgitter-Wolfsburg,:,:,:,:,:,:,:,60.5,58.4,57.2,55.7,:,48.9,47.3
Mannheim-Ludwigshafen,:,:,:,:,:,:,:,53,53.4,53.5,53.4,:,48.5,47.1
Münster,:,:,:,:,:,:,:,48.7,50.8,50.6,50.5,:,45.4,44.3
Aachen,:,:,:,:,:,:,:,50.9,52.1,51,50.7,:,44.3,44.5
Lübeck,:,:,:,:,:,:,:,60.8,63,64.2,63.6,:,58.2,57.9
Kassel,:,:,:,:,:,:,:,59.4,57.6,56.6,56.7,:,52.6,50.2
Osnabrück,:,:,:,:,:,:,:,62.7,62.3,61.7,60.2,:,47.3,49.4
Oldenburg (Oldenburg),:,:,:,:,:,:,:,62.3,62.1,59.5,59,:,48.3,42.3
Heidelberg,:,:,:,:,:,:,:,51.1,50.1,52.1,50.4,:,46,41.2
Paderborn,:,:,:,:,:,:,:,58.5,59.8,55.7,55,:,52.7,51.8
Würzburg,:,:,:,:,:,:,:,57,57.4,57,56.5,:,52.2,49.4
Bremerhaven,:,:,:,:,:,:,:,62.3,62.6,62.1,63.8,:,53.9,52
Heilbronn,:,:,:,:,:,:,:,56.9,58.7,58.1,58.7,:,52.5,45.2
Ulm,:,:,:,:,:,:,:,56.7,56.7,54.5,52.9,:,49.2,49.4
Pforzheim,:,:,:,:,:,:,:,56.3,56.7,56.5,55.6,:,54.6,52.5
Ingolstadt,:,:,:,:,:,:,:,59.8,59,56.9,56.1,:,48.4,49.4
Reutlingen,:,:,:,:,:,:,:,55.7,56,55.7,53.2,:,51.6,49.4
Siegen,:,:,:,:,:,:,:,60.9,61.5,62,60.5,:,55.8,52.9
Hildesheim,:,:,:,:,:,:,:,61.2,61.3,61,57.3,:,52.9,54
Zwickau,:,:,:,:,:,:,:,:,:,:,:,:,74,69.8
Wuppertal,:,:,:,:,:,:,:,51.5,51,52.6,50.4,:,44.3,47.1
Düren,:,:,:,:,:,:,:,59.5,60.1,59.9,59.7,:,51.8,55.2
Bocholt,:,:,:,:,:,:,:,63.5,64,64.5,63.8,:,59.1,55.3
Tallinn,47.3,48.3,46.8,47,46.1,44.1,45.6,46,44.2,43.2,44.4,44.2,42.7,42.7
Dublin,:,:,:,31,31.7,32.9,32.7,32.3,31.8,31.6,32.3,31.1,31.1,30.8
Cork,:,:,:,36,35.9,38.7,37.8,38,37.7,37.6,36.9,37,36.2,36.2
Athina,:,44.2,43.6,44,44.1,43.6,45,44,44.4,43.5,44.7,:,43.6,43.8
Thessaloniki,38.2,39.4,40.6,39.7,40.5,39.6,39.6,40.5,42.1,41.1,47.1,:,47.7,47.6
Madrid,:,26.3,25.7,24.8,24.5,24.9,24.6,24.5,25.9,25.1,25,25.7,24.5,25.5
Barcelona,:,21.3,22.4,21.6,20.4,20,20.9,21.4,21.1,21.2,20.3,20.7,21.4,21.6
Valencia,:,22.8,22.3,22,21.3,23.3,23.9,23.9,23.4,22.9,22.5,22.8,22.9,20.7
Sevilla,:,18.8,19.3,18.6,18.2,19.4,20.2,19.3,19.1,20,20.1,19.7,21.8,20.9
Zaragoza,:,26.4,25.2,24.8,25.2,25.1,25.2,27.4,27.5,26.1,26.3,27.2,28.2,23.6
Málaga - Marbella,:,20.2,20.3,20.1,22.4,22.8,21.5,21.9,22,21.3,23.1,22.4,24.3,25.2
Murcia - Cartagena,:,20.2,21.4,20.6,19.7,21.7,21.5,21.7,21.8,21.9,20.9,21.2,21.5,21.7
Las Palmas,:,24,23.4,22.9,22.9,22.5,24.3,24,23.7,24.1,23.9,25.7,23.8,25.2
Valladolid,:,19.7,21.2,22.4,22.7,23,22.6,23.3,24,23.9,23.1,22.1,25.7,24.8
Palma de Mallorca,:,26.9,26.6,28,26.9,25.5,27.6,28.3,26.8,27.9,26.8,27.5,28,27.2
Vitoria/Gasteiz,:,23.4,19.6,19.4,20.9,22.2,23.8,22.1,23,24.1,22.5,21.8,22.5,22.5
Oviedo - Gijón,:,21.5,20.6,21.8,22.2,22.3,23.6,23.6,23.5,23.7,23.6,24.8,24.7,24.9
Pamplona/Iruña,:,23.9,22,22.1,23.9,22.5,22.9,23.4,22.4,23.3,23.7,22.9,22.8,23.5
Santander,:,23.2,23.5,25.6,26,26.5,24.3,24.4,25.3,28.1,26.7,25.2,25,24.7
Bilbao,:,23.3,23.1,22.7,21.5,22.1,21.4,21,20.9,21.8,21,23.1,21,21.4
Córdoba,:,17.4,19.3,20.5,19.8,18.6,19.1,17.1,16.4,19.1,18.8,18.2,20,19.6
Alicante/Alacant - Elche/Elx,:,20.7,21.1,21.8,21.9,23.3,24,23.6,24.9,24.1,23.5,26,24,22.7
Vigo,:,18,19.7,19.9,17.8,19,19.7,20.8,20.7,20.9,23,22.2,20.5,20.9
Santa Cruz de Tenerife,:,23.1,23.8,23,22.1,22.3,23.8,25,26.8,25.7,25.2,26.6,27.5,27.6
A Coruña,:,19.3,20.2,20,19.3,19.6,20.6,21,20.6,22.7,22.6,21.9,22.3,22
Granada,:,18,18.9,21.1,20.2,20,19.5,19.6,20.5,21.2,20.2,21.5,20.2,20.7
Guipúzcoa,:,21,22.4,21.8,21.1,19.9,22.6,23.2,21.8,21.8,21.4,20,20,20.8
Cádiz,:,17.9,19.3,18.6,17.1,17.9,20.5,20.6,20.5,22.9,21.9,22.6,21,21.2
Paris,:,33.6,33.5,33.3,33.2,33.1,32.9,32.7,32.3,:,:,:,28.5,28.4
Lyon,:,:,:,:,:,36.6,36.4,36.2,35.9,:,:,:,35,32.6
Toulouse,:,:,:,:,:,38.1,37.8,37.4,37.1,:,:,:,35.7,36.9
Strasbourg,:,:,:,:,:,46.1,45.9,45.7,45.5,:,:,:,45.5,42.5
Bordeaux,:,:,:,:,:,44.1,44,43.7,43.3,:,:,:,41.3,39.7
Nantes,:,:,:,:,:,46.6,46.1,45.8,45.3,:,:,:,41.7,41.1
Lille - Dunkerque - Valenciennes,:,:,:,:,:,42.7,43,43.2,43.4,:,:,:,42.9,43.8
Montpellier,:,:,:,:,:,41.5,41.5,41.6,41.5,:,:,:,37.1,34.5
Saint-Etienne,:,:,:,:,:,48,48.3,48.5,48.8,:,:,:,46.3,47.2
Rennes,:,:,:,:,:,45.4,45.3,45.3,44.9,:,:,:,41.8,41.2
Amiens,:,:,:,:,:,44.3,44.9,45.5,46.1,:,:,:,35.6,41.7
Rouen,:,:,:,:,:,46.6,47.1,47.4,47.7,:,:,:,48.7,46.7
Nancy,:,:,:,:,:,46.5,46.7,46.9,47,:,:,:,44.2,45.3
Reims,:,:,:,:,:,45.2,45.6,46.2,46.4,:,:,:,45.7,49.9
Orléans,:,:,:,:,:,45.8,45.9,46.1,46,:,:,:,51,49.9
Dijon,:,:,:,:,:,46,46.2,46.2,46.1,:,:,:,42,46.3
Poitiers,:,:,:,:,:,47.7,48.1,48.4,48.7,:,:,:,43.3,43.9
Clermont-Ferrand,:,:,:,:,:,46.6,46.8,46.8,47,:,:,:,52.2,49.5
Caen,:,:,:,:,:,45.8,46.2,46.5,47.1,:,:,:,40,44.2
Limoges,:,:,:,:,:,47.3,47.6,47.8,48,:,:,:,42.9,43.7
Besançon,:,:,:,:,:,45.6,45.8,45.9,46.3,:,:,:,49.2,47.5
Grenoble,:,:,:,:,:,41.7,41.8,41.9,41.9,:,:,:,39,41.3
Fort-de-France,:,:,:,:,:,40.3,41.3,42.3,43.1,:,:,:,41.4,41.7
