City,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bruxelles / Brussel,:,:,:,73.6,74.1,73.9,75.4,77.6,80.1,80.4,80.4,81.4,82.7,82.3
Antwerpen,:,:,:,74.3,73.3,78.2,77.7,74.7,78,80.1,77.7,77.5,79.8,84.3
Gent,:,:,:,74.4,75.2,74.7,76.8,77.8,79,81.5,81.6,84.4,89.4,88.4
Charleroi,:,:,:,61.1,64.1,63,63,67.3,68.3,69.3,69.3,67,68.2,69.4
Liège,:,:,:,66.4,68.1,66.7,68.9,69,69.8,71.3,72.8,77.1,79.6,79.5
Namur,:,:,:,:,:,:,:,78.7,80.8,81.3,79.5,82,84.4,83.5
Sofia,91.6,92.3,92.5,93,94,93.7,93.8,93.7,94.3,94.2,93.7,94.3,94,93.9
Plovdiv,76.2,78.6,80.3,80.6,80.7,80.1,80.3,80.3,81.2,79.7,79.8,80.3,80.8,82.2
Varna,79.4,79.3,79.9,78.6,81.4,81.2,84.5,83.2,81.7,80.9,81.2,85.6,84.2,83.8
Burgas,62.7,65.4,69.2,71,72,72.2,71.2,72.2,77.8,79.9,79.6,80.4,80.5,80.9
Praha,:,:,:,:,95.3,95.7,95.6,95.8,96.4,96.1,96.2,96.4,96.6,96.5
Brno,:,:,:,:,94.1,94.1,94.6,95.8,94.7,94.8,94.9,95.2,95.8,96.1
Ostrava,:,:,:,:,91.6,91.5,91.5,91.8,93.5,93,92.5,93.7,93.8,92.6
Plzen,:,:,:,:,94,93.9,92.1,93.2,93.8,93.5,93.1,93.2,91.9,93.3
København,79.2,80.7,82.7,82.2,82.7,83.5,83.6,84.6,84.7,85.1,86.1,85.9,86.6,86
Århus,71.3,69.9,69.4,77.9,79,80.2,81.8,83.2,83.9,82.7,82.9,82.6,84.3,84.5
Odense,70.2,73.6,75.7,76.9,76.9,77.2,77.9,78,80.1,79.8,80,80.4,80.7,77.6
Aalborg,73.9,72.6,73.7,75,74.4,76.1,77.8,77.2,77,78.4,78,77.5,79.6,80.7
Berlin,:,:,:,:,:,:,:,88.5,88.1,88.9,89.2,:,86.9,88.6
Hamburg,:,:,:,:,:,:,:,87.4,86.2,86.3,86,:,85.2,82.6
München,:,:,:,:,:,:,:,90,90.9,90.4,89.9,:,87.4,87.1
Köln,:,:,:,:,:,:,:,82,82.4,83,83.3,:,80.5,79.4
