"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AT001","Vienna","PCT","PCT patent applications","2000","2000","NBR","Number","0","units",,,219.1,,
"AT001","Vienna","PCT","PCT patent applications","2001","2001","NBR","Number","0","units",,,237.22,,
"AT001","Vienna","PCT","PCT patent applications","2002","2002","NBR","Number","0","units",,,261.88,,
"AT001","Vienna","PCT","PCT patent applications","2003","2003","NBR","Number","0","units",,,288.52,,
"AT001","Vienna","PCT","PCT patent applications","2004","2004","NBR","Number","0","units",,,337.74,,
"AT001","Vienna","PCT","PCT patent applications","2005","2005","NBR","Number","0","units",,,334.99,,
"AT001","Vienna","PCT","PCT patent applications","2006","2006","NBR","Number","0","units",,,430.03,,
"AT001","Vienna","PCT","PCT patent applications","2007","2007","NBR","Number","0","units",,,387.17,,
"AT001","Vienna","PCT","PCT patent applications","2008","2008","NBR","Number","0","units",,,346.69,,
"AT001","Vienna","PCT","PCT patent applications","2009","2009","NBR","Number","0","units",,,,,
"AT001","Vienna","PCT","PCT patent applications","2010","2010","NBR","Number","0","units",,,,,
"AT001","Vienna","PCT","PCT patent applications","2011","2011","NBR","Number","0","units",,,,,
"AT001","Vienna","PCT","PCT patent applications","2012","2012","NBR","Number","0","units",,,,,
"AT001","Vienna","PCT_GROWTH","PCT patent applications annual average growth","2008","2008","GRWH","Growth rate","0","units",,,5.904,,
"AT001","Vienna","PCT_INTENSITY","PCT patents applications per 10,000 inhabitants","2000","2000","RATIO","Ratio","0","units",,,0.9,,
"AT001","Vienna","PCT_INTENSITY","PCT patents applications per 10,000 inhabitants","2001","2001","RATIO","Ratio","0","units",,,0.97,,
"AT001","Vienna","PCT_INTENSITY","PCT patents applications per 10,000 inhabitants","2002","2002","RATIO","Ratio","0","units",,,1.06,,
"AT001","Vienna","PCT_INTENSITY","PCT patents applications per 10,000 inhabitants","2003","2003","RATIO","Ratio","0","units",,,1.15,,
"AT001","Vienna","PCT_INTENSITY","PCT patents applications per 10,000 inhabitants","2004","2004","RATIO","Ratio","0","units",,,1.34,,
"AT001","Vienna","PCT_INTENSITY","PCT patents applications per 10,000 inhabitants","2005","2005","RATIO","Ratio","0","units",,,1.31,,
"AT001","Vienna","PCT_INTENSITY","PCT patents applications per 10,000 inhabitants","2006","2006","RATIO","Ratio","0","units",,,1.67,,
"AT001","Vienna","PCT_INTENSITY","PCT patents applications per 10,000 inhabitants","2007","2007","RATIO","Ratio","0","units",,,1.49,,
"AT001","Vienna","PCT_INTENSITY","PCT patents applications per 10,000 inhabitants","2008","2008","RATIO","Ratio","0","units",,,1.32,,
"AT001","Vienna","PCT_INTENSITY","PCT patents applications per 10,000 inhabitants","2009","2009","RATIO","Ratio","0","units",,,,,
"AT001","Vienna","PCT_INTENSITY","PCT patents applications per 10,000 inhabitants","2010","2010","RATIO","Ratio","0","units",,,,,
"AT001","Vienna","PCT_INTENSITY","PCT patents applications per 10,000 inhabitants","2011","2011","RATIO","Ratio","0","units",,,,,
"AT001","Vienna","PCT_INTENSITY","PCT patents applications per 10,000 inhabitants","2012","2012","RATIO","Ratio","0","units",,,,,
"AT001","Vienna","PCT_SHARE","PCT patent applications of the metropolitan area as % of national value","2000","2000","PC","Percentage","0","units",,,28.27,,
"AT001","Vienna","PCT_SHARE","PCT patent applications of the metropolitan area as % of national value","2001","2001","PC","Percentage","0","units",,,33.17,,
"AT001","Vienna","PCT_SHARE","PCT patent applications of the metropolitan area as % of national value","2002","2002","PC","Percentage","0","units",,,30.26,,
"AT001","Vienna","PCT_SHARE","PCT patent applications of the metropolitan area as % of national value","2003","2003","PC","Percentage","0","units",,,30.63,,
"AT001","Vienna","PCT_SHARE","PCT patent applications of the metropolitan area as % of national value","2004","2004","PC","Percentage","0","units",,,31.37,,
"AT001","Vienna","PCT_SHARE","PCT patent applications of the metropolitan area as % of national value","2005","2005","PC","Percentage","0","units",,,28.7,,
"AT001","Vienna","PCT_SHARE","PCT patent applications of the metropolitan area as % of national value","2006","2006","PC","Percentage","0","units",,,32.84,,
"AT001","Vienna","PCT_SHARE","PCT patent applications of the metropolitan area as % of national value","2007","2007","PC","Percentage","0","units",,,29.3,,
"AT001","Vienna","PCT_SHARE","PCT patent applications of the metropolitan area as % of national value","2008","2008","PC","Percentage","0","units",,,29.2,,
"AT001","Vienna","PCT_SHARE","PCT patent applications of the metropolitan area as % of national value","2009","2009","PC","Percentage","0","units",,,,,
"AT001","Vienna","PCT_SHARE","PCT patent applications of the metropolitan area as % of national value","2010","2010","PC","Percentage","0","units",,,,,
"AT001","Vienna","PCT_SHARE","PCT patent applications of the metropolitan area as % of national value","2011","2011","PC","Percentage","0","units",,,,,
"AT001","Vienna","PCT_SHARE","PCT patent applications of the metropolitan area as % of national value","2012","2012","PC","Percentage","0","units",,,,,
"AT002","Graz","PCT","PCT patent applications","2000","2000","NBR","Number","0","units",,,84.83,,
"AT002","Graz","PCT","PCT patent applications","2001","2001","NBR","Number","0","units",,,89.4,,
"AT002","Graz","PCT","PCT patent applications","2002","2002","NBR","Number","0","units",,,115.98,,
"AT002","Graz","PCT","PCT patent applications","2003","2003","NBR","Number","0","units",,,136.15,,
"AT002","Graz","PCT","PCT patent applications","2004","2004","NBR","Number","0","units",,,153.04,,
"AT002","Graz","PCT","PCT patent applications","2005","2005","NBR","Number","0","units",,,150.78,,
"AT002","Graz","PCT","PCT patent applications","2006","2006","NBR","Number","0","units",,,178.53,,
"AT002","Graz","PCT","PCT patent applications","2007","2007","NBR","Number","0","units",,,149.44,,
"AT002","Graz","PCT","PCT patent applications","2008","2008","NBR","Number","0","units",,,155.94,,
"AT002","Graz","PCT","PCT patent applications","2009","2009","NBR","Number","0","units",,,,,
"AT002","Graz","PCT","PCT patent applications","2010","2010","NBR","Number","0","units",,,,,
"AT002","Graz","PCT","PCT patent applications","2011","2011","NBR","Number","0","units",,,,,
"AT002","Graz","PCT","PCT patent applications","2012","2012","NBR","Number","0","units",,,,,
"AT002","Graz","PCT_GROWTH","PCT patent applications annual average growth","2008","2008","GRWH","Growth rate","0","units",,,7.907,,
"AT002","Graz","PCT_INTENSITY","PCT patents applications per 10,000 inhabitants","2000","2000","RATIO","Ratio","0","units",,,1.53,,
"AT002","Graz","PCT_INTENSITY","PCT patents applications per 10,000 inhabitants","2001","2001","RATIO","Ratio","0","units",,,1.6,,
