ClusterID	AllPeople	d_Work	AgricultHF	Manufact	Construct	HotelRest	FinanceInt	RealEstate	Admin	Education	Income	NetIncome	NIncBH	NIncAH	Households	CarsVans	Dwellings	OccuDwell	UnDwell	UnSecDwell	Employed	Managers	Profess	technical	Admin2	SkillTrd	Service	Sales	plant	Basic	Coach	Train	Patents	Morphology
0	16249	62.54	142	462	414	607	101	641	305	480	2686620	2297130	2238050	1990940	7712	6056	8021	7714	307	118	5936	766	461	693	582	883	533	638	388	992	2	1	8	4
1	27002	88.92	148	1675	741	1112	229	954	598	798	4517730	3899870	3646420	3255020	11838	11776	12395	11838	557	283	10879	1469	837	1331	1131	1752	810	1030	857	1662	2	4	21	5
2	6661	12.25	37	416	270	166	40	219	175	178	1058570	886910	829690	743860	2861	2880	2998	2861	137	13	2735	248	119	270	289	464	246	275	313	511	0	0	2	1
3	18163	52.09	90	473	537	454	198	840	643	669	3530660	2944430	2838480	2482030	8139	8175	8411	8134	277	41	7711	1037	994	1140	991	851	548	774	361	1015	2	1	18	4
4	312.102569	0.377035	0.711866	12.381391	6.864426	12.966138	1.932209	11.796643	19.754293	8.237311	54720.15322	44460.12449	49590.13885	39330.11012	171.000479	89.669743	189.737819	171.000479	18.737341	3.07628	121.576612	15.559366	11.262743	20.33904	11.110201	13.042409	7.42375	14.18648	8.16104	20.491583	2	0	0.3	1
5	254.54777	0.307506	0.580591	10.09814	5.598558	10.575054	1.57589	9.621226	16.111406	6.71827	44629.21613	36261.2381	40445.22712	32077.24909	139.4663	73.133756	154.74829	139.4663	15.28199	2.508983	99.156683	12.690065	9.185782	16.58832	9.06137	10.63726	6.054737	11.570353	6.656063	16.712732	2	0	0.24	1
6	15762	35.66	90	885	540	404	129	576	482	432	2671530	2222210	2112330	1861570	6725	7388	6859	6727	132	19	6786	682	413	656	944	1024	546	636	882	1003	3	1	16	3
7	3867	13.48	24	190	107	114	40	109	220	110	636120	535680	518940	451980	1674	1421	1727	1674	53	10	1587	166	82	208	166	256	125	166	140	278	0	0	0	1000
8	12056	56.13	55	865	355	213	202	545	642	580	2620590	2079450	1784130	1575920	4535	6329	4632	4536	96	16	6104	892	653	1008	789	666	492	571	446	587	1	0	1	3
9	17457	30.69	68	1050	494	628	117	518	286	418	3105720	2632740	2491210	2286070	7883	8096	8381	7883	498	316	6710	994	477	830	648	1083	610	572	673	823	1	0	7	2
