"New York--Newark, NY--NJ--CT","17,799,861 ","44,675 "
"Los Angeles--Long Beach--Santa Ana, CA","11,789,487 ","25,207 "
"Chicago, IL--IN","8,307,904 ","31,162 "
"Philadelphia, PA--NJ--DE--MD","5,149,079 ","20,377 "
"Miami, FL","4,919,036 ","15,569 "
"Dallas--Fort Worth--Arlington, TX","4,145,659 ","22,223 "
"Boston, MA--NH--RI","4,032,484 ","17,578 "
"Washington, DC--VA--MD","3,933,920 ","12,620 "
"Detroit, MI","3,903,377 ","15,342 "
"Houston, TX","3,822,509 ","17,256 "
"Atlanta, GA","3,499,840 ","25,046 "
"San Francisco--Oakland, CA","2,995,769 ","7,688 "
"Phoenix--Mesa, AZ","2,907,049 ","11,929 "
"Seattle, WA","2,712,205 ","11,719 "
"San Diego, CA","2,674,436 ","5,964 "
"Minneapolis--St. Paul, MN--WI","2,650,890 ","13,389 "
"San Juan, PR","2,216,616 ","7,714 "
"St. Louis, MO--IL","2,077,662 ","11,892 "
"Baltimore, MD","2,076,354 ","7,558 "
"Tampa--St. Petersburg, FL","2,062,339 ","9,695 "
"Denver--Aurora, CO","1,984,887 ","8,505 "
"Cleveland, OH","1,786,647 ","7,389 "
"Pittsburgh, PA","1,753,136 ","9,478 "
"Portland, OR--WA","1,583,138 ","7,202 "
"San Jose, CA","1,538,312 ","3,869 "
"Riverside--San Bernardino, CA","1,506,816 ","5,286 "
"Cincinnati, OH--KY--IN","1,503,262 ","7,106 "
"Virginia Beach, VA","1,394,439 ","6,761 "
"Sacramento, CA","1,393,498 ","5,245 "
"Kansas City, MO--KS","1,361,744 ","9,836 "
"San Antonio, TX","1,327,554 ","6,436 "
"Las Vegas, NV","1,314,357 ","4,623 "
"Milwaukee, WI","1,308,913 ","6,532 "
"Indianapolis, IN","1,218,919 ","7,348 "
"Providence, RI--MA","1,174,548 ","6,093 "
"Orlando, FL","1,157,431 ","5,664 "
"Columbus, OH","1,133,193 ","5,851 "
"New Orleans, LA","1,009,283 ","3,350 "
"Buffalo, NY","976,703 ","4,378 "
"Memphis, TN--MS--AR","972,091 ","5,063 "
"Austin, TX","901,920 ","5,236 "
"Bridgeport--Stamford, CT--NY","888,890 ","3,961 "
"Salt Lake City, UT","887,650 ","3,664 "
"Jacksonville, FL","882,295 ","5,489 "
"Louisville, KY--IN","863,582 ","4,708 "
"Hartford, CT","851,535 ","4,131 "
"Richmond, VA","818,836 ","5,052 "
"Charlotte, NC--SC","758,927 ","4,695 "
"Nashville-Davidson, TN","749,935 ","5,705 "
"Oklahoma City, OK","747,003 ","5,254 "
"Tucson, AZ","720,425 ","4,104 "
"Honolulu, HI","718,182 ","1,138 "
"Dayton, OH","703,444 ","3,988 "
"Rochester, NY","694,396 ","3,236 "
