"GCT-PEPANNCHG-Geography-United States: Estimates of Resident Population Change and Rankings: July 1, 2013 to July 1, 2014 - United States -- Metropolitan Statistical Area; and for Puerto Rico",,,,,,,,,,,,
2014 Population Estimates ,,,,,,,,,,,,
Geography,,,Population Estimate (as of July 1),,,,"Change, 2013 to 2014",,Rankings,,,
,,,2013,,,2014,Number,Percent [1],Population Estimate (as of July 1),,"Change, 2013 to 2014",
,,,,,,,,,2013,2014,Number,Percent
United States,,,"316,497,531",,,"318,857,056","2,359,525",0.7,(X),(X),(X),(X)
  In metropolitan statistical area,,,"270,277,514",,,"272,667,942","2,390,428",0.9,(X),(X),(X),(X)
"      Abilene, TX Metro Area",,,"167,452",,,"168,592","1,140",0.7,243,244,199,164
"      Akron, OH Metro Area",,,"703,210",,,"703,825",615,0.1,78,78,236,281
"      Albany, GA Metro Area",,,"155,790",,,"154,925",-865,-0.6,259,261,354,363
"      Albany, OR Metro Area",,,"118,644",,,"119,356",712,0.6,323,323,227,179
"      Albany-Schenectady-Troy, NY Metro Area",,,"878,479",,,"880,167","1,688",0.2,61,61,168,258
"      Albuquerque, NM Metro Area",,,"903,345",,,"904,587","1,242",0.1,59,59,188,266
"      Alexandria, LA Metro Area",,,"154,903",,,"154,872",-31,0.0,261,262,301,301
"      Allentown-Bethlehem-Easton, PA-NJ Metro Area",,,"827,044",,,"829,835","2,791",0.3,68,69,132,234
"      Altoona, PA Metro Area",,,"126,379",,,"125,955",-424,-0.3,311,313,328,339
"      Amarillo, TX Metro Area",,,"258,833",,,"259,885","1,052",0.4,181,182,207,216
"      Ames, IA Metro Area",,,"93,410",,,"94,073",663,0.7,364,364,232,155
"      Anchorage, AK Metro Area",,,"397,521",,,"398,892","1,371",0.3,134,134,184,230
"      Ann Arbor, MI Metro Area",,,"354,418",,,"356,874","2,456",0.7,147,147,140,160
"      Anniston-Oxford-Jacksonville, AL Metro Area",,,"116,547",,,"115,916",-631,-0.5,328,330,338,361
"      Appleton, WI Metro Area",,,"229,869",,,"231,497","1,628",0.7,194,193,170,156
"      Asheville, NC Metro Area",,,"437,661",,,"442,316","4,655",1.1,118,117,96,96
"      Athens-Clarke County, GA Metro Area",,,"197,884",,,"199,016","1,132",0.6,218,219,200,187
"      Atlanta-Sandy Springs-Roswell, GA Metro Area",,,"5,525,432",,,"5,614,323","88,891",1.6,9,9,4,48
"      Atlantic City-Hammonton, NJ Metro Area",,,"276,167",,,"275,209",-958,-0.3,168,170,357,340
"      Auburn-Opelika, AL Metro Area",,,"151,708",,,"154,255","2,547",1.7,267,264,138,43
"      Augusta-Richmond County, GA-SC Metro Area",,,"580,230",,,"583,632","3,402",0.6,92,92,116,182
"      Austin-Round Rock, TX Metro Area",,,"1,885,803",,,"1,943,299","57,496",3.0,35,35,11,3
"      Bakersfield, CA Metro Area",,,"865,923",,,"874,589","8,666",1.0,62,62,59,112
