#Population,observable
18180727,1.38e+07
39422,19596.43
67102,14066.57
154239,35325.52
34686,9713.716
99780,16098.51
689435,99198.36
54185,14377.12
154726,29919.88
105337,42867.63
819105,113372.2
56547,16704.79
31503,13352.25
80524,23588.69
695228,125489.7
145986,48503.32
31274,9570.822
40212,12887.69
718662,147210.2
40027,13542.58
30615,26658.03
129937,25640.18
28392,7420.55
219851,111232.2
35311,14124.26
75373,14482.55
50369,10890.15
13738,12886.55
31742,10389.61
306073,42663.4
116541,31924.83
197509,41656.56
24636,7122.679
44533,22297.95
21403,9131.676
36948,11556.88
349446,86382.03
51973,10703
103344,61796.55
35323,18318.77
16856,6218.724
61599,8704.585
46395,50242.09
70673,21802.56
151936,25653.23
4004165,1095958
239626,26682.02
39683,14099.03
81703,16474.26
102164,18544.4
492382,183887.9
115224,19785.31
37152,16491.06
1146050,158004.8
27128,16898.21
642495,165219.4
2491254,423178.4
144432,35162.6
54282,15892.44
36971,19774.59
212519,71737.46
56289,10493.33
47674,7759.861
31242,18180.28
60469,13083.45
33066,72736.2
678302,588716.1
141380,25212.5
109514,70741.28
37828,20634.8
22710,12320.23
390602,290688.3
83494,18879.46
125732,34247.37
45752,23101.96
27534,10103.59
46816,8387.571
160310,62592.79
39210,13769.08
110810,67803.41
29492,8477.885
35965,6742.593
39369,23026.79
40704,9809.475
33130,46773.68
16716,2550.264
137850,63652.59
247462,39001.04
1043600,659942.1
98253,113840.7
42127,29215.15
63976,56481.48
162153,38723.37
137542,23555.25
81245,151686.4
110475,16710.2
49920,25489.2
43162,32984.25
438706,180451.4
26300,7401.493
41419,5601.375
23711,66222.83
4275469,637824.1
273112,32366.81
128151,35282.95
63881,19009.98
45987,17502.66
79650,22645.34
62996,18518.63
19610,5542.397
236560,21218.48
29091,8194.977
28853,15702.5
841334,97347.86
32105,8302.879
21170,10178.27
25931,11095.64
329131,39171.66
36847,9904.364
91954,39717.05
47010,8730.749
1142121,187544.3
41857,44681.63
50548,19417.91
121100,19470.14
194748,36062.53
33954,6772.634
43711,12895.61
41966,11442.25
88758,16582.58
29709,20017.76
40955,14844.92
33144,23668.01
22942,9389.852
44699,21991.8
38679,27287.39
402460,60626.6
400542,100866.2
88948,39298.89
122201,77381.92
53122,64978.63
50046,5930.47
63157,22836.44
29449,11852.12
230764,78900.49
36627,8650.304
41017,11104.41
41813,12607.43
68621,124830.8
128812,24351.75
200940,53032.18
236174,87009.57
62907,17429.75
552803,166630.2
1629240,363587.4
63247,44792.76
462880,96361.37
78877,65078.55
8827413,1551511
195220,30608.79
75731,16322.42
1976770,698414.1
202150,48413.8
93143,66424.58
31094,13498.13
213945,55390.06
55405,13503.56
39826,23258.92
99220,23240.57
2117837,460038.6
29463,33110.01
49612,20236.88
43570,16392.67
104807,38162.16
36773,27747.82
43825,12193.98
165589,36557.38
521222,64668.65
130179,26445.52
619334,142167.1
278196,51999.03
69714,19581.46
60527,38315.87
30378,13549.19
1625840,219704.6
129931,56336.59
25860,5866.531
89032,22477.37
61670,21468.46
20637,6770.873
33080,19710.55
32530,7013.379
97699,27365.03
410234,184210.7
41872,14933.96
48006,8405.62
77192,16290.31
36204,184539.1
12714,38231.31
36583,15489.84
26477,7377.656
208173,75309.93
45326,10006.8
75661,26859.69
30260,4616.78
98231,47567.86
4892174,651832.8
117142,29854.66
83813,23451.64
49898,17668.26
0,0
135820,44978.92
376486,88670.79
813736,104347.1
28116,10079.26
143460,81160.89
113219,51481.59
33168,13227.67
39651,15424.65
44188,7723.427
474711,173388
24360,17617.78
2026607,269625.8
32265,34350.66
469192,90715.63
4481197,693555.9
22490,11080.32
35734,13826.31
29587,15953.56
126871,39620.56
34958,8313.097
126048,30387.88
52220,19019.84
80732,76003.52
88112,50441.61
267892,161444.8
19734,66342.63
43076,21706.91
84501,14365.44
41148,18349.67
34941,9570.101
395989,294494.9
36725,17570.84
48639,6520.47
33550,9108.377
128541,18285.85
144463,32536.77
34950,8774.569
33786,13648.81
40285,18380.94
145287,49504.43
44967,36587.93
53789,10018.63
133912,35433.93
19799,10802.75
174680,52968.46
28654,10030.96
47319,48966.95
32021,11126.41
91738,13758.92
705146,65126.48
33794,15718.7
56954,41622.82
42128,14711.97
276993,63284.14
38848,13865.94
38180,25323.4
314901,71444.06
121358,29492.46
20288,29309.7
291181,308674.8
16762,5059.633
55939,18975.09
23405,11382.46
170122,56969.77
54988,13101.86
55790,13442.03
109899,120676.9
314974,54690.09
318488,95105.95
55583,29111.99
31459,19823.06
69401,15125.58
17474,3458.633
114498,153105.4
437349,61925.62
191717,62441.61
136879,129308.7
94795,19722.26
61507,26297.62
27766,12759.44
236849,35933.56
38832,11724.38
38230,11112.63
66641,45928.51
25393,38294.28
51567,7928.756
242317,65314.29
374092,73394.02
32964,11168.72
65395,18372.02
20396,6129.888
48778,14288.07
35201,15984.9
61810,25858.03
763069,119896.4
103472,20461.38
50074,13154.42
212540,36404.94
123290,29022.89
33391,10440.12
55373,14230.2
66923,47451.03
41546,56237.81
37602,8881.249
54934,24205.63
87697,14450.96
32727,41596.57
46951,16093.03
121582,28050.68
54003,18888.9
52851,7171.536
111711,27738
95461,56967.61
75922,33802.97
115147,29569.39
896703,238935.3
26894,15925.56
74919,18822.95
28658,10895.75
78282,17407.93
165805,80057.05
270870,57425.76
60900,15898.65
70806,17971.05
605077,148575.2
25704,11624.65
64265,85016.03
127960,21432.06
54063,14013.55
693215,154515.9
46783,15845.63
88398,17937.34
22450,12305.22
353205,198461.6
18329,43369.54
200637,65113.75
22030,30290.72
98285,18526.23
123241,29528.76
36888,26973.11
500519,89554.84
40072,11242.52
1113800,136719.1
29289,10625.34
125093,49973.23
26338,7256.815
13767,4842.982
64442,40742.55
27049,16826.82
42496,10049.19
18800,20926.45
77316,67536.86
325821,86863.15
47042,14007.72
0,0
130205,24872.81
68403,15125.86
55067,121454.8
103406,28605.35
116111,164580.3
19917,7665.586
84475,75102.71
37590,20914.06
194591,63476.41
4517584,1132103
63002,11379.82
44753,9098.177
37377,13612.86
359623,311047
343418,58838.33
67701,15246.15
16637,9908.949
63702,22093.76
34552,11826.91
104497,60276.71
87831,254569.4
1587445,364901
33257,10044.15
67126,12182.45
124960,40933.86
32080,9247.724
97656,16991.16
157271,25507.88
512122,127424.8
32660,4908.49
115688,34542.18
20240,12534.29
1077513,323272.6
40772,37552.65
142480,18887.1
43653,16876.81
21090,15860.42
137431,47191.82
151121,32681.93
53114,102564.6
39057,11584.54
133253,69592.41
25610,8590.729
173423,29604.6
153766,26338.44
102260,25395.1
149981,42155.5
24911,6602.572
0,0
305784,56789.74
72773,25203.7
102720,22458.8
1790182,495532
0,0
47110,22573.59
72401,10841.61
43241,14184.09
32526,10971.72
184626,34874.82
43234,8618.696
0,0
79941,44659.02
33580,13537.55
314016,46305.77
222846,194800.5
167293,28761.28
30116,25950.77
58842,19414.07
28615,7669.322
63435,37846.27
733686,363740
83736,18395.95
53680,12277.2
121927,26345.19
418678,117227.2
172255,77227.74
24807,14293.29
58801,31598.32
189576,236429
53738,17814.67
134222,35739.53
457347,134710.7
14442,8031.833
460035,93028.88
450789,90402.7
29060,27796.24
193180,27722.93
170361,44162.74
28488,12368.78
1217155,240447.5
81164,60249.85
35882,12734.11
98343,24261.29
39626,11834.57
113230,33885.32
31419,11764.7
117856,25135.23
23374,14984.91
40546,9650.552
26423,10162.85
58119,21196.9
101337,14730.46
46793,9334.516
25533,19899.22
387927,120692.9
20115,14453.18
106898,42439.48
31733,14218.99
254092,64032.03
584736,113419.2
36774,24634.36
98678,27256.32
40183,4472.778
38964,23664.92
120121,26083.96
195515,204364.7
91949,42284.41
18281,1747.926
12090937,944060.8
1098024,458328.1
241603,53928.3
27966,8432.246
77587,26552.07
116597,51051.37
101205,42111.31
35228,13218.58
219392,211773.9
116760,28478.55
31813,96577.52
536906,151330.8
46155,13754.57
24686,18404.08
48511,8565.14
