city,population,cases
Abadia de Goiás/GO,9158.0,1919
Abadia dos Dourados/MG,7022.0,582
Abadiânia/GO,20873.0,546
Abaetetuba/PA,160439.0,9444
Abaeté/MG,23263.0,1665
Abaiara/CE,11965.0,631
Abaré/BA,20594.0,1038
Abatiá/PR,7360.0,1121
Abaíra/BA,8681.0,299
Abdon Batista/SC,2534.0,408
Abel Figueiredo/PA,7536.0,1075
Abelardo Luz/SC,18015.0,1923
Abre Campo/MG,13434.0,1281
Abreu e Lima/PE,100698.0,3494
Abreulândia/TO,2609.0,321
Acaiaca/MG,3995.0,234
Acajutiba/BA,15214.0,574
Acarape/CE,15140.0,2830
Acaraú/CE,63556.0,5262
Acari/RN,11106.0,1121
Acará/PA,55744.0,1782
Acauã/PI,7119.0,213
Aceguá/RS,4981.0,380
Acopiara/CE,54687.0,4080
Acorizal/MT,5309.0,803
Acrelândia/AC,15721.0,1796
Acreúna/GO,22710.0,2679
Adamantina/SP,35153.0,3905
Adelândia/GO,2515.0,233
Adolfo/SP,3545.0,622
Adrianópolis/PR,5797.0,1413
Adustina/BA,17209.0,1091
Afogados da Ingazeira/PE,37546.0,5236
Afonso Bezerra/RN,11024.0,799
Afonso Cláudio/ES,30326.0,3757
Afonso Cunha/MA,6631.0,267
Afrânio/PE,19981.0,970
Afuá/PA,39910.0,3094
Agrestina/PE,25240.0,1761
Agricolândia/PI,5123.0,598
Agrolândia/SC,11160.0,1728
Agronômica/SC,5570.0,684
Aguanil/MG,4557.0,698
Aguaí/SP,36981.0,3606
Agudo/RS,16344.0,1930
Agudos do Sul/PR,9567.0,767
Agudos/SP,37582.0,4772
Aguiar/PB,5622.0,537
Aguiarnópolis/TO,7049.0,703
Aimorés/MG,25116.0,2113
Aiquara/BA,4387.0,504
Aiuaba/CE,17584.0,818
Aiuruoca/MG,5949.0,350
Ajuricaba/RS,6951.0,1349
Alagoa Grande/PB,28384.0,4164
Alagoa Nova/PB,20992.0,1788
Alagoa/MG,2657.0,446
Alagoinha do Piauí/PI,7678.0,393
Alagoinha/PB,14629.0,2093
Alagoinha/PE,14798.0,1433
Alagoinhas/BA,153023.0,14561
Alambari/SP,6231.0,680
Albertina/MG,3015.0,268
Alcantil/PB,5527.0,690
Alcinópolis/MS,5489.0,420
Alcobaça/BA,22509.0,1750
Alcântara/MA,22126.0,336
Alcântaras/CE,11846.0,1821
Aldeias Altas/MA,26979.0,977
Alecrim/RS,5710.0,315
Alegre/ES,29869.0,3387
Alegrete do Piauí/PI,4921.0,525
Alegrete/RS,72493.0,11113
Alegria/RS,3287.0,396
Alenquer/PA,57390.0,3647
Alexandria/RN,13529.0,1908
Alexânia/GO,28360.0,3683
Alfenas/MG,80973.0,10877
Alfredo Chaves/ES,14670.0,2760
Alfredo Marcondes/SP,4201.0,268
Alfredo Vasconcelos/MG,7052.0,632
Alfredo Wagner/SC,10136.0,1103
Algodão de Jandaíra/PB,2588.0,278
Alhandra/PB,19865.0,2474
Aliança do Tocantins/TO,5303.0,747
Aliança/PE,38408.0,702
Almadina/BA,5273.0,644
Almas/TO,6905.0,239
Almeirim/PA,34044.0,3769
Almenara/MG,42380.0,4550
Almino Afonso/RN,4685.0,509
Almirante Tamandaré do Sul/RS,1935.0,333
Almirante Tamandaré/PR,121420.0,11043
Aloândia/GO,1976.0,328
Alpercata/MG,7448.0,514
Alpestre/RS,5885.0,607
Alpinópolis/MG,20059.0,1880
Alta Floresta D'Oeste/RO,22516.0,4152
Alta Floresta/MT,52105.0,10474
Altair/SP,4211.0,316
Altamira do Maranhão/MA,8250.0,401
Altamira do Paraná/PR,1429.0,281
Altamira/PA,117320.0,14591
Altaneira/CE,7712.0,687
Alterosa/MG,14566.0,811
Altinho/PE,22996.0,1377
Altinópolis/SP,16221.0,1033
Alto Alegre do Maranhão/MA,28066.0,1389
Alto Alegre do Pindaré/MA,31967.0,2287
Alto Alegre dos Parecis/RO,13268.0,1491
Alto Alegre/RR,15249.0,1627
Alto Alegre/RS,1590.0,211
Alto Alegre/SP,4078.0,401
Alto Araguaia/MT,19714.0,1607
Alto Bela Vista/SC,1915.0,199
Alto Boa Vista/MT,7092.0,942
Alto Caparaó/MG,5938.0,439
Alto Feliz/RS,3043.0,316
Alto Garças/MT,12323.0,1157
Alto Horizonte/GO,6796.0,1170
Alto Jequitibá/MG,8286.0,993
Alto Longá/PI,14371.0,711
Alto Paraguai/MT,11587.0,925
Alto Paraná/PR,14945.0,1291
Alto Paraíso de Goiás/GO,7751.0,916
Alto Paraíso/PR,2630.0,372
Alto Paraíso/RO,22258.0,1891
Alto Parnaíba/MA,11233.0,1021
Alto Piquiri/PR,9722.0,1115
Alto Rio Doce/MG,10723.0,575
Alto Rio Novo/ES,7911.0,787
Alto Santo/CE,16077.0,1944
Alto Taquari/MT,11413.0,1642
Alto do Rodrigues/RN,14923.0,2575
Altos/PI,40681.0,4822
Altônia/PR,22293.0,1580
Alumínio/SP,18903.0,1635
Alvarenga/MG,3783.0,514
Alvarães/AM,16396.0,2908
Alvinlândia/SP,3251.0,144
Alvinópolis/MG,15135.0,858
Alvorada D'Oeste/RO,13807.0,1166
Alvorada de Minas/MG,3605.0,288
Alvorada do Gurguéia/PI,5469.0,453
Alvorada do Norte/GO,8749.0,847
Alvorada do Sul/PR,11598.0,864
Alvorada/RS,212352.0,22877
Alvorada/TO,8381.0,1532
Além Paraíba/MG,35438.0,3734
Amajari/RR,13561.0,1181
Amambai/MS,40247.0,3345
Amaporã/PR,6405.0,465
Amapá do Maranhão/MA,7047.0,172
Amapá/AP,9265.0,1413
Amaraji/PE,22910.0,689
Amaral Ferrador/RS,7136.0,311
Amaralina/GO,3875.0,138
Amarante do Maranhão/MA,42017.0,1624
Amarante/PI,17609.0,1589
Amargosa/BA,37631.0,3232
Amaturá/AM,11934.0,2398
Americana/SP,244370.0,27029
Americano do Brasil/GO,6220.0,867
Ametista do Sul/RS,7396.0,952
Amontada/CE,44195.0,2947
Amorinópolis/GO,3011.0,390
Amparo de São Francisco/SE,2386.0,256
Amparo do Serra/MG,4643.0,170
Amparo/PB,2264.0,178
Amparo/SP,73145.0,7716
Ampére/PR,19466.0,2539
Amélia Rodrigues/BA,24997.0,2406
América Dourada/BA,16086.0,955
Américo Brasiliense/SP,41545.0,4319
Américo de Campos/SP,5993.0,1170
Anadia/AL,17507.0,1509
Anagé/BA,21229.0,1145
Anahy/PR,2774.0,408
Anajatuba/MA,27170.0,1185
Anajás/PA,30091.0,1364
Analândia/SP,5115.0,380
Anamã/AM,14292.0,2021
Ananindeua/PA,540410.0,26043
Ananás/TO,9435.0,1679
Anapu/PA,29312.0,1762
Anapurus/MA,16054.0,832
Anastácio/MS,25336.0,2648
Anaurilândia/MS,9116.0,563
Anchieta/ES,30285.0,5449
Anchieta/SC,5477.0,710
Andaraí/BA,13122.0,948
Andirá/PR,19823.0,2653
Andorinha/BA,14416.0,966
Andradas/MG,41704.0,4098
