cities,population,cases
Amapá(AP),9109,526
Calçoene(AP),11117,1145
Cutias(AP),5983,589
Ferreira Gomes(AP),7780,546
Itaubal(AP),5503,291
Laranjal do Jari(AP),50410,4438
Macapá(AP),503327,17662
Mazagão(AP),21632,1395
Oiapoque(AP),27270,2592
Pedra Branca do Amapari(AP),16502,2566
Porto Grande(AP),21971,1139
Pracuúba(AP),5120,351
Santana(AP),121364,7586
Serra do Navio(AP),5397,650
Tartarugalzinho(AP),17315,1045
Vitória do Jari(AP),15931,2342
Acrelândia(AC),15256,435
Assis Brasil(AC),7417,519
Brasiléia(AC),26278,1141
Bujari(AC),10266,369
Capixaba(AC),11733,248
Cruzeiro do Sul(AC),88376,3208
Epitaciolândia(AC),18411,491
Feijó(AC),34780,1155
Jordão(AC),8317,169
Manoel Urbano(AC),9459,278
Marechal Thaumaturgo(AC),18867,355
Mâncio Lima(AC),18977,762
Plácido de Castro(AC),19761,403
Porto Acre(AC),18504,497
Porto Walter(AC),11982,276
Rio Branco(AC),407319,10153
Rodrigues Alves(AC),18930,146
Santa Rosa do Purus(AC),6540,308
Sena Madureira(AC),45848,1455
Senador Guiomard(AC),23024,486
Tarauacá(AC),42567,1608
Xapuri(AC),19323,1007
Alvarães(AM),16041,1209
Amaturá(AM),11536,656
Anamã(AM),13614,733
Anori(AM),21010,755
Apuí(AM),21973,198
Atalaia do Norte(AM),19921,918
Autazes(AM),39565,1272
Barcelos(AM),27502,2547
Barreirinha(AM),32041,908
Benjamin Constant(AM),42984,1544
Beruri(AM),19679,713
Boa Vista do Ramos(AM),19207,326
Boca do Acre(AM),34308,1215
Borba(AM),41161,705
Caapiranga(AM),13081,290
Canutama(AM),15629,381
Carauari(AM),28294,1181
Careiro(AM),37869,1348
Careiro da Várzea(AM),30225,178
Coari(AM),85097,6951
Codajás(AM),28637,243
Eirunepé(AM),35273,2054
Envira(AM),20033,265
Fonte Boa(AM),17609,796
Guajará(AM),16678,913
Humaitá(AM),55080,2987
Ipixuna(AM),29689,1699
Iranduba(AM),48296,1850
Itacoatiara(AM),101337,2070
Itamarati(AM),7851,565
Itapiranga(AM),9148,741
Japurá(AM),2755,438
