#city,population,cases
Amapá(AP),9109,1232
Calçoene(AP),11117,1588
Cutias(AP),5983,864
Ferreira Gomes(AP),7780,1379
Itaubal(AP),5503,480
Laranjal do Jari(AP),50410,8220
Macapá(AP),503327,49509
Mazagão(AP),21632,2763
Oiapoque(AP),27270,4978
Pedra Branca do Amapari(AP),16502,3211
Porto Grande(AP),21971,1701
Pracuúba(AP),5120,379
Santana(AP),121364,22696
Serra do Navio(AP),5397,1090
Tartarugalzinho(AP),17315,1870
Vitória do Jari(AP),15931,3794
Acrelândia(AC),15256,1494
Assis Brasil(AC),7417,1492
Brasiléia(AC),26278,2448
Bujari(AC),10266,1067
Capixaba(AC),11733,557
Cruzeiro do Sul(AC),88376,7244
Epitaciolândia(AC),18411,1247
Feijó(AC),34780,2753
Jordão(AC),8317,383
Manoel Urbano(AC),9459,883
Marechal Thaumaturgo(AC),18867,1105
Mâncio Lima(AC),18977,1797
Plácido de Castro(AC),19761,1454
Porto Acre(AC),18504,1326
Porto Walter(AC),11982,505
Rio Branco(AC),407319,34895
Rodrigues Alves(AC),18930,722
Santa Rosa do Purus(AC),6540,804
Sena Madureira(AC),45848,5475
Senador Guiomard(AC),23024,1095
Tarauacá(AC),42567,6243
Xapuri(AC),19323,2814
Alvarães(AM),16041,2707
Amaturá(AM),11536,2312
Anamã(AM),13614,1707
Anori(AM),21010,1833
Apuí(AM),21973,1203
Atalaia do Norte(AM),19921,2686
Autazes(AM),39565,2756
Barcelos(AM),27502,4077
Barreirinha(AM),32041,2279
Benjamin Constant(AM),42984,2666
Beruri(AM),19679,2081
Boa Vista do Ramos(AM),19207,857
Boca do Acre(AM),34308,2473
Borba(AM),41161,1791
Caapiranga(AM),13081,555
Canutama(AM),15629,1282
Carauari(AM),28294,6479
Careiro(AM),37869,4223
Careiro da Várzea(AM),30225,925
Coari(AM),85097,9308
Codajás(AM),28637,2287
Eirunepé(AM),35273,4081
Envira(AM),20033,2322
Fonte Boa(AM),17609,1553
Guajará(AM),16678,1584
Humaitá(AM),55080,7326
Ipixuna(AM),29689,4414
Iranduba(AM),48296,8583
Itacoatiara(AM),101337,8374
Itamarati(AM),7851,899
Itapiranga(AM),9148,2973
Japurá(AM),2755,796
Juruá(AM),14712,898
Jutaí(AM),14317,1964
Lábrea(AM),46069,6364
Manacapuru(AM),97377,7787
Manaquiri(AM),32105,1380
Manaus(AM),2182763,169561
Manicoré(AM),55751,4272
Maraã(AM),18224,1968
Maués(AM),63905,4344
Nhamundá(AM),21173,1797
Nova Olinda do Norte(AM),37378,2583
Novo Airão(AM),19454,2241
Novo Aripuanã(AM),25644,1883
Parintins(AM),114273,9655
Pauini(AM),19426,2720
Presidente Figueiredo(AM),36279,5787
Rio Preto da Eva(AM),33347,4346
Santa Isabel do Rio Negro(AM),25156,2698
Santo Antônio do Içá(AM),21602,1793
Silves(AM),9171,1340
São Gabriel da Cachoeira(AM),45564,8051
São Paulo de Olivença(AM),39299,5053
São Sebastião do Uatumã(AM),14020,1439
Tabatinga(AM),65844,3277
Tapauá(AM),17156,1744
Tefé(AM),59849,8732
Tonantins(AM),18755,1267
Uarini(AM),13540,1797
Urucará(AM),16256,2305
Urucurituba(AM),23065,2338
Brasília(DF),3015268,332939
Anadia(AL),17545,1080
Arapiraca(AL),231747,21600
Atalaia(AL),47185,1016
Barra de Santo Antônio(AL),15932,269
Barra de São Miguel(AL),8322,367
Batalha(AL),18232,894
Belo Monte(AL),6704,243
Belém(AL),4344,96
Boca da Mata(AL),27281,1585
Branquinha(AL),10494,442
Cacimbinhas(AL),10858,548
Cajueiro(AL),21264,496
Campestre(AL),6936,238
Campo Alegre(AL),57063,2454
Campo Grande(AL),9558,394
Canapi(AL),17722,205
Capela(AL),17053,718
Carneiros(AL),9081,189
Chã Preta(AL),7311,227
Coité do Nóia(AL),10693,346
Colônia Leopoldina(AL),21698,312
Coqueiro Seco(AL),5845,395
Coruripe(AL),56933,3193
Craíbas(AL),24219,1000
Delmiro Gouveia(AL),52016,2744
Dois Riachos(AL),11075,497
Estrela de Alagoas(AL),18205,301
Feira Grande(AL),22166,621
Feliz Deserto(AL),4754,124
Flexeiras(AL),12790,560
Girau do Ponciano(AL),40917,1644
Ibateguara(AL),15616,520
Igaci(AL),25631,571
Igreja Nova(AL),24499,840
Inhapi(AL),18385,309
Jacaré dos Homens(AL),5253,219
Jacuípe(AL),7021,144
Japaratinga(AL),8361,346
Jaramataia(AL),5770,85
Jequiá da Praia(AL),11580,513
Joaquim Gomes(AL),23993,703
Jundiá(AL),4155,142
Junqueiro(AL),24727,884
Lagoa da Canoa(AL),17852,766
Limoeiro de Anadia(AL),28635,845
Maceió(AL),1018948,68707
Major Isidoro(AL),19804,595
Mar Vermelho(AL),3514,106
Maragogi(AL),32704,1249
Maravilha(AL),9163,209
Marechal Deodoro(AL),51901,5077
Maribondo(AL),13264,413
Mata Grande(AL),25216,348
Matriz de Camaragibe(AL),24642,1280
Messias(AL),17856,867
Minador do Negrão(AL),5329,126
Monteirópolis(AL),7159,181
Murici(AL),28236,904
Novo Lino(AL),12690,156
Olho d'Água Grande(AL),5123,177
Olho d'Água das Flores(AL),21688,1326
Olho d'Água do Casado(AL),9373,89
Olivença(AL),11624,413
Ouro Branco(AL),11496,242
Palestina(AL),5011,366
Palmeira dos Índios(AL),73218,3513
Pariconha(AL),10533,482
Paripueira(AL),13176,272
Passo de Camaragibe(AL),15245,483
Paulo Jacinto(AL),7564,253
Penedo(AL),63683,2939
Piaçabuçu(AL),17827,636
Pilar(AL),35111,2612
Pindoba(AL),2908,84
Piranhas(AL),25039,784
Porto Calvo(AL),27165,1040
Porto Real do Colégio(AL),20066,522
Porto de Pedras(AL),7786,304
Poço das Trincheiras(AL),14386,368
Pão de Açúcar(AL),24399,1043
Quebrangulo(AL),11294,716
Rio Largo(AL),75120,2623
Roteiro(AL),6664,273
Santa Luzia do Norte(AL),7296,418
Santana do Ipanema(AL),47654,3878
Santana do Mundaú(AL),10740,633
Satuba(AL),13828,844
Senador Rui Palmeira(AL),13870,282
São Brás(AL),6961,307
São José da Laje(AL),23927,981
São José da Tapera(AL),32260,1166
São Luís do Quitunde(AL),34555,1048
São Miguel dos Campos(AL),61251,3140
São Miguel dos Milagres(AL),7951,204
São Sebastião(AL),34152,1299
Tanque d'Arca(AL),6162,256
Taquarana(AL),19980,532
Teotônio Vilela(AL),44169,1628
Traipu(AL),27715,396
União dos Palmares(AL),65611,1624
Viçosa(AL),25733,1279
Água Branca(AL),20196,284
Abaiara(CE),11737,384
Acarape(CE),14929,2512
Acaraú(CE),62641,4301
Acopiara(CE),54270,2596
Aiuaba(CE),17399,373
Alcântaras(CE),11714,1226
Altaneira(CE),7586,372
Alto Santo(CE),17146,880
Amontada(CE),43452,2149
Antonina do Norte(CE),7353,458
Apuiarés(CE),14600,862
Aquiraz(CE),80271,4894
Aracati(CE),74547,5132
Aracoiaba(CE),26469,2613
Ararendá(CE),10935,689
Araripe(CE),21600,780
Aratuba(CE),11847,1097
Arneiroz(CE),7840,395
Assaré(CE),23417,1325
Aurora(CE),24654,1267
Baixio(CE),6288,352
Banabuiú(CE),18197,1078
Barbalha(CE),60781,3917
Barreira(CE),22425,1027
Barro(CE),22680,741
Barroquinha(CE),15017,938
Baturité(CE),35750,2491
Beberibe(CE),53573,3437
Bela Cruz(CE),32591,2743
Boa Viagem(CE),54470,2813
Brejo Santo(CE),49477,6843
Camocim(CE),63661,4826
Campos Sales(CE),27426,1590
Canindé(CE),76997,4043
Capistrano(CE),17738,1631
Caridade(CE),22547,1077
Caririaçu(CE),26965,1045
Cariré(CE),18448,1938
Cariús(CE),18699,1605
Carnaubal(CE),17606,1201
Cascavel(CE),71743,4413
Catarina(CE),20698,637
Catunda(CE),10342,943
Caucaia(CE),361400,17081
Cedro(CE),25557,2579
Chaval(CE),13069,1192
Chorozinho(CE),20264,1604
Choró(CE),13521,689
Coreaú(CE),23136,2139
Crateús(CE),75074,8550
Crato(CE),132123,12718
Croatá(CE),18063,642
Cruz(CE),24827,2523
Deputado Irapuan Pinheiro(CE),9625,563
Ereré(CE),7198,646
Eusébio(CE),53618,7558
Farias Brito(CE),19450,1871
Forquilha(CE),24218,1149
Fortaleza(CE),2669342,202624
Fortim(CE),16480,1400
Frecheirinha(CE),14072,2701
General Sampaio(CE),7618,418
Granja(CE),54748,2501
Granjeiro(CE),4844,320
Graça(CE),14399,865
Groaíras(CE),11068,1340
Guaiúba(CE),26064,1154
Guaraciaba do Norte(CE),40642,1778
Guaramiranga(CE),5193,623
Hidrolândia(CE),19978,1945
Horizonte(CE),67337,6586
Ibaretama(CE),13353,622
Ibiapina(CE),24997,1191
Ibicuitinga(CE),12525,1095
Icapuí(CE),19934,1749
Icó(CE),68018,4569
Iguatu(CE),102498,7115
Independência(CE),26178,1168
Ipaporanga(CE),11593,839
Ipaumirim(CE),12463,572
Ipu(CE),41964,3601
Ipueiras(CE),38166,1950
Iracema(CE),14297,1658
Irauçuba(CE),24156,639
Itaitinga(CE),37980,3555
Itaiçaba(CE),7827,913
Itapajé(CE),52675,2219
Itapipoca(CE),129358,7784
Itapiúna(CE),20382,1575
Itarema(CE),41826,2762
Itatira(CE),21647,1670
Jaguaretama(CE),18162,1545
Jaguaribara(CE),11401,707
Jaguaribe(CE),34682,3076
Jaguaruana(CE),33705,2297
Jardim(CE),27174,901
Jati(CE),8111,523
Jijoca de Jericoacoara(CE),19816,2034
Juazeiro do Norte(CE),274207,21240
Jucás(CE),24833,1034
Lavras da Mangabeira(CE),31508,1813
Limoeiro do Norte(CE),59540,4722
Madalena(CE),19691,1020
Maracanaú(CE),227886,18299
Maranguape(CE),128978,10477
Marco(CE),27361,1395
Martinópole(CE),11233,928
Massapê(CE),38737,1806
Mauriti(CE),47962,2497
Meruoca(CE),15057,1450
Milagres(CE),27512,1991
Milhã(CE),13155,717
Miraíma(CE),13818,877
Missão Velha(CE),35393,1584
Mombaça(CE),43797,3145
Monsenhor Tabosa(CE),17234,1323
Morada Nova(CE),61890,6749
Moraújo(CE),8724,1469
Morrinhos(CE),22534,1138
Mucambo(CE),14537,1076
Mulungu(CE),10823,644
Nova Olinda(CE),15565,751
Nova Russas(CE),32328,1988
Novo Oriente(CE),28607,973
Ocara(CE),25703,1415
Orós(CE),21427,2267
Pacajus(CE),72203,4678
Pacatuba(CE),83432,5369
Pacoti(CE),12261,965
Pacujá(CE),6533,532
Palhano(CE),9386,1014
Palmácia(CE),13322,708
Paracuru(CE),35076,2975
Paraipaba(CE),32744,1994
Parambu(CE),31521,1031
Paramoti(CE),12226,583
Pedra Branca(CE),43258,640
Penaforte(CE),9077,506
Pentecoste(CE),37751,3091
Pereiro(CE),16307,1214
Pindoretama(CE),20567,1420
Piquet Carneiro(CE),16959,1326
Pires Ferreira(CE),10951,757
Poranga(CE),12336,404
Porteiras(CE),14996,1100
Potengi(CE),11045,318
Potiretama(CE),6419,403
Quiterianópolis(CE),21084,1026
Quixadá(CE),87728,6555
Quixelô(CE),16178,1544
Quixeramobim(CE),81082,5520
Quixeré(CE),22149,2505
Redenção(CE),29053,3497
Reriutaba(CE),18491,1759
Russas(CE),78194,8166
Saboeiro(CE),15819,652
Salitre(CE),16554,923
Santa Quitéria(CE),43703,4315
Santana do Acaraú(CE),32452,1950
Santana do Cariri(CE),17700,852
Senador Pompeu(CE),25496,1378
Senador Sá(CE),7623,991
Sobral(CE),208935,22162
Solonópole(CE),18324,1145
São Benedito(CE),47903,2863
São Gonçalo do Amarante(CE),48422,6016
São João do Jaguaribe(CE),7645,509
