Comuna,population,cases
Arica,247552.0,30828.0
Camarones,1233.0,71.0
General Lagos,810.0,88.0
Putre,2515.0,215.0
Alto Hospicio,129999.0,16115.0
Camina,1375.0,232.0
Colchane,1583.0,172.0
Huara,3000.0,479.0
Iquique,223463.0,30468.0
Pica,5958.0,1031.0
Pozo Almonte,17395.0,2416.0
Antofagasta,425725.0,40883.0
Calama,190336.0,18886.0
Maria Elena,6814.0,712.0
Mejillones,14776.0,2017.0
Ollague,287.0,39.0
San Pedro de Atacama,10434.0,1184.0
Sierra Gorda,1746.0,169.0
Taltal,13657.0,980.0
Tocopilla,28079.0,2380.0
Alto del Carmen,5729.0,282.0
Caldera,19426.0,1778.0
Chanaral,13164.0,1088.0
Copiapo,171766.0,16493.0
Diego de Almagro,14358.0,1349.0
Freirina,7681.0,685.0
Huasco,11264.0,858.0
Tierra Amarilla,14312.0,1518.0
Vallenar,57009.0,5219.0
Andacollo,11791.0,623.0
Canela,9546.0,483.0
Combarbala,13884.0,821.0
Coquimbo,256735.0,17416.0
Illapel,32801.0,2402.0
La Higuera,4450.0,391.0
La Serena,249656.0,17353.0
Los Vilos,23374.0,1856.0
Monte Patria,32527.0,2037.0
Ovalle,121269.0,9643.0
Paiguano,4675.0,356.0
Punitaqui,12165.0,1002.0
Rio Hurtado,4372.0,238.0
Salamanca,29110.0,1836.0
Vicuna,29741.0,2069.0
Algarrobo,15174.0,1266.0
Cabildo,20663.0,1571.0
Calera,53591.0,5218.0
Calle Larga,16482.0,1340.0
Cartagena,25357.0,2539.0
Casablanca,29170.0,2381.0
Catemu,15213.0,1246.0
Concon,45889.0,3644.0
El Quisco,17742.0,1480.0
El Tabo,14338.0,1440.0
Hijuelas,19099.0,1446.0
Isla de Pascua,8277.0,9.0
Juan Fernandez,1033.0,1.0
La Cruz,25321.0,1980.0
La Ligua,37739.0,3415.0
Limache,49931.0,4329.0
Llaillay,26533.0,2407.0
Los Andes,68093.0,6091.0
Nogales,23490.0,1917.0
Olmue,19266.0,1512.0
Panquehue,7633.0,593.0
Papudo,6201.0,540.0
Petorca,10558.0,752.0
Puchuncavi,20071.0,1600.0
Putaendo,17645.0,1248.0
Quillota,97572.0,8522.0
Quilpue,167085.0,13557.0
Quintero,36135.0,3020.0
Rinconada,11263.0,801.0
San Antonio,96761.0,9084.0
San Esteban,20643.0,1455.0
San Felipe,83494.0,6986.0
Santa Maria,16367.0,1388.0
Santo Domingo,11934.0,943.0
Valparaiso,315732.0,34011.0
Villa Alemana,139310.0,11882.0
Vina del Mar,361371.0,32548.0
Zapallar,7994.0,619.0
Alhue,7405.0,812.0
Buin,109641.0,11134.0
Calera de Tango,28525.0,2562.0
Cerrillos,88956.0,8728.0
Cerro Navia,142465.0,18696.0
Colina,180353.0,15857.0
Conchali,139195.0,15162.0
Curacavi,36430.0,4018.0
El Bosque,172000.0,22193.0
El Monte,40014.0,4154.0
Estacion Central,206792.0,19038.0
Huechuraba,112528.0,10458.0
Independencia,142065.0,15108.0
Isla de Maipo,40171.0,4160.0
La Cisterna,100434.0,10667.0
La Florida,402433.0,44569.0
La Granja,122557.0,17467.0
La Pintana,189335.0,26912.0
La Reina,100252.0,7770.0
Lampa,126898.0,11056.0
Las Condes,330759.0,20699.0
Lo Barnechea,124076.0,10268.0
Lo Espejo,103865.0,11358.0
Lo Prado,104403.0,14536.0
Macul,134635.0,14340.0
Maipu,578605.0,49395.0
Maria Pinto,14926.0,1645.0
Melipilla,141612.0,12976.0
Nunoa,250192.0,18146.0
Padre Hurtado,74188.0,8558.0
Paine,82766.0,7883.0
Pedro Aguirre Cerda,107803.0,13305.0
Penaflor,101058.0,9750.0
Penalolen,266798.0,33243.0
Pirque,30433.0,3479.0
Providencia,157749.0,10572.0
Pudahuel,253139.0,29568.0
Puente Alto,645909.0,75859.0
Quilicura,254694.0,23105.0
Quinta Normal,136368.0,17102.0
Recoleta,190075.0,19621.0
Renca,160847.0,25144.0
San Bernardo,334836.0,36875.0
San Joaquin,103485.0,14032.0
San Jose de Maipo,18644.0,1957.0
San Miguel,133059.0,16510.0
San Pedro,11953.0,997.0
San Ramon,86510.0,11263.0
Santiago,503147.0,46400.0
Talagante,81838.0,5655.0
Tiltil,21477.0,2017.0
Vitacura,96774.0,5661.0
Chepica,15925.0,1230.0
Chimbarongo,37696.0,2373.0
Codegua,14096.0,1161.0
Coinco,7831.0,607.0
Coltauco,21263.0,1512.0
Donihue,22700.0,1927.0
Graneros,36504.0,3336.0
La Estrella,3114.0,205.0
Las Cabras,26749.0,2618.0
Litueche,6765.0,610.0
Lolol,7289.0,312.0
Machali,59913.0,4139.0
Malloa,14163.0,1158.0
Marchihue,7632.0,531.0
Mostazal,27462.0,2205.0
Nancagua,19141.0,1516.0
Navidad,6904.0,543.0
Olivar,14624.0,1464.0
Palmilla,13299.0,926.0
Paredones,6349.0,539.0
Peralillo,11848.0,931.0
Peumo,14952.0,1247.0
Pichidegua,20743.0,1841.0
Pichilemu,17882.0,1251.0
Placilla,9164.0,795.0
Pumanque,3531.0,254.0
Quinta de Tilcoco,13877.0,920.0
Rancagua,265211.0,25794.0
Rengo,63710.0,5932.0
Requinoa,30371.0,2598.0
San Fernando,78642.0,7042.0
San Vicente,50617.0,4396.0
Santa Cruz,41096.0,2702.0
Cauquenes,44143.0,3211.0
Chanco,9331.0,560.0
Colbun,22565.0,2404.0
Constitucion,50348.0,5106.0
Curepto,9426.0,670.0
Curico,163626.0,20084.0
Empedrado,4206.0,356.0
Hualane,10222.0,911.0
Licanten,6989.0,709.0
Linares,101073.0,9940.0
Longavi,32810.0,3665.0
Maule,60000.0,5327.0
Molina,49800.0,5131.0
Parral,44544.0,4593.0
Pelarco,9083.0,885.0
Pelluhue,8092.0,763.0
Pencahue,8601.0,806.0
Rauco,11248.0,1366.0
Retiro,21071.0,1912.0
Rio Claro,14753.0,1518.0
Romeral,16170.0,2016.0
Sagrada Familia,19469.0,1553.0
San Clemente,46292.0,4708.0
San Javier,49451.0,5182.0
San Rafael,9959.0,1214.0
Talca,236724.0,21989.0
Teno,30850.0,3274.0
Vichuquen,4381.0,407.0
Villa Alegre,17512.0,1423.0
Yerbas Buenas,19200.0,1963.0
Bulnes,22607.0,2262.0
Chillan,198624.0,19673.0
Chillan Viejo,33827.0,2839.0
Cobquecura,5275.0,265.0
Coelemu,16845.0,1105.0
Coihueco,28375.0,2546.0
El Carmen,12334.0,815.0
Ninhue,5414.0,468.0
Niquen,11567.0,1170.0
Pemuco,8639.0,759.0
Pinto,11880.0,814.0
Portezuelo,4940.0,332.0
Quillon,18777.0,1568.0
Quirihue,12192.0,877.0
Ranquil,6261.0,461.0
San Carlos,56252.0,6001.0
San Fabian,4654.0,369.0
San Ignacio,16624.0,1277.0
San Nicolas,12172.0,1252.0
Treguaco,5696.0,489.0
Yungay,18596.0,1326.0
Alto Biobio,6775.0,1045.0
Antuco,4306.0,385.0
Arauco,38679.0,5141.0
Cabrero,30725.0,3092.0
Canete,37003.0,3965.0
Chiguayante,91180.0,9861.0
Concepcion,238092.0,25198.0
Contulmo,6330.0,711.0
Coronel,125829.0,16045.0
Curanilahue,33892.0,4138.0
Florida,11841.0,1125.0
Hualpen,97273.0,11495.0
Hualqui,26201.0,2898.0
Laja,23873.0,2674.0
Lebu,27100.0,2493.0
Los Alamos,22524.0,2433.0
Los Angeles,218515.0,25895.0
Lota,45750.0,6105.0
Mulchen,31041.0,3956.0
Nacimiento,27944.0,3056.0
Negrete,10429.0,1403.0
Penco,49865.0,6035.0
Quilaco,4179.0,402.0
Quilleco,10032.0,1098.0
San Pedro de la Paz,145906.0,14794.0
San Rosendo,3611.0,339.0
Santa Barbara,14592.0,1552.0
Santa Juana,14779.0,1669.0
