county,state,cases,population
Abbeville,South Carolina,3741.0,24404.0
Acadia,Louisiana,10359.0,61918.0
Accomack,Virginia,3944.0,32238.0
Ada,Idaho,76211.0,494399.0
Adair,Iowa,1038.0,7059.0
Adair,Kentucky,3346.0,19555.0
Adair,Missouri,3567.0,25399.0
Adair,Oklahoma,4818.0,21955.0
Adams,Colorado,74013.0,519883.0
Adams,Idaho,485.0,4447.0
Adams,Illinois,13041.0,64783.0
Adams,Indiana,4772.0,35839.0
Adams,Iowa,498.0,3588.0
Adams,Mississippi,4567.0,30275.0
Adams,Nebraska,3825.0,31321.0
Adams,North Dakota,359.0,2188.0
Adams,Ohio,4050.0,27531.0
Adams,Pennsylvania,12601.0,102742.0
Adams,Washington,3131.0,20027.0
Adams,Wisconsin,2672.0,20498.0
Addison,Vermont,1403.0,36851.0
Aiken,South Carolina,26496.0,172895.0
Aitkin,Minnesota,1758.0,15848.0
Alachua,Florida,38858.0,271218.0
Alamance,North Carolina,25792.0,171346.0
Alameda,California,119671.0,1662323.0
Alamosa,Colorado,2293.0,16180.0
Albany,New York,30119.0,303654.0
Albany,Wyoming,6035.0,38950.0
Albemarle,Virginia,7788.0,110652.0
Alcona,Michigan,1026.0,10505.0
Alcorn,Mississippi,5623.0,36889.0
Aleutians East Borough,Alaska,431.0,3401.0
Aleutians West Census Area,Alaska,917.0,5680.0
Alexander,Illinois,710.0,5497.0
Alexander,North Carolina,6312.0,37441.0
Alexandria city,Virginia,13971.0,158726.0
Alfalfa,Oklahoma,1290.0,5718.0
Alger,Michigan,972.0,9015.0
Allamakee,Iowa,1929.0,13642.0
Allegan,Michigan,14011.0,118927.0
Allegany,Maryland,9409.0,70057.0
Allegany,New York,4436.0,45587.0
Alleghany,North Carolina,1586.0,11194.0
Alleghany,Virginia,2037.0,14701.0
Allegheny,Pennsylvania,126023.0,1211358.0
Allen,Indiana,56825.0,382187.0
Allen,Kansas,1831.0,12399.0
Allen,Kentucky,3706.0,21303.0
Allen,Louisiana,4667.0,25440.0
Allen,Ohio,15490.0,101980.0
Allendale,South Carolina,1340.0,8331.0
Alpena,Michigan,2927.0,28238.0
Alpine,California,102.0,1119.0
Amador,California,5359.0,40083.0
Amelia,Virginia,1363.0,13014.0
Amherst,Virginia,4235.0,31667.0
Amite,Mississippi,2033.0,12205.0
Anchorage,Alaska,51848.0,287095.0
Anderson,Kansas,1087.0,7949.0
Anderson,Kentucky,3214.0,22833.0
Anderson,South Carolina,35718.0,204353.0
Anderson,Tennessee,12684.0,77558.0
Anderson,Texas,7905.0,57805.0
Andrew,Missouri,2711.0,17586.0
Andrews,Texas,2751.0,18879.0
Androscoggin,Maine,10190.0,108547.0
Angelina,Texas,13560.0,86796.0
Anne Arundel,Maryland,51746.0,582777.0
Anoka,Minnesota,52591.0,359921.0
Anson,North Carolina,3765.0,24097.0
Antelope,Nebraska,675.0,6264.0
Antrim,Michigan,2229.0,23449.0
Apache,Arizona,13353.0,71875.0
Appanoose,Iowa,1762.0,12430.0
Appling,Georgia,3435.0,18325.0
Appomattox,Virginia,2316.0,16043.0
Aransas,Texas,2580.0,23814.0
Arapahoe,Colorado,77970.0,657452.0
Archer,Texas,1205.0,8730.0
Archuleta,Colorado,1418.0,14196.0
Arenac,Michigan,1633.0,14953.0
Arlington,Virginia,18195.0,240119.0
Armstrong,Pennsylvania,8267.0,64162.0
Armstrong,Texas,273.0,1869.0
Aroostook,Maine,3577.0,66804.0
Arthur,Nebraska,24.0,466.0
Ascension,Louisiana,21616.0,128665.0
Ashe,North Carolina,3357.0,27166.0
Ashland,Ohio,6683.0,53362.0
Ashland,Wisconsin,1770.0,15415.0
Ashley,Arkansas,3142.0,19339.0
Ashtabula,Ohio,9266.0,96513.0
Asotin,Washington,2661.0,22820.0
Assumption,Louisiana,3610.0,21621.0
Atascosa,Texas,8458.0,51724.0
Atchison,Kansas,2323.0,16015.0
Atchison,Missouri,649.0,5096.0
Athens,Ohio,7591.0,65481.0
Atkinson,Georgia,1561.0,8393.0
Atlantic,New Jersey,38666.0,262945.0
Atoka,Oklahoma,2698.0,13912.0
Attala,Mississippi,3299.0,18004.0
Audrain,Missouri,3673.0,24835.0
Audubon,Iowa,645.0,5481.0
Auglaize,Ohio,6578.0,45680.0
Augusta,Virginia,9981.0,76544.0
Aurora,South Dakota,537.0,2730.0
Austin,Texas,3413.0,29972.0
Autauga,Alabama,9865.0,56145.0
Avery,North Carolina,2673.0,17571.0
Avoyelles,Louisiana,7020.0,39966.0
Baca,Colorado,413.0,3555.0
Bacon,Georgia,2479.0,11036.0
Bailey,Texas,994.0,6697.0
Baker,Florida,5948.0,29566.0
Baker,Georgia,367.0,2971.0
Baker,Oregon,1963.0,16284.0
Baldwin,Alabama,36965.0,229287.0
Baldwin,Georgia,6602.0,45099.0
Ballard,Kentucky,649.0,7769.0
Baltimore,Maryland,75213.0,826017.0
Baltimore city,Maryland,60484.0,586131.0
Bamberg,South Carolina,2116.0,13906.0
Bandera,Texas,2258.0,23861.0
Banks,Georgia,2718.0,19352.0
Banner,Nebraska,52.0,786.0
Bannock,Idaho,12636.0,88795.0
Baraga,Michigan,1226.0,8164.0
Barber,Kansas,480.0,4358.0
Barbour,Alabama,3550.0,24589.0
Barbour,West Virginia,2547.0,16444.0
Barnes,North Dakota,1742.0,10402.0
Barnstable,Massachusetts,17242.0,213164.0
Barnwell,South Carolina,3844.0,20805.0
Barren,Kentucky,7775.0,44300.0
Barron,Wisconsin,8097.0,45090.0
Barrow,Georgia,14477.0,85588.0
Barry,Michigan,7417.0,62061.0
Barry,Missouri,4226.0,35818.0
Bartholomew,Indiana,11395.0,84447.0
Barton,Kansas,3742.0,25658.0
Barton,Missouri,1768.0,11592.0
Bartow,Georgia,20292.0,109426.0
Bastrop,Texas,14150.0,91601.0
Bates,Missouri,2255.0,16242.0
Bath,Kentucky,1535.0,12481.0
Bath,Virginia,445.0,4119.0
Baxter,Arkansas,5750.0,42242.0
Bay,Florida,31453.0,171322.0
Bay,Michigan,14015.0,102387.0
Bayfield,Wisconsin,1577.0,15242.0
Baylor,Texas,538.0,3518.0
Beadle,South Dakota,3203.0,18513.0
Bear Lake,Idaho,635.0,6143.0
Beaufort,North Carolina,6900.0,47073.0
Beaufort,South Carolina,26863.0,195656.0
Beauregard,Louisiana,6010.0,37881.0
Beaver,Oklahoma,550.0,5207.0
Beaver,Pennsylvania,20842.0,162575.0
Beaver,Utah,1010.0,6761.0
Beaverhead,Montana,1381.0,9483.0
Becker,Minnesota,5128.0,34456.0
Beckham,Oklahoma,3382.0,21468.0
Bedford,Pennsylvania,6398.0,47817.0
Bedford,Tennessee,8969.0,50179.0
Bedford,Virginia,9603.0,79811.0
Bee,Texas,5268.0,32513.0
Belknap,New Hampshire,5803.0,61551.0
Bell,Kentucky,5708.0,25482.0
Bell,Texas,38359.0,369927.0
Belmont,Ohio,8966.0,65932.0
Beltrami,Minnesota,6219.0,47442.0
Ben Hill,Georgia,3199.0,16614.0
Benewah,Idaho,1101.0,9430.0
Bennett,South Dakota,452.0,3399.0
Bennington,Vermont,2871.0,35338.0
Benson,North Dakota,1255.0,6762.0
Bent,Colorado,1656.0,5356.0
Benton,Arkansas,41414.0,288774.0
Benton,Indiana,1500.0,8741.0
Benton,Iowa,3524.0,25414.0
Benton,Minnesota,7299.0,40958.0
Benton,Mississippi,1470.0,8351.0
Benton,Missouri,2582.0,19627.0
Benton,Oregon,5245.0,93239.0
Benton,Tennessee,2731.0,16131.0
Benton,Washington,30401.0,206426.0
Benzie,Michigan,1583.0,17852.0
Bergen,New Jersey,118198.0,930394.0
Berkeley,South Carolina,30643.0,235987.0
Berkeley,West Virginia,17644.0,122125.0
Berks,Pennsylvania,56487.0,421017.0
Berkshire,Massachusetts,8412.0,124571.0
Bernalillo,New Mexico,73479.0,681666.0
Berrien,Georgia,3456.0,19408.0
Berrien,Michigan,18692.0,153025.0
Bertie,North Carolina,2430.0,18712.0
Bethel Census Area,Alaska,5565.0,18437.0
Bexar,Texas,316402.0,2026823.0
Bibb,Alabama,4208.0,22136.0
Bibb,Georgia,25126.0,152737.0
Bienville,Louisiana,2468.0,12983.0
Big Horn,Montana,2957.0,13063.0
Big Horn,Wyoming,1942.0,11575.0
Big Stone,Minnesota,776.0,4923.0
Billings,North Dakota,88.0,890.0
Bingham,Idaho,6421.0,47202.0
Black Hawk,Iowa,20150.0,130786.0
Blackford,Indiana,1866.0,11782.0
Bladen,North Carolina,5388.0,32911.0
Blaine,Idaho,2891.0,23426.0
Blaine,Montana,1161.0,6568.0
Blaine,Nebraska,38.0,457.0
Blaine,Oklahoma,1477.0,9447.0
Blair,Pennsylvania,16322.0,121007.0
Blanco,Texas,1290.0,12269.0
Bland,Virginia,1042.0,6239.0
Bleckley,Georgia,2303.0,12955.0
Bledsoe,Tennessee,3438.0,15223.0
Blount,Alabama,10047.0,57879.0
Blount,Tennessee,23338.0,134751.0
Blue Earth,Minnesota,9432.0,68241.0
Boise,Idaho,695.0,8065.0
Bolivar,Mississippi,6259.0,30142.0
Bollinger,Missouri,1713.0,12111.0
Bon Homme,South Dakota,1614.0,6848.0
Bond,Illinois,2538.0,16262.0
Bonner,Idaho,4976.0,46817.0
Bonneville,Idaho,18831.0,122134.0
Boone,Arkansas,6140.0,37625.0
Boone,Illinois,7838.0,52777.0
Boone,Indiana,8786.0,69347.0
Boone,Iowa,3452.0,26277.0
Boone,Kentucky,20356.0,135396.0
Boone,Missouri,25080.0,182991.0
Boone,Nebraska,685.0,5096.0
Boone,West Virginia,3352.0,21055.0
Borden,Texas,41.0,706.0
Bosque,Texas,2412.0,18603.0
Bossier,Louisiana,21485.0,127275.0
Botetourt,Virginia,3675.0,33633.0
Bottineau,North Dakota,934.0,6287.0
Boulder,Colorado,29831.0,327171.0
Boundary,Idaho,1303.0,12656.0
Bourbon,Kansas,2402.0,14435.0
Bourbon,Kentucky,3078.0,19901.0
Bowie,Texas,12550.0,93481.0
Bowman,North Dakota,538.0,2986.0
Box Butte,Nebraska,1447.0,10696.0
Box Elder,Utah,8023.0,57007.0
Boyd,Kentucky,8139.0,46516.0
Boyd,Nebraska,227.0,1860.0
Boyle,Kentucky,5244.0,30367.0
Bracken,Kentucky,1065.0,8286.0
Bradford,Florida,5303.0,28593.0
Bradford,Pennsylvania,7308.0,60221.0
Bradley,Arkansas,1943.0,10639.0
Bradley,Tennessee,21790.0,109071.0
Branch,Michigan,7078.0,43424.0
Brantley,Georgia,3094.0,19202.0
Braxton,West Virginia,2029.0,13702.0
Brazoria,Texas,58778.0,380518.0
Brazos,Texas,38183.0,232555.0
Breathitt,Kentucky,1953.0,12550.0
Breckinridge,Kentucky,2625.0,20537.0
Bremer,Iowa,3539.0,25311.0
Brevard,Florida,79757.0,608459.0
Brewster,Texas,1074.0,9237.0
Briscoe,Texas,215.0,1487.0
Bristol,Massachusetts,79288.0,566765.0
Bristol,Rhode Island,5930.0,48350.0
Bristol Bay plus Lake and Peninsula,Alaska,423.0,2281.0
Bristol city,Virginia,2212.0,17329.0
Broadwater,Montana,777.0,6444.0
Brooke,West Virginia,2960.0,21674.0
Brookings,South Dakota,5029.0,35603.0
Brooks,Georgia,2404.0,15357.0
Brooks,Texas,1115.0,6964.0
Broome,New York,23669.0,189420.0
Broomfield,Colorado,6437.0,72236.0
Broward,Florida,352257.0,1958105.0
Brown,Illinois,1057.0,6546.0
Brown,Indiana,1423.0,15112.0
Brown,Kansas,1507.0,9482.0
Brown,Minnesota,3942.0,24846.0
Brown,Nebraska,295.0,2981.0
Brown,Ohio,6223.0,43414.0
Brown,South Dakota,6445.0,38738.0
Brown,Texas,6901.0,37633.0
Brown,Wisconsin,44073.0,264610.0
Brule,South Dakota,797.0,5254.0
Brunswick,North Carolina,15873.0,149039.0
Brunswick,Virginia,1758.0,16037.0
Bryan,Georgia,6261.0,40755.0
Bryan,Oklahoma,8479.0,48998.0
Buchanan,Iowa,2744.0,21287.0
Buchanan,Missouri,15001.0,86530.0
