state,population,cases
Alabama,4921532.0,810501.0
Alaska,731158.0,124440.0
Arizona,7421401.0,1124709.0
Arkansas,3013139.0,495970.0
California,39368078.0,4815429.0
Colorado,5807719.0,702277.0
Connecticut,3557006.0,394382.0
Delaware,986809.0,138074.0
Florida,21733312.0,3601754.0
Georgia,10710017.0,1571184.0
Hawaii,1203666.0,68728.0
Idaho,1810090.0,270689.0
Illinois,12587530.0,1665938.0
Indiana,6754953.0,994974.0
Iowa,3147423.0,467814.0
Kansas,2913805.0,422261.0
Kentucky,4477251.0,725843.0
Louisiana,4645318.0,749902.0
Maine,1350141.0,95825.0
Maryland,6055802.0,546782.0
Massachusetts,6893574.0,773432.0
Michigan,9966555.0,1206348.0
Minnesota,5657342.0,748618.0
Mississippi,2966786.0,496851.0
Missouri,6688338.0,854131.0
Montana,1080577.0,162414.0
Nebraska,1937552.0,272515.0
Nevada,3138259.0,439793.0
New Hampshire,1366275.0,125852.0
New Jersey,8882371.0,1175267.0
New Mexico,2106319.0,262078.0
New York,17724787.0,2486254.0
North Carolina,10600823.0,1442469.0
North Dakota,765309.0,139563.0
Ohio,11693217.0,1480371.0
Oklahoma,3176742.0,510261.0
Oregon,4241507.0,346480.0
Pennsylvania,12783254.0,1491146.0
Rhode Island,1057125.0,163164.0
South Carolina,5218040.0,880984.0
South Dakota,892717.0,149337.0
Tennessee,6886834.0,1221501.0
Texas,29360759.0,4154847.0
Utah,2598820.0,403131.0
Vermont,623347.0,36244.0
Virginia,8590563.0,897978.0
Washington,7693612.0,691783.0
West Virginia,1784787.0,255778.0
Wisconsin,5832655.0,847180.0
Wyoming,582328.0,96059.0
