"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AT001","Vienna","GDP","GDP","2000","2000","USD","US Dollar","6","millions","2005","2005",92767.97,,
"AT001","Vienna","GDP","GDP","2001","2001","USD","US Dollar","6","millions","2005","2005",93242.67,,
"AT001","Vienna","GDP","GDP","2002","2002","USD","US Dollar","6","millions","2005","2005",95630.15,,
"AT001","Vienna","GDP","GDP","2003","2003","USD","US Dollar","6","millions","2005","2005",95398.69,,
"AT001","Vienna","GDP","GDP","2004","2004","USD","US Dollar","6","millions","2005","2005",97609.37,,
"AT001","Vienna","GDP","GDP","2005","2005","USD","US Dollar","6","millions","2005","2005",99605.22,,
"AT001","Vienna","GDP","GDP","2006","2006","USD","US Dollar","6","millions","2005","2005",103610.73,,
"AT001","Vienna","GDP","GDP","2007","2007","USD","US Dollar","6","millions","2005","2005",106692.39,,
"AT001","Vienna","GDP","GDP","2008","2008","USD","US Dollar","6","millions","2005","2005",108524.06,,
"AT001","Vienna","GDP","GDP","2009","2009","USD","US Dollar","6","millions","2005","2005",104901.79,,
"AT001","Vienna","GDP","GDP","2010","2010","USD","US Dollar","6","millions","2005","2005",107616.36,,
"AT001","Vienna","GDP","GDP","2011","2011","USD","US Dollar","6","millions","2005","2005",,,
"AT001","Vienna","GDP","GDP","2012","2012","USD","US Dollar","6","millions","2005","2005",,,
"AT001","Vienna","GDP_PC","GDP per capita","2000","2000","USD","US Dollar","0","units","2005","2005",38170.78,,
"AT001","Vienna","GDP_PC","GDP per capita","2001","2001","USD","US Dollar","0","units","2005","2005",37992.47,,
"AT001","Vienna","GDP_PC","GDP per capita","2002","2002","USD","US Dollar","0","units","2005","2005",38584.85,,
"AT001","Vienna","GDP_PC","GDP per capita","2003","2003","USD","US Dollar","0","units","2005","2005",38114.55,,
"AT001","Vienna","GDP_PC","GDP per capita","2004","2004","USD","US Dollar","0","units","2005","2005",38615.15,,
"AT001","Vienna","GDP_PC","GDP per capita","2005","2005","USD","US Dollar","0","units","2005","2005",39016.96,,
"AT001","Vienna","GDP_PC","GDP per capita","2006","2006","USD","US Dollar","0","units","2005","2005",40185.96,,
"AT001","Vienna","GDP_PC","GDP per capita","2007","2007","USD","US Dollar","0","units","2005","2005",40971.89,,
"AT001","Vienna","GDP_PC","GDP per capita","2008","2008","USD","US Dollar","0","units","2005","2005",41262.05,,
"AT001","Vienna","GDP_PC","GDP per capita","2009","2009","USD","US Dollar","0","units","2005","2005",39488.38,,
